Client,Type,Rep,System,HW_Maint,Revenue_Tracking,Primary_Contact,Phone,Cell,Tax_Pct,Tax_Pct2,Tax_District,Store_Address,City,State,Zip,Email,Ops_Email,Billing_Email,Notes,Country,Source,Import_Date
Atlantic Fisheries,GENERAL,AH,,NO,,David Bouchard,+1 (514) 221-2437,+1 (514) 221-2437,0.13,,QC,,Gatineau,QC,H0S 1H1,dbouchard@atlanticfisheries.ca,,,"Industry: Fishing, Province: Quebec",CA,Canada_Business_Directory,2026-07-14
Northern Mining Corp,GENERAL,AH,,NO,,Sophie O'Brien,+1 (647) 359-1331,+1 (647) 359-1331,0.13,,ON,,Brampton,ON,K1Z 9L4,so'brien@northernminingcorp.ca,,,"Industry: Mining, Province: Ontario",CA,Canada_Business_Directory,2026-07-14
Prairie Agriculture Co,AGRICULTURE,AH,,NO,,William Lee,+1 (204) 813-7215,+1 (204) 813-7215,0.13,,MB,,Brandon,MB,R4R 2H7,wlee@prairieagricultureco.ca,,,"Industry: Agriculture, Province: Manitoba",CA,Canada_Business_Directory,2026-07-14
Atlantic Fisheries,GENERAL,AH,,NO,,James Roy,+1 (506) 393-2399,+1 (506) 393-2399,0.13,,NB,,Moncton,NB,E3A 4N0,jroy@atlanticfisheries.ca,,,"Industry: Fishing, Province: New Brunswick",CA,Canada_Business_Directory,2026-07-14
Maple Tech Solutions,TECH,AH,,NO,,Jean Gagné,+1 (343) 761-6480,+1 (343) 761-6480,0.13,,ON,,Hamilton,ON,P6E 6S1,gagné.jean@mapletechsolutions.com,,,"Industry: Technology, Province: Ontario",CA,Canada_Business_Directory,2026-07-14
Atlantic Fisheries,GENERAL,AH,,NO,,Catherine Davis,+1 (506) 818-8638,+1 (506) 818-8638,0.13,,NB,,Saint John,NB,E6A 2V0,cdavis@atlanticfisheries.ca,,,"Industry: Fishing, Province: New Brunswick",CA,Canada_Business_Directory,2026-07-14
Northern Mining Corp,GENERAL,AH,,NO,,Emma Chen,+1 (450) 955-9595,+1 (450) 955-9595,0.13,,QC,,Laval,QC,H3F 8P0,emma.chen@northernminingcorp.ca,,,"Industry: Mining, Province: Quebec",CA,Canada_Business_Directory,2026-07-14
Atlantic Fisheries,GENERAL,AH,,NO,,Michael Chen,+1 (306) 738-5935,+1 (306) 738-5935,0.13,,SK,,Prince Albert,SK,S7S 9T7,chen.michael@atlanticfisheries.com,,,"Industry: Fishing, Province: Saskatchewan",CA,Canada_Business_Directory,2026-07-14
Prairie Agriculture Co,AGRICULTURE,AH,,NO,,Jean Johnson,+1 (902) 681-8559,+1 (902) 681-8559,0.13,,NS,,Dartmouth,NS,B6V 2K6,johnson.jean@prairieagricultureco.com,,,"Industry: Agriculture, Province: Nova Scotia",CA,Canada_Business_Directory,2026-07-14
Maple Tech Solutions,TECH,AH,,NO,,David Gagnon,+1 (506) 471-1392,+1 (506) 471-1392,0.13,,NB,,Fredericton,NB,E9K 4N2,gagnon.david@mapletechsolutions.com,,,"Industry: Technology, Province: New Brunswick",CA,Canada_Business_Directory,2026-07-14
Atlantic Fisheries,GENERAL,AH,,NO,,Catherine Morin,+1 (306) 954-5577,+1 (306) 954-5577,0.13,,SK,,Saskatoon,SK,S7K 1V1,morin.catherine@atlanticfisheries.com,,,"Industry: Fishing, Province: Saskatchewan",CA,Canada_Business_Directory,2026-07-14
Quebec Manufacturing,INDUSTRIAL,AH,,NO,,Catherine Lavoie,+1 (514) 727-2149,+1 (514) 727-2149,0.13,,QC,,Laval,QC,G8R 6C3,clavoie@quebecmanufacturing.ca,,,"Industry: Manufacturing, Province: Quebec",CA,Canada_Business_Directory,2026-07-14
