Client,Type,Rep,System,HW_Maint,Revenue_Tracking,Primary_Contact,Phone,Cell,Tax_Pct,Tax_Pct2,Tax_District,Store_Address,City,State,Zip,Email,Ops_Email,Billing_Email,Notes,Country,Source,Import_Date
Bancaria Central,FINANCE,AH,,NO,,Juan Gutiérrez,+52 (686) 1013-3787,+52 (686) 1013-3787,0.16,,BCN,,Tijuana,BCN,23902,gutiérrez.juan@bancariacentral.com,,,"Industry: Finance, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Juan Morales,+52 (988) 7426-6307,+52 (988) 7426-6307,0.16,,YUC,,Progreso,YUC,47315,juan.morales@petroveracruz.com.mx,,,"Industry: Petroleum, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Jorge Ortiz,+52 (222) 1797-4497,+52 (222) 1797-4497,0.16,,PUE,,Puebla City,PUE,97786,jorge.ortiz@turismomaya.com.mx,,,"Industry: Tourism, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Alejandra González,+52 (961) 2219-9446,+52 (961) 2219-9446,0.16,,CHP,,Tuxtla Gutiérrez,CHP,67232,alejandra.gonzález@tequilapremium.com.mx,,,"Industry: Beverages, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Pedro García,+52 (962) 9102-2708,+52 (962) 9102-2708,0.16,,CHP,,Tapachula,CHP,36690,garcía.pedro@tequilapremium.com,,,"Industry: Beverages, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,José Martínez,+52 (668) 8246-8339,+52 (668) 8246-8339,0.16,,SIN,,Mazatlán,SIN,10767,martínez.josé@caféchiapas.com,,,"Industry: Agriculture, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Pedro López,+52 (646) 6362-4001,+52 (646) 6362-4001,0.16,,BCN,,Mexicali,BCN,47824,lópez.pedro@petroveracruz.com,,,"Industry: Petroleum, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Ana González,+52 (238) 9544-1442,+52 (238) 9544-1442,0.16,,PUE,,Tehuacán,PUE,90783,gonzález.ana@caféchiapas.com,,,"Industry: Agriculture, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Jorge Sánchez,+52 (646) 8546-3682,+52 (646) 8546-3682,0.16,,BCN,,Ensenada,BCN,59709,jorge.sánchez@bancariacentral.com.mx,,,"Industry: Finance, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,AH,,NO,,Pedro Morales,+52 (642) 8529-5438,+52 (642) 8529-5438,0.16,,SON,,Hermosillo,SON,20517,morales.pedro@tecnologíadelnorte.com,,,"Industry: Technology, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,AH,,NO,,Rosa Reyes,+52 (231) 8418-8726,+52 (231) 8418-8726,0.16,,PUE,,Tehuacán,PUE,84750,reyes.rosa@tecnologíadelnorte.com,,,"Industry: Technology, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Carmen Martínez,+52 (238) 2952-0017,+52 (238) 2952-0017,0.16,,PUE,,Atlixco,PUE,89516,carmen.martínez@turismomaya.com.mx,,,"Industry: Tourism, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,AH,,NO,,Rosa Reyes,+52 (222) 5452-8497,+52 (222) 5452-8497,0.16,,PUE,,Puebla City,PUE,98187,rreyes@tecnologíadelnorte.mx,,,"Industry: Technology, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,LG,,NO,,Jorge Sánchez,+52 (341) 1254-7291,+52 (341) 1254-7291,0.16,,JAL,,Puerto Vallarta,JAL,17198,jorge.sánchez@tecnologíadelnorte.com.mx,,,"Industry: Technology, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
