Client,Type,Rep,System,HW_Maint,Revenue_Tracking,Primary_Contact,Phone,Cell,Tax_Pct,Tax_Pct2,Tax_District,Store_Address,City,State,Zip,Email,Ops_Email,Billing_Email,Notes,Country,Source,Import_Date
Sotheby's,REAL ESTATE,LG,,NO,,Jason Turner,(747) 239-3796,(747) 239-3796,0.0825,,TEX,,San Antonio,TX,,turner.jason@realtyonegroup.com,,,"Experience: 4 years, Transactions: 13, Volume: $699,731",US,CREAM_RealEstate,2026-03-30
Taylor Morrison,REAL ESTATE,AH,,NO,,Kimberly Nguyen,(908) 349-6703,(908) 349-6703,0.0925,,SF,,San Jose,CA,,nguyen.kimberly@coldwellbanker.com,,,"Experience: 10 years, Transactions: 14, Volume: $13,697,146",US,CREAM_RealEstate,2026-03-30
Sotheby's,REAL ESTATE,AH,,NO,,Anthony Johnson,(747) 550-7560,(747) 550-7560,0.08,,GEN,,Atlanta,GA,,anthony.johnson@elliman.com,,,"Experience: 16 years, Transactions: 10, Volume: $14,616,941",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,AH,,NO,,Amanda Campbell,(412) 570-9941,(412) 570-9941,0.08,,GEN,,Detroit,MI,,amandac@compass.com,,,"Experience: 22 years, Transactions: 41, Volume: $11,251,068",US,CREAM_RealEstate,2026-03-30
Vylla Home,REAL ESTATE,AH,,NO,,Jacob Carter,(941) 834-4826,(941) 834-4826,0.08,,GEN,,Baton Rouge,LA,,jacob.carter@exprealty.com,,,"Experience: 19 years, Transactions: 24, Volume: $10,778,755",US,CREAM_RealEstate,2026-03-30
D.R. Horton,REAL ESTATE,AH,,NO,,Karen Murphy,(774) 534-6511,(774) 534-6511,0.08,,GEN,,Albuquerque,NM,,murphy.karen@outlook.com,,,"Experience: 12 years, Transactions: 16, Volume: $4,303,644",US,CREAM_RealEstate,2026-03-30
Sotheby's,REAL ESTATE,AH,,NO,,Angela Patel,(310) 535-5049,(310) 535-5049,0.08,,GEN,,New Orleans,LA,,patel.angela@hotmail.com,,,"Experience: 21 years, Transactions: 29, Volume: $14,208,802",US,CREAM_RealEstate,2026-03-30
Sotheby's,REAL ESTATE,AH,,NO,,Carolyn Mendoza,(612) 549-4958,(612) 549-4958,0.08,,GEN,,Boston,MA,,carolynm@elliman.com,,,"Experience: 12 years, Transactions: 40, Volume: $3,144,733",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,AH,,NO,,Nancy Gray,(614) 502-6868,(614) 502-6868,0.08,,GEN,,Minneapolis,MN,,ngray@hotmail.com,,,"Experience: 11 years, Transactions: 41, Volume: $14,912,502",US,CREAM_RealEstate,2026-03-30
Vylla Home,REAL ESTATE,AH,,NO,,Brenda Mitchell,(725) 575-3232,(725) 575-3232,0.0925,,SF,,Los Angeles,CA,,brendam@homesmart.com,,,"Experience: 10 years, Transactions: 31, Volume: $4,240,705",US,CREAM_RealEstate,2026-03-30
Nest Seekers,REAL ESTATE,AH,,NO,,Emily Peterson,(903) 426-8353,(903) 426-8353,0.08,,GEN,,Baton Rouge,LA,,peterson.emily@compass.com,,,"Experience: 7 years, Transactions: 20, Volume: $4,239,891",US,CREAM_RealEstate,2026-03-30
NVR,REAL ESTATE,AH,,NO,,Christopher Wright,(856) 226-6159,(856) 226-6159,0.08,,GEN,,Salt Lake City,UT,,wright.christopher@gmail.com,,,"Experience: 22 years, Transactions: 28, Volume: $11,250,300",US,CREAM_RealEstate,2026-03-30
Lennar,REAL ESTATE,AH,,NO,,Kathleen Scott,(956) 944-7891,(956) 944-7891,0.08,,GEN,,Nashville,TN,,kathleen49@elliman.com,,,"Experience: 2 years, Transactions: 12, Volume: $1,755,703",US,CREAM_RealEstate,2026-03-30
Keller Williams,REAL ESTATE,AH,,NO,,Nicholas Parker,(626) 796-4612,(626) 796-4612,0.08,,GEN,,Colorado Springs,CO,,nparker@coldwellbanker.com,,,"Experience: 1 years, Transactions: 2, Volume: $280,799",US,CREAM_RealEstate,2026-03-30
eXp Realty,REAL ESTATE,LG,,NO,,Michelle Ramirez,(985) 771-6904,(985) 771-6904,0.0825,,TEX,,Austin,TX,,michelle.ramirez@compass.com,,,"Experience: 1 years, Transactions: 5, Volume: $20,167",US,CREAM_RealEstate,2026-03-30
Vylla Home,REAL ESTATE,LG,,NO,,Patrick Torres,(682) 312-2679,(682) 312-2679,0.0825,,TEX,,Houston,TX,,patrick.torres@redfin.com,,,"Experience: 22 years, Transactions: 25, Volume: $6,553,146",US,CREAM_RealEstate,2026-03-30
Douglas Elliman,REAL ESTATE,AH,,NO,,Scott Turner,(732) 955-6795,(732) 955-6795,0.0925,,SF,,Riverside,CA,,sturner@century21.com,,,"Experience: 17 years, Transactions: 25, Volume: $10,093,538",US,CREAM_RealEstate,2026-03-30
RE/MAX,REAL ESTATE,AH,,NO,,Eric Price,(802) 793-7580,(802) 793-7580,0.08,,GEN,,Richmond,VA,,eric43@weichert.com,,,"Experience: 1 years, Transactions: 3, Volume: $58,602",US,CREAM_RealEstate,2026-03-30
NVR,REAL ESTATE,AH,,NO,,Scott Howard,(315) 835-3394,(315) 835-3394,0.08,,GEN,,Kansas City,MO,,scott64@gmail.com,,,"Experience: 21 years, Transactions: 37, Volume: $10,437,538",US,CREAM_RealEstate,2026-03-30
The Agency,REAL ESTATE,AH,,NO,,Ryan Brooks,(308) 983-6555,(308) 983-6555,0.08,,GEN,,Minneapolis,MN,,ryan78@compass.com,,,"Experience: 1 years, Transactions: 4, Volume: $456,161",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,AH,,NO,,Timothy Sanders,(570) 623-9768,(570) 623-9768,0.08,,GEN,,Raleigh,NC,,tsanders@homesmart.com,,,"Experience: 2 years, Transactions: 7, Volume: $1,793,443",US,CREAM_RealEstate,2026-03-30
Berkshire Hathaway,REAL ESTATE,RA,,NO,,Catherine Hall,(415) 565-4223,(415) 565-4223,0.065,,FLA,,Tampa,FL,,chall@weichert.com,,,"Experience: 15 years, Transactions: 16, Volume: $2,457,285",US,CREAM_RealEstate,2026-03-30
Century 21,REAL ESTATE,AH,,NO,,Ruth Rivera,(865) 266-5537,(865) 266-5537,0.08,,GEN,,Albuquerque,NM,,rrivera@hotmail.com,,,"Experience: 19 years, Transactions: 36, Volume: $4,031,405",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,DK,,NO,,Stephanie Evans,(217) 627-5457,(217) 627-5457,0.08,,GEN,,Portland,OR,,sevans@homesmart.com,,,"Experience: 16 years, Transactions: 32, Volume: $12,226,422",US,CREAM_RealEstate,2026-03-30
RE/MAX,REAL ESTATE,AH,,NO,,Emily Thomas,(703) 649-3286,(703) 649-3286,0.08,,GEN,,Kansas City,MO,,emilyt@hotmail.com,,,"Experience: 5 years, Transactions: 41, Volume: $9,310,391",US,CREAM_RealEstate,2026-03-30
Compass,REAL ESTATE,AH,,NO,,Justin Parker,(330) 751-5114,(330) 751-5114,0.08,,GEN,,Albuquerque,NM,,justin.parker@coldwellbanker.com,,,"Experience: 25 years, Transactions: 26, Volume: $14,567,286",US,CREAM_RealEstate,2026-03-30
