First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Jason,Turner,turner.jason@realtyonegroup.com,(747) 239-3796,Sotheby's,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 13, Volume: $699,731",CREAM_RealEstate
Kimberly,Nguyen,nguyen.kimberly@coldwellbanker.com,(908) 349-6703,Taylor Morrison,San Jose,CA,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 14, Volume: $13,697,146",CREAM_RealEstate
Anthony,Johnson,anthony.johnson@elliman.com,(747) 550-7560,Sotheby's,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 10, Volume: $14,616,941",CREAM_RealEstate
Amanda,Campbell,amandac@compass.com,(412) 570-9941,Tri Pointe Homes,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 41, Volume: $11,251,068",CREAM_RealEstate
Jacob,Carter,jacob.carter@exprealty.com,(941) 834-4826,Vylla Home,Baton Rouge,LA,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 24, Volume: $10,778,755",CREAM_RealEstate
Karen,Murphy,murphy.karen@outlook.com,(774) 534-6511,D.R. Horton,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 16, Volume: $4,303,644",CREAM_RealEstate
Angela,Patel,patel.angela@hotmail.com,(310) 535-5049,Sotheby's,New Orleans,LA,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 29, Volume: $14,208,802",CREAM_RealEstate
Carolyn,Mendoza,carolynm@elliman.com,(612) 549-4958,Sotheby's,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 40, Volume: $3,144,733",CREAM_RealEstate
Nancy,Gray,ngray@hotmail.com,(614) 502-6868,Tri Pointe Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 11 years, Transactions: 41, Volume: $14,912,502",CREAM_RealEstate
Brenda,Mitchell,brendam@homesmart.com,(725) 575-3232,Vylla Home,Los Angeles,CA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 31, Volume: $4,240,705",CREAM_RealEstate
Emily,Peterson,peterson.emily@compass.com,(903) 426-8353,Nest Seekers,Baton Rouge,LA,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 20, Volume: $4,239,891",CREAM_RealEstate
Christopher,Wright,wright.christopher@gmail.com,(856) 226-6159,NVR,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 28, Volume: $11,250,300",CREAM_RealEstate
Kathleen,Scott,kathleen49@elliman.com,(956) 944-7891,Lennar,Nashville,TN,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 12, Volume: $1,755,703",CREAM_RealEstate
Nicholas,Parker,nparker@coldwellbanker.com,(626) 796-4612,Keller Williams,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 2, Volume: $280,799",CREAM_RealEstate
