First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Robert,Watson,robert31@century21.com,(724) 425-4417,RE/MAX,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 2 years, Transactions: 3, Volume: $1,137,054",CREAM_RealEstate
Robert,Ross,ross.robert@outlook.com,(210) 540-4860,ERA,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 48, Volume: $7,132,583",CREAM_RealEstate
Maria,Garcia,maria27@realtyonegroup.com,(334) 925-3825,ERA,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 26, Volume: $3,477,863",CREAM_RealEstate
Janet,Cox,janetc@coldwellbanker.com,(806) 544-6028,eXp Realty,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 20 years, Transactions: 27, Volume: $14,084,776",CREAM_RealEstate
Helen,Baker,baker.helen@redfin.com,(712) 995-8183,HomeSmart,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 10, Volume: $10,750,935",CREAM_RealEstate
Angela,Gonzalez,angela87@weichert.com,(952) 658-2476,Vylla Home,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 18, Volume: $9,298,358",CREAM_RealEstate
Helen,Hughes,helen33@century21.com,(772) 839-1926,D.R. Horton,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 20, Volume: $1,553,053",CREAM_RealEstate
Scott,Anderson,scotta@coldwellbanker.com,(909) 411-7537,Lennar,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 0, Volume: $90,229",CREAM_RealEstate
Samuel,Davis,samueld@exprealty.com,(878) 606-1640,Weichert,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 28, Volume: $10,731,431",CREAM_RealEstate
Katherine,Cruz,kcruz@sothebysrealty.com,(401) 518-4052,Keller Williams,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $178,894",CREAM_RealEstate
Jeffrey,Walker,jeffreyw@berkshirehathawayhs.com,(509) 738-5864,Sotheby's,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 25 years, Transactions: 24, Volume: $10,036,180",CREAM_RealEstate
Brian,Morris,morris.brian@homesmart.com,(864) 979-2391,Lennar,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 8 years, Transactions: 50, Volume: $5,216,483",CREAM_RealEstate
Kevin,Martinez,kevin.martinez@coldwellbanker.com,(206) 739-6233,Compass,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 33, Volume: $8,360,304",CREAM_RealEstate
Pamela,Brown,pbrown@sothebysrealty.com,(620) 582-2042,M/I Homes,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 40, Volume: $5,825,392",CREAM_RealEstate
Joshua,Baker,joshua46@weichert.com,(405) 396-9670,Vylla Home,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 2, Volume: $67,380",CREAM_RealEstate
Samantha,Brown,brown.samantha@homesmart.com,(660) 495-8344,Berkshire Hathaway,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 19 years, Transactions: 15, Volume: $7,899,258",CREAM_RealEstate
Nicole,Wood,nwood@hotmail.com,(817) 848-6716,Douglas Elliman,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 24 years, Transactions: 38, Volume: $10,245,427",CREAM_RealEstate
Gary,White,white.gary@gmail.com,(501) 368-9876,eXp Realty,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 45, Volume: $14,598,195",CREAM_RealEstate
Samantha,Ross,samantha61@kw.com,(203) 230-4832,Tri Pointe Homes,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 7 years, Transactions: 42, Volume: $7,622,225",CREAM_RealEstate
Laura,Castillo,laura.castillo@sothebysrealty.com,(401) 682-4374,Berkshire Hathaway,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 11, Volume: $780,230",CREAM_RealEstate
Kathleen,Clark,clark.kathleen@exprealty.com,(585) 620-3205,HomeSmart,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 0, Volume: $392,335",CREAM_RealEstate
Robert,Taylor,robert21@berkshirehathawayhs.com,(508) 621-9275,NVR,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 15, Volume: $12,607,682",CREAM_RealEstate
Laura,Brooks,laura46@remax.net,(704) 509-7643,KB Home,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 32, Volume: $2,200,513",CREAM_RealEstate
Barbara,Mendoza,barbara.mendoza@kw.com,(302) 935-7653,RE/MAX,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 32, Volume: $11,098,586",CREAM_RealEstate
Carolyn,Thomas,carolynt@outlook.com,(978) 387-4969,Tri Pointe Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 15 years, Transactions: 18, Volume: $8,474,718",CREAM_RealEstate
Brenda,Parker,brenda.parker@homesmart.com,(775) 849-3117,RE/MAX,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 32, Volume: $9,039,415",CREAM_RealEstate
Christopher,Evans,christopher.evans@realtyonegroup.com,(442) 663-2379,Tri Pointe Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 14, Volume: $12,410,108",CREAM_RealEstate
Brenda,Adams,brenda52@berkshirehathawayhs.com,(803) 400-9566,NVR,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 40, Volume: $14,818,272",CREAM_RealEstate
Edward,Robinson,edward.robinson@elliman.com,(331) 865-2225,RE/MAX,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 43, Volume: $2,663,388",CREAM_RealEstate
Kenneth,Nelson,kenneth66@gmail.com,(863) 824-8433,Nest Seekers,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 34, Volume: $5,880,371",CREAM_RealEstate
Michelle,Green,michelleg@remax.net,(947) 625-9267,Meritage Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 39, Volume: $7,442,859",CREAM_RealEstate
Mark,Peterson,markp@sothebysrealty.com,(573) 808-9404,Vylla Home,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 38, Volume: $1,674,754",CREAM_RealEstate
Charles,Gomez,charlesg@kw.com,(401) 955-4086,Keller Williams,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 7 years, Transactions: 50, Volume: $12,588,713",CREAM_RealEstate
Cynthia,Rogers,crogers@sothebysrealty.com,(518) 712-5598,Douglas Elliman,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 2 years, Transactions: 13, Volume: $1,123,740",CREAM_RealEstate
Patrick,Robinson,patrick.robinson@gmail.com,(325) 579-2786,Coldwell Banker,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $95,953",CREAM_RealEstate
Kevin,Garcia,keving@hotmail.com,(830) 523-6584,Meritage Homes,Phoenix,AZ,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 31, Volume: $6,667,266",CREAM_RealEstate
Angela,Lee,lee.angela@coldwellbanker.com,(567) 452-3191,Beazer Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 24, Volume: $5,520,673",CREAM_RealEstate
Elizabeth,Morris,elizabeth86@exprealty.com,(832) 366-7501,Beazer Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 22, Volume: $9,139,221",CREAM_RealEstate
Brian,Ward,ward.brian@elliman.com,(628) 243-9618,Meritage Homes,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 39, Volume: $14,332,594",CREAM_RealEstate
Angela,Cooper,cooper.angela@yahoo.com,(817) 376-4513,Realty One Group,Tucson,AZ,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 20, Volume: $2,326,116",CREAM_RealEstate
