First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
James,Gagnon,jgagnon@mapletechsolutions.ca,+1 (780) 210-9016,Maple Tech Solutions,Edmonton,AB,CA,T0V 9Z0,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Isabelle,Brown,ibrown@quebecmanufacturing.ca,+1 (587) 594-2146,Quebec Manufacturing,Red Deer,AB,CA,T0P 0K7,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
William,Gagné,william.gagné@northernminingcorp.ca,+1 (587) 243-6396,Northern Mining Corp,Red Deer,AB,CA,T0P 2M9,"Priority_C, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Anne,Lavoie,lavoie.anne@mapletechsolutions.com,+1 (587) 544-8217,Maple Tech Solutions,Red Deer,AB,CA,T8B 4B5,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Emma,Murphy,murphy.emma@mapletechsolutions.com,+1 (587) 995-3093,Maple Tech Solutions,Red Deer,AB,CA,T1J 7F7,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Emma,MacDonald,macdonald.emma@pacificsoftwareinc.com,+1 (403) 577-8939,Pacific Software Inc,Calgary,AB,CA,T0J 7R9,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Sarah,Murphy,sarah.murphy@atlanticfisheries.ca,+1 (780) 277-5717,Atlantic Fisheries,Calgary,AB,CA,T6G 6X1,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Sophie,Morin,morin.sophie@quebecmanufacturing.com,+1 (780) 768-5504,Quebec Manufacturing,Calgary,AB,CA,T8B 5A9,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Anne,Gagnon,gagnon.anne@prairieagricultureco.com,+1 (403) 883-3766,Prairie Agriculture Co,Lethbridge,AB,CA,T2B 9V0,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Sophie,Murphy,murphy.sophie@quebecmanufacturing.com,+1 (780) 643-1801,Quebec Manufacturing,Edmonton,AB,CA,T1N 4Y8,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Christopher,Roy,croy@quebecmanufacturing.ca,+1 (403) 907-1130,Quebec Manufacturing,Red Deer,AB,CA,T6B 8E1,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Isabelle,Tremblay,tremblay.isabelle@atlanticfisheries.com,+1 (587) 707-5442,Atlantic Fisheries,Edmonton,AB,CA,T1W 7D7,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Emma,Roy,roy.emma@pacificsoftwareinc.com,+1 (403) 359-7109,Pacific Software Inc,Lethbridge,AB,CA,T7J 7U4,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Jean,Fortin,fortin.jean@pacificsoftwareinc.com,+1 (403) 636-5126,Pacific Software Inc,Red Deer,AB,CA,T3H 8T2,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
James,Gagnon,jgagnon@northernminingcorp.ca,+1 (780) 451-4242,Northern Mining Corp,Red Deer,AB,CA,T8F 2N4,"Priority_C, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Daniel,Brown,brown.daniel@northernminingcorp.com,+1 (587) 712-3479,Northern Mining Corp,Edmonton,AB,CA,T6X 9D9,"Priority_A, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Julie,Smith,julie.smith@mapletechsolutions.ca,+1 (587) 934-6521,Maple Tech Solutions,Calgary,AB,CA,T4C 8J2,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
William,Davis,william.davis@northernminingcorp.ca,+1 (587) 258-2072,Northern Mining Corp,Calgary,AB,CA,T4T 4S7,"Priority_A, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Christopher,Gagné,gagné.christopher@atlanticfisheries.com,+1 (780) 947-7065,Atlantic Fisheries,Edmonton,AB,CA,T8R 5H3,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Olivia,Gauthier,olivia.gauthier@quebecmanufacturing.ca,+1 (587) 442-4874,Quebec Manufacturing,Edmonton,AB,CA,T4C 4T2,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Jean,O'Brien,jo'brien@atlanticfisheries.ca,+1 (780) 472-1195,Atlantic Fisheries,Edmonton,AB,CA,T1B 0S1,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Daniel,Bouchard,daniel.bouchard@northernminingcorp.ca,+1 (780) 793-7852,Northern Mining Corp,Calgary,AB,CA,T0U 5M6,"Priority_C, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Thomas,Murphy,tmurphy@pacificsoftwareinc.ca,+1 (587) 268-2368,Pacific Software Inc,Red Deer,AB,CA,T3R 2K4,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Thomas,O'Brien,thomas.o'brien@quebecmanufacturing.ca,+1 (587) 319-6677,Quebec Manufacturing,Calgary,AB,CA,T2P 9B0,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Robert,MacDonald,macdonald.robert@pacificsoftwareinc.com,+1 (587) 959-5918,Pacific Software Inc,Edmonton,AB,CA,T4B 5Y2,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Pierre,MacDonald,pmacdonald@prairieagricultureco.ca,+1 (403) 670-9150,Prairie Agriculture Co,Edmonton,AB,CA,T8W 0Y6,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Sophie,Roy,sophie.roy@prairieagricultureco.ca,+1 (587) 337-7616,Prairie Agriculture Co,Red Deer,AB,CA,T4U 0F9,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Christopher,MacDonald,macdonald.christopher@prairieagricultureco.com,+1 (403) 871-8412,Prairie Agriculture Co,Edmonton,AB,CA,T5Y 6U3,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Catherine,Murphy,murphy.catherine@mapletechsolutions.com,+1 (403) 636-1522,Maple Tech Solutions,Red Deer,AB,CA,T6F 2V1,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
William,Gauthier,wgauthier@northernminingcorp.ca,+1 (403) 597-5677,Northern Mining Corp,Edmonton,AB,CA,T5H 2M4,"Priority_A, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Julie,MacDonald,jmacdonald@mapletechsolutions.ca,+1 (587) 352-9005,Maple Tech Solutions,Edmonton,AB,CA,T2U 3Y4,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Nathalie,MacDonald,nathalie.macdonald@northernminingcorp.ca,+1 (403) 940-9982,Northern Mining Corp,Red Deer,AB,CA,T9A 6H9,"Priority_C, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Marie,Tremblay,marie.tremblay@prairieagricultureco.ca,+1 (780) 429-3693,Prairie Agriculture Co,Red Deer,AB,CA,T1B 1S2,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
David,Gagné,david.gagné@atlanticfisheries.ca,+1 (403) 227-6803,Atlantic Fisheries,Edmonton,AB,CA,T4M 1X3,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Emma,Smith,esmith@mapletechsolutions.ca,+1 (780) 350-7147,Maple Tech Solutions,Edmonton,AB,CA,T7M 1U3,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Pierre,Morin,pmorin@prairieagricultureco.ca,+1 (780) 338-6446,Prairie Agriculture Co,Edmonton,AB,CA,T7L 8W2,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Anne,Lavoie,lavoie.anne@atlanticfisheries.com,+1 (403) 655-1873,Atlantic Fisheries,Edmonton,AB,CA,T9X 8E0,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
James,Côté,côté.james@pacificsoftwareinc.com,+1 (780) 911-8502,Pacific Software Inc,Lethbridge,AB,CA,T5C 8H7,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Pierre,Fortin,pierre.fortin@northernminingcorp.ca,+1 (587) 518-3684,Northern Mining Corp,Red Deer,AB,CA,T3A 9W2,"Priority_C, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Julie,Tremblay,julie.tremblay@atlanticfisheries.ca,+1 (403) 492-2379,Atlantic Fisheries,Red Deer,AB,CA,T9D 2D2,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Sophie,Johnson,sophie.johnson@prairieagricultureco.ca,+1 (780) 777-3427,Prairie Agriculture Co,Red Deer,AB,CA,T0D 9S7,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Thomas,Bouchard,bouchard.thomas@pacificsoftwareinc.com,+1 (403) 745-4440,Pacific Software Inc,Red Deer,AB,CA,T6H 9T9,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Jean,Roy,jroy@prairieagricultureco.ca,+1 (587) 519-2253,Prairie Agriculture Co,Lethbridge,AB,CA,T6R 8F2,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Sarah,O'Brien,sarah.o'brien@mapletechsolutions.ca,+1 (780) 586-5613,Maple Tech Solutions,Calgary,AB,CA,T1G 2H5,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Nathalie,Bouchard,bouchard.nathalie@quebecmanufacturing.com,+1 (403) 594-7031,Quebec Manufacturing,Calgary,AB,CA,T6Y 7C9,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Catherine,Chen,cchen@atlanticfisheries.ca,+1 (587) 548-4937,Atlantic Fisheries,Calgary,AB,CA,T8H 9C2,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Robert,Fortin,fortin.robert@atlanticfisheries.com,+1 (403) 652-4633,Atlantic Fisheries,Red Deer,AB,CA,T5J 9G7,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
David,Roy,roy.david@pacificsoftwareinc.com,+1 (403) 285-1366,Pacific Software Inc,Calgary,AB,CA,T6H 0C7,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Daniel,MacDonald,dmacdonald@mapletechsolutions.ca,+1 (403) 470-6280,Maple Tech Solutions,Red Deer,AB,CA,T9R 7S2,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Marie,Côté,côté.marie@prairieagricultureco.com,+1 (403) 433-6117,Prairie Agriculture Co,Lethbridge,AB,CA,T2J 9C1,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Pierre,Côté,pcôté@prairieagricultureco.ca,+1 (403) 219-5279,Prairie Agriculture Co,Lethbridge,AB,CA,T7Z 8V5,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Thomas,Lee,tlee@northernminingcorp.ca,+1 (403) 775-4721,Northern Mining Corp,Red Deer,AB,CA,T6D 8J1,"Priority_A, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Anne,Wilson,wilson.anne@pacificsoftwareinc.com,+1 (780) 448-6508,Pacific Software Inc,Lethbridge,AB,CA,T4B 3K7,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
James,Chen,chen.james@quebecmanufacturing.com,+1 (587) 277-7668,Quebec Manufacturing,Edmonton,AB,CA,T8Y 4J1,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Thomas,Tremblay,thomas.tremblay@northernminingcorp.ca,+1 (587) 468-9100,Northern Mining Corp,Red Deer,AB,CA,T9C 9S9,"Priority_B, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Nathalie,Wilson,nathalie.wilson@mapletechsolutions.ca,+1 (587) 524-7737,Maple Tech Solutions,Calgary,AB,CA,T9X 0H0,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Isabelle,Wilson,isabelle.wilson@northernminingcorp.ca,+1 (780) 694-3689,Northern Mining Corp,Lethbridge,AB,CA,T0J 4L3,"Priority_B, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Anne,Gagnon,agagnon@mapletechsolutions.ca,+1 (780) 427-3595,Maple Tech Solutions,Lethbridge,AB,CA,T9T 2Z4,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
William,Bouchard,bouchard.william@quebecmanufacturing.com,+1 (403) 819-6920,Quebec Manufacturing,Lethbridge,AB,CA,T8R 1N2,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Robert,Smith,robert.smith@pacificsoftwareinc.ca,+1 (587) 827-8034,Pacific Software Inc,Red Deer,AB,CA,T4W 9F3,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Julie,Johnson,julie.johnson@pacificsoftwareinc.ca,+1 (587) 975-2920,Pacific Software Inc,Red Deer,AB,CA,T9E 3U4,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Thomas,Roy,roy.thomas@quebecmanufacturing.com,+1 (780) 536-6749,Quebec Manufacturing,Lethbridge,AB,CA,T5X 1P4,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Julie,Gagné,jgagné@quebecmanufacturing.ca,+1 (780) 263-3663,Quebec Manufacturing,Edmonton,AB,CA,T4B 1U0,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Pierre,Côté,pierre.côté@atlanticfisheries.ca,+1 (780) 752-8253,Atlantic Fisheries,Calgary,AB,CA,T6W 5R0,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Alberta",Canada_Business_Directory
Robert,Davis,robert.davis@prairieagricultureco.ca,+1 (780) 693-7397,Prairie Agriculture Co,Calgary,AB,CA,T2C 2S8,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Sophie,O'Brien,sophie.o'brien@mapletechsolutions.ca,+1 (780) 631-2867,Maple Tech Solutions,Red Deer,AB,CA,T3N 0J0,"Priority_A, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Jean,Gagnon,jean.gagnon@quebecmanufacturing.ca,+1 (587) 467-7640,Quebec Manufacturing,Edmonton,AB,CA,T6V 1R8,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
William,Murphy,wmurphy@prairieagricultureco.ca,+1 (780) 220-6614,Prairie Agriculture Co,Red Deer,AB,CA,T5W 2D4,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Alberta",Canada_Business_Directory
Sarah,Côté,sarah.côté@pacificsoftwareinc.ca,+1 (403) 691-6104,Pacific Software Inc,Red Deer,AB,CA,T7L 1V2,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
David,Bouchard,david.bouchard@pacificsoftwareinc.ca,+1 (780) 524-8394,Pacific Software Inc,Lethbridge,AB,CA,T7M 3X9,"Priority_B, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
Thomas,Chen,tchen@northernminingcorp.ca,+1 (780) 922-9439,Northern Mining Corp,Edmonton,AB,CA,T6S 1V6,"Priority_B, Canada, Mining","Industry: Mining, Province: Alberta",Canada_Business_Directory
Sophie,Côté,scôté@mapletechsolutions.ca,+1 (587) 811-2462,Maple Tech Solutions,Edmonton,AB,CA,T9T 1U9,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
James,Murphy,murphy.james@quebecmanufacturing.com,+1 (403) 695-9784,Quebec Manufacturing,Edmonton,AB,CA,T0V 0M2,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Alberta",Canada_Business_Directory
Daniel,Roy,roy.daniel@mapletechsolutions.com,+1 (780) 454-9605,Maple Tech Solutions,Lethbridge,AB,CA,T8F 2J7,"Priority_C, Canada, Technology","Industry: Technology, Province: Alberta",Canada_Business_Directory
