First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
David,Bouchard,dbouchard@atlanticfisheries.ca,+1 (514) 221-2437,Atlantic Fisheries,Gatineau,QC,CA,H0S 1H1,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
Sophie,O'Brien,so'brien@northernminingcorp.ca,+1 (647) 359-1331,Northern Mining Corp,Brampton,ON,CA,K1Z 9L4,"Priority_B, Canada, Mining","Industry: Mining, Province: Ontario",Canada_Business_Directory
William,Lee,wlee@prairieagricultureco.ca,+1 (204) 813-7215,Prairie Agriculture Co,Brandon,MB,CA,R4R 2H7,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Manitoba",Canada_Business_Directory
James,Roy,jroy@atlanticfisheries.ca,+1 (506) 393-2399,Atlantic Fisheries,Moncton,NB,CA,E3A 4N0,"Priority_C, Canada, Fishing","Industry: Fishing, Province: New Brunswick",Canada_Business_Directory
Jean,Gagné,gagné.jean@mapletechsolutions.com,+1 (343) 761-6480,Maple Tech Solutions,Hamilton,ON,CA,P6E 6S1,"Priority_B, Canada, Technology","Industry: Technology, Province: Ontario",Canada_Business_Directory
Catherine,Davis,cdavis@atlanticfisheries.ca,+1 (506) 818-8638,Atlantic Fisheries,Saint John,NB,CA,E6A 2V0,"Priority_C, Canada, Fishing","Industry: Fishing, Province: New Brunswick",Canada_Business_Directory
Emma,Chen,emma.chen@northernminingcorp.ca,+1 (450) 955-9595,Northern Mining Corp,Laval,QC,CA,H3F 8P0,"Priority_B, Canada, Mining","Industry: Mining, Province: Quebec",Canada_Business_Directory
Michael,Chen,chen.michael@atlanticfisheries.com,+1 (306) 738-5935,Atlantic Fisheries,Prince Albert,SK,CA,S7S 9T7,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Jean,Johnson,johnson.jean@prairieagricultureco.com,+1 (902) 681-8559,Prairie Agriculture Co,Dartmouth,NS,CA,B6V 2K6,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
David,Gagnon,gagnon.david@mapletechsolutions.com,+1 (506) 471-1392,Maple Tech Solutions,Fredericton,NB,CA,E9K 4N2,"Priority_A, Canada, Technology","Industry: Technology, Province: New Brunswick",Canada_Business_Directory
