First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
William,Lee,wlee@prairieagricultureco.ca,+1 (204) 813-7215,Prairie Agriculture Co,Brandon,MB,CA,R4R 2H7,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Manitoba",Canada_Business_Directory
Olivia,Tremblay,otremblay@pacificsoftwareinc.ca,+1 (204) 868-3435,Pacific Software Inc,Winnipeg,MB,CA,R8A 8A0,"Priority_C, Canada, Technology","Industry: Technology, Province: Manitoba",Canada_Business_Directory
Robert,Wilson,wilson.robert@northernminingcorp.com,+1 (204) 484-4042,Northern Mining Corp,Steinbach,MB,CA,R8Y 9L2,"Priority_B, Canada, Mining","Industry: Mining, Province: Manitoba",Canada_Business_Directory
Anne,Gauthier,anne.gauthier@mapletechsolutions.ca,+1 (204) 329-1420,Maple Tech Solutions,Winnipeg,MB,CA,R6K 2R8,"Priority_A, Canada, Technology","Industry: Technology, Province: Manitoba",Canada_Business_Directory
Pierre,Gagnon,pgagnon@pacificsoftwareinc.ca,+1 (204) 282-5626,Pacific Software Inc,Winnipeg,MB,CA,R0P 8B3,"Priority_A, Canada, Technology","Industry: Technology, Province: Manitoba",Canada_Business_Directory
Isabelle,Tremblay,itremblay@prairieagricultureco.ca,+1 (204) 376-1032,Prairie Agriculture Co,Steinbach,MB,CA,R9G 1C9,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Manitoba",Canada_Business_Directory
Isabelle,Wilson,isabelle.wilson@quebecmanufacturing.ca,+1 (204) 718-8526,Quebec Manufacturing,Winnipeg,MB,CA,R9N 0V1,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Manitoba",Canada_Business_Directory
James,Lee,jlee@prairieagricultureco.ca,+1 (204) 680-8999,Prairie Agriculture Co,Steinbach,MB,CA,R2N 9D0,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Manitoba",Canada_Business_Directory
Emma,Bouchard,ebouchard@quebecmanufacturing.ca,+1 (431) 289-7803,Quebec Manufacturing,Winnipeg,MB,CA,R9N 8L2,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Manitoba",Canada_Business_Directory
Jean,Lavoie,lavoie.jean@prairieagricultureco.com,+1 (204) 331-2669,Prairie Agriculture Co,Winnipeg,MB,CA,R5G 0R3,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Manitoba",Canada_Business_Directory
