First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Jean,Johnson,johnson.jean@prairieagricultureco.com,+1 (902) 681-8559,Prairie Agriculture Co,Dartmouth,NS,CA,B6V 2K6,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
Marie,O'Brien,mo'brien@quebecmanufacturing.ca,+1 (902) 754-8961,Quebec Manufacturing,Dartmouth,NS,CA,B2Z 1F5,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Pierre,Gauthier,gauthier.pierre@mapletechsolutions.com,+1 (902) 773-4361,Maple Tech Solutions,Sydney,NS,CA,B0U 7H8,"Priority_B, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Nathalie,MacDonald,macdonald.nathalie@quebecmanufacturing.com,+1 (902) 993-7172,Quebec Manufacturing,Sydney,NS,CA,B2Z 1C8,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Catherine,Gagné,gagné.catherine@mapletechsolutions.com,+1 (902) 565-6804,Maple Tech Solutions,Halifax,NS,CA,B0N 0A3,"Priority_A, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Thomas,Chen,thomas.chen@northernminingcorp.ca,+1 (902) 277-5048,Northern Mining Corp,Sydney,NS,CA,B4X 7K7,"Priority_B, Canada, Mining","Industry: Mining, Province: Nova Scotia",Canada_Business_Directory
Christopher,Lavoie,lavoie.christopher@northernminingcorp.com,+1 (902) 728-9937,Northern Mining Corp,Dartmouth,NS,CA,B7K 8L7,"Priority_C, Canada, Mining","Industry: Mining, Province: Nova Scotia",Canada_Business_Directory
Catherine,Wilson,wilson.catherine@quebecmanufacturing.com,+1 (902) 214-8207,Quebec Manufacturing,Dartmouth,NS,CA,B8K 5F0,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Sophie,Lee,slee@atlanticfisheries.ca,+1 (902) 576-5411,Atlantic Fisheries,Sydney,NS,CA,B8G 0V6,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Nova Scotia",Canada_Business_Directory
Thomas,Côté,côté.thomas@prairieagricultureco.com,+1 (902) 439-7614,Prairie Agriculture Co,Sydney,NS,CA,B2J 7E1,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
Michael,Morin,mmorin@mapletechsolutions.ca,+1 (902) 627-6072,Maple Tech Solutions,Sydney,NS,CA,B1D 7M1,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Isabelle,Roy,roy.isabelle@quebecmanufacturing.com,+1 (902) 937-6999,Quebec Manufacturing,Halifax,NS,CA,B7P 4R4,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Jean,Tremblay,jean.tremblay@mapletechsolutions.ca,+1 (902) 446-8317,Maple Tech Solutions,Sydney,NS,CA,B3F 4B5,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Isabelle,Bouchard,bouchard.isabelle@atlanticfisheries.com,+1 (902) 862-9528,Atlantic Fisheries,Sydney,NS,CA,B9A 4Y5,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Nova Scotia",Canada_Business_Directory
William,Johnson,johnson.william@mapletechsolutions.com,+1 (902) 201-5060,Maple Tech Solutions,Sydney,NS,CA,B1W 0P1,"Priority_B, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Julie,Johnson,johnson.julie@prairieagricultureco.com,+1 (902) 423-1855,Prairie Agriculture Co,Sydney,NS,CA,B6H 8Z4,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
Isabelle,MacDonald,macdonald.isabelle@northernminingcorp.com,+1 (902) 766-7140,Northern Mining Corp,Dartmouth,NS,CA,B9C 4H8,"Priority_B, Canada, Mining","Industry: Mining, Province: Nova Scotia",Canada_Business_Directory
Sarah,Gagnon,sarah.gagnon@prairieagricultureco.ca,+1 (902) 490-1179,Prairie Agriculture Co,Sydney,NS,CA,B6H 7S7,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
Daniel,Johnson,djohnson@quebecmanufacturing.ca,+1 (902) 635-9842,Quebec Manufacturing,Dartmouth,NS,CA,B7R 6P0,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Anne,O'Brien,anne.o'brien@atlanticfisheries.ca,+1 (902) 491-6396,Atlantic Fisheries,Halifax,NS,CA,B4A 9N5,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Nova Scotia",Canada_Business_Directory
Christopher,Wilson,cwilson@pacificsoftwareinc.ca,+1 (902) 708-2738,Pacific Software Inc,Dartmouth,NS,CA,B6L 2A8,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Michael,Fortin,michael.fortin@mapletechsolutions.ca,+1 (902) 831-1985,Maple Tech Solutions,Dartmouth,NS,CA,B7L 2C8,"Priority_B, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Olivia,Gauthier,ogauthier@mapletechsolutions.ca,+1 (902) 510-1564,Maple Tech Solutions,Halifax,NS,CA,B9X 7T5,"Priority_B, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Emma,Smith,esmith@quebecmanufacturing.ca,+1 (902) 431-4240,Quebec Manufacturing,Sydney,NS,CA,B0G 1C8,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Anne,Gagnon,gagnon.anne@quebecmanufacturing.com,+1 (902) 252-4041,Quebec Manufacturing,Sydney,NS,CA,B8D 1N0,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Sophie,Bouchard,sophie.bouchard@atlanticfisheries.ca,+1 (902) 307-6216,Atlantic Fisheries,Halifax,NS,CA,B9P 5G1,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Nova Scotia",Canada_Business_Directory
Christopher,MacDonald,christopher.macdonald@mapletechsolutions.ca,+1 (902) 774-7132,Maple Tech Solutions,Dartmouth,NS,CA,B1L 1E0,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
James,Brown,jbrown@pacificsoftwareinc.ca,+1 (902) 797-4203,Pacific Software Inc,Sydney,NS,CA,B1H 1Y1,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Anne,Murphy,amurphy@northernminingcorp.ca,+1 (902) 285-4445,Northern Mining Corp,Halifax,NS,CA,B4N 7J7,"Priority_B, Canada, Mining","Industry: Mining, Province: Nova Scotia",Canada_Business_Directory
Anne,Davis,adavis@quebecmanufacturing.ca,+1 (902) 706-7724,Quebec Manufacturing,Sydney,NS,CA,B9T 3H0,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Nova Scotia",Canada_Business_Directory
Christopher,Bouchard,christopher.bouchard@pacificsoftwareinc.ca,+1 (902) 293-5831,Pacific Software Inc,Halifax,NS,CA,B0R 9V9,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Jean,Tremblay,jean.tremblay@atlanticfisheries.ca,+1 (902) 757-3535,Atlantic Fisheries,Halifax,NS,CA,B8P 2B6,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Nova Scotia",Canada_Business_Directory
Jean,Fortin,fortin.jean@mapletechsolutions.com,+1 (902) 502-7187,Maple Tech Solutions,Halifax,NS,CA,B3C 5K7,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Marie,Côté,côté.marie@northernminingcorp.com,+1 (902) 669-1500,Northern Mining Corp,Dartmouth,NS,CA,B3D 3Y3,"Priority_B, Canada, Mining","Industry: Mining, Province: Nova Scotia",Canada_Business_Directory
Julie,Côté,julie.côté@pacificsoftwareinc.ca,+1 (902) 971-8757,Pacific Software Inc,Dartmouth,NS,CA,B6A 1T9,"Priority_C, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Jean,Gagnon,jean.gagnon@pacificsoftwareinc.ca,+1 (902) 479-4381,Pacific Software Inc,Sydney,NS,CA,B5D 2U1,"Priority_B, Canada, Technology","Industry: Technology, Province: Nova Scotia",Canada_Business_Directory
Julie,Chen,jchen@prairieagricultureco.ca,+1 (902) 439-2769,Prairie Agriculture Co,Halifax,NS,CA,B1M 0V5,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Nova Scotia",Canada_Business_Directory
