First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
David,Bouchard,dbouchard@atlanticfisheries.ca,+1 (514) 221-2437,Atlantic Fisheries,Gatineau,QC,CA,H0S 1H1,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
Emma,Chen,emma.chen@northernminingcorp.ca,+1 (450) 955-9595,Northern Mining Corp,Laval,QC,CA,H3F 8P0,"Priority_B, Canada, Mining","Industry: Mining, Province: Quebec",Canada_Business_Directory
Catherine,Lavoie,clavoie@quebecmanufacturing.ca,+1 (514) 727-2149,Quebec Manufacturing,Laval,QC,CA,G8R 6C3,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Quebec",Canada_Business_Directory
David,Brown,brown.david@atlanticfisheries.com,+1 (450) 894-9396,Atlantic Fisheries,Montreal,QC,CA,H9U 2F0,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
Pierre,Tremblay,ptremblay@northernminingcorp.ca,+1 (438) 791-9248,Northern Mining Corp,Quebec City,QC,CA,H7V 1T6,"Priority_A, Canada, Mining","Industry: Mining, Province: Quebec",Canada_Business_Directory
Marie,Lavoie,mlavoie@atlanticfisheries.ca,+1 (450) 702-5539,Atlantic Fisheries,Montreal,QC,CA,H3C 4T7,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
Daniel,Lee,dlee@quebecmanufacturing.ca,+1 (438) 633-8461,Quebec Manufacturing,Laval,QC,CA,G5S 5K5,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Quebec",Canada_Business_Directory
Jean,Gauthier,jean.gauthier@mapletechsolutions.ca,+1 (450) 808-1186,Maple Tech Solutions,Quebec City,QC,CA,H7U 3M3,"Priority_B, Canada, Technology","Industry: Technology, Province: Quebec",Canada_Business_Directory
Robert,Roy,robert.roy@northernminingcorp.ca,+1 (438) 304-1863,Northern Mining Corp,Quebec City,QC,CA,J6P 5L5,"Priority_A, Canada, Mining","Industry: Mining, Province: Quebec",Canada_Business_Directory
Marie,Côté,côté.marie@quebecmanufacturing.com,+1 (438) 514-1331,Quebec Manufacturing,Gatineau,QC,CA,G8A 2C9,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Quebec",Canada_Business_Directory
Daniel,O'Brien,do'brien@prairieagricultureco.ca,+1 (514) 614-8835,Prairie Agriculture Co,Gatineau,QC,CA,J2W 5K2,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Quebec",Canada_Business_Directory
Jean,Gauthier,jean.gauthier@quebecmanufacturing.ca,+1 (450) 716-5519,Quebec Manufacturing,Gatineau,QC,CA,G0A 5S3,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Quebec",Canada_Business_Directory
Emma,Morin,morin.emma@northernminingcorp.com,+1 (450) 571-1141,Northern Mining Corp,Gatineau,QC,CA,G6L 2U1,"Priority_C, Canada, Mining","Industry: Mining, Province: Quebec",Canada_Business_Directory
Michael,Fortin,fortin.michael@atlanticfisheries.com,+1 (450) 900-4336,Atlantic Fisheries,Montreal,QC,CA,H4V 1G5,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
William,Brown,brown.william@prairieagricultureco.com,+1 (579) 739-2444,Prairie Agriculture Co,Quebec City,QC,CA,J2K 1U4,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Quebec",Canada_Business_Directory
Nathalie,Lee,lee.nathalie@mapletechsolutions.com,+1 (579) 578-6758,Maple Tech Solutions,Gatineau,QC,CA,H8V 4D6,"Priority_A, Canada, Technology","Industry: Technology, Province: Quebec",Canada_Business_Directory
Thomas,Wilson,thomas.wilson@mapletechsolutions.ca,+1 (438) 771-8042,Maple Tech Solutions,Laval,QC,CA,G4X 8H9,"Priority_C, Canada, Technology","Industry: Technology, Province: Quebec",Canada_Business_Directory
Sarah,Gagnon,sarah.gagnon@prairieagricultureco.ca,+1 (514) 305-2885,Prairie Agriculture Co,Quebec City,QC,CA,G2U 4M8,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Quebec",Canada_Business_Directory
Thomas,Gagnon,thomas.gagnon@prairieagricultureco.ca,+1 (579) 518-3248,Prairie Agriculture Co,Laval,QC,CA,G5P 2S9,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Quebec",Canada_Business_Directory
Jean,Morin,jean.morin@atlanticfisheries.ca,+1 (438) 306-7571,Atlantic Fisheries,Gatineau,QC,CA,J0J 3Z0,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
Emma,Gagné,gagné.emma@pacificsoftwareinc.com,+1 (450) 755-8049,Pacific Software Inc,Montreal,QC,CA,H3V 4U7,"Priority_A, Canada, Technology","Industry: Technology, Province: Quebec",Canada_Business_Directory
Thomas,Morin,morin.thomas@mapletechsolutions.com,+1 (579) 233-9616,Maple Tech Solutions,Gatineau,QC,CA,J5H 9N0,"Priority_A, Canada, Technology","Industry: Technology, Province: Quebec",Canada_Business_Directory
James,Fortin,james.fortin@atlanticfisheries.ca,+1 (514) 925-6813,Atlantic Fisheries,Montreal,QC,CA,G9X 5G2,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Quebec",Canada_Business_Directory
