First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Michael,Chen,chen.michael@atlanticfisheries.com,+1 (306) 738-5935,Atlantic Fisheries,Prince Albert,SK,CA,S7S 9T7,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Catherine,Morin,morin.catherine@atlanticfisheries.com,+1 (306) 954-5577,Atlantic Fisheries,Saskatoon,SK,CA,S7K 1V1,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Pierre,Lavoie,pierre.lavoie@quebecmanufacturing.ca,+1 (306) 747-1979,Quebec Manufacturing,Regina,SK,CA,S5R 7U9,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
James,O'Brien,james.o'brien@prairieagricultureco.ca,+1 (306) 735-5858,Prairie Agriculture Co,Prince Albert,SK,CA,S0H 2T5,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Michael,MacDonald,michael.macdonald@pacificsoftwareinc.ca,+1 (306) 290-6347,Pacific Software Inc,Saskatoon,SK,CA,S3V 1U9,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
William,Murphy,william.murphy@mapletechsolutions.ca,+1 (639) 784-1109,Maple Tech Solutions,Regina,SK,CA,S0K 4L3,"Priority_A, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Thomas,Johnson,thomas.johnson@atlanticfisheries.ca,+1 (306) 416-9596,Atlantic Fisheries,Prince Albert,SK,CA,S8T 4H4,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Catherine,Chen,catherine.chen@northernminingcorp.ca,+1 (306) 580-6357,Northern Mining Corp,Saskatoon,SK,CA,S6Y 2F1,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Catherine,Murphy,murphy.catherine@quebecmanufacturing.com,+1 (639) 974-9115,Quebec Manufacturing,Regina,SK,CA,S6Y 2P2,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
Olivia,Gagnon,gagnon.olivia@pacificsoftwareinc.com,+1 (306) 706-1707,Pacific Software Inc,Regina,SK,CA,S6B 5M4,"Priority_A, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
William,Smith,wsmith@northernminingcorp.ca,+1 (306) 999-3408,Northern Mining Corp,Regina,SK,CA,S3D 4C2,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
William,Chen,chen.william@mapletechsolutions.com,+1 (639) 893-1410,Maple Tech Solutions,Prince Albert,SK,CA,S8V 1D5,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Anne,Chen,chen.anne@atlanticfisheries.com,+1 (639) 831-2728,Atlantic Fisheries,Saskatoon,SK,CA,S5A 4T4,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Christopher,Smith,csmith@northernminingcorp.ca,+1 (306) 543-5704,Northern Mining Corp,Regina,SK,CA,S4V 0P9,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Olivia,Fortin,olivia.fortin@northernminingcorp.ca,+1 (639) 638-1787,Northern Mining Corp,Regina,SK,CA,S0D 1V2,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Olivia,MacDonald,macdonald.olivia@northernminingcorp.com,+1 (306) 300-4092,Northern Mining Corp,Regina,SK,CA,S6W 0J9,"Priority_B, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Jean,Roy,roy.jean@atlanticfisheries.com,+1 (639) 683-7935,Atlantic Fisheries,Regina,SK,CA,S5B 2Y0,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Isabelle,MacDonald,macdonald.isabelle@quebecmanufacturing.com,+1 (306) 999-5568,Quebec Manufacturing,Saskatoon,SK,CA,S3Y 7E2,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
William,Bouchard,wbouchard@pacificsoftwareinc.ca,+1 (306) 686-6829,Pacific Software Inc,Regina,SK,CA,S8N 0K9,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Emma,Smith,emma.smith@prairieagricultureco.ca,+1 (306) 410-4801,Prairie Agriculture Co,Prince Albert,SK,CA,S2M 2T0,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Jean,Johnson,jean.johnson@atlanticfisheries.ca,+1 (306) 691-5501,Atlantic Fisheries,Prince Albert,SK,CA,S6W 5J6,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Sophie,Côté,côté.sophie@prairieagricultureco.com,+1 (306) 964-8286,Prairie Agriculture Co,Saskatoon,SK,CA,S8H 0N1,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Olivia,Chen,olivia.chen@quebecmanufacturing.ca,+1 (639) 399-2518,Quebec Manufacturing,Saskatoon,SK,CA,S9Z 8R9,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
Isabelle,Gagnon,igagnon@northernminingcorp.ca,+1 (306) 933-8403,Northern Mining Corp,Regina,SK,CA,S5U 3V4,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Sarah,Côté,sarah.côté@pacificsoftwareinc.ca,+1 (306) 681-6318,Pacific Software Inc,Prince Albert,SK,CA,S2M 7H1,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Catherine,Smith,csmith@quebecmanufacturing.ca,+1 (306) 885-1084,Quebec Manufacturing,Regina,SK,CA,S8S 5F6,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
William,MacDonald,wmacdonald@pacificsoftwareinc.ca,+1 (639) 498-1801,Pacific Software Inc,Saskatoon,SK,CA,S3B 4J3,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Nathalie,MacDonald,macdonald.nathalie@pacificsoftwareinc.com,+1 (639) 880-5977,Pacific Software Inc,Prince Albert,SK,CA,S5X 1S7,"Priority_A, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
James,Gauthier,james.gauthier@pacificsoftwareinc.ca,+1 (639) 916-3234,Pacific Software Inc,Saskatoon,SK,CA,S4J 0Y4,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Nathalie,O'Brien,nathalie.o'brien@prairieagricultureco.ca,+1 (639) 573-3352,Prairie Agriculture Co,Saskatoon,SK,CA,S6C 8R1,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Jean,Roy,jean.roy@mapletechsolutions.ca,+1 (639) 490-3674,Maple Tech Solutions,Regina,SK,CA,S6A 0M3,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Robert,Roy,roy.robert@quebecmanufacturing.com,+1 (306) 482-1962,Quebec Manufacturing,Prince Albert,SK,CA,S9R 2Z9,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
Christopher,MacDonald,cmacdonald@northernminingcorp.ca,+1 (639) 916-8762,Northern Mining Corp,Saskatoon,SK,CA,S0B 0L1,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Olivia,O'Brien,oo'brien@mapletechsolutions.ca,+1 (639) 638-9274,Maple Tech Solutions,Regina,SK,CA,S2H 5Y3,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Michael,Lee,mlee@pacificsoftwareinc.ca,+1 (306) 617-6305,Pacific Software Inc,Regina,SK,CA,S4M 2K3,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Marie,Davis,mdavis@quebecmanufacturing.ca,+1 (306) 676-9549,Quebec Manufacturing,Regina,SK,CA,S0P 6H3,"Priority_B, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
Pierre,Tremblay,tremblay.pierre@prairieagricultureco.com,+1 (639) 480-2219,Prairie Agriculture Co,Saskatoon,SK,CA,S5X 7B4,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Anne,Wilson,wilson.anne@atlanticfisheries.com,+1 (306) 691-8365,Atlantic Fisheries,Prince Albert,SK,CA,S5D 9G1,"Priority_B, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
David,Fortin,dfortin@prairieagricultureco.ca,+1 (639) 540-9324,Prairie Agriculture Co,Prince Albert,SK,CA,S7D 3V7,"Priority_B, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Sarah,Chen,schen@mapletechsolutions.ca,+1 (639) 519-4966,Maple Tech Solutions,Regina,SK,CA,S7E 3H4,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Michael,Murphy,michael.murphy@atlanticfisheries.ca,+1 (306) 439-4272,Atlantic Fisheries,Prince Albert,SK,CA,S6J 3P0,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Julie,Gagné,gagné.julie@atlanticfisheries.com,+1 (306) 842-8892,Atlantic Fisheries,Prince Albert,SK,CA,S0T 6E8,"Priority_C, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Christopher,O'Brien,o'brien.christopher@prairieagricultureco.com,+1 (639) 389-6023,Prairie Agriculture Co,Saskatoon,SK,CA,S7S 7C4,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
Robert,Chen,rchen@pacificsoftwareinc.ca,+1 (306) 940-2705,Pacific Software Inc,Saskatoon,SK,CA,S2L 2T7,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Pierre,MacDonald,macdonald.pierre@mapletechsolutions.com,+1 (639) 613-7388,Maple Tech Solutions,Regina,SK,CA,S8M 1A9,"Priority_A, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Thomas,Gagnon,thomas.gagnon@northernminingcorp.ca,+1 (639) 240-3371,Northern Mining Corp,Saskatoon,SK,CA,S1F 0C8,"Priority_B, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
David,O'Brien,do'brien@northernminingcorp.ca,+1 (639) 460-3957,Northern Mining Corp,Regina,SK,CA,S3Y 6W5,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Emma,Lavoie,lavoie.emma@northernminingcorp.com,+1 (306) 927-3577,Northern Mining Corp,Prince Albert,SK,CA,S9F 8C4,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Catherine,Bouchard,bouchard.catherine@atlanticfisheries.com,+1 (639) 379-4873,Atlantic Fisheries,Prince Albert,SK,CA,S0D 9Z8,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Thomas,Gagné,tgagné@pacificsoftwareinc.ca,+1 (306) 750-4905,Pacific Software Inc,Prince Albert,SK,CA,S2X 6A7,"Priority_B, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Nathalie,Gagné,nathalie.gagné@atlanticfisheries.ca,+1 (639) 662-1335,Atlantic Fisheries,Saskatoon,SK,CA,S2L 7L6,"Priority_A, Canada, Fishing","Industry: Fishing, Province: Saskatchewan",Canada_Business_Directory
Jean,Bouchard,jbouchard@northernminingcorp.ca,+1 (639) 374-6419,Northern Mining Corp,Saskatoon,SK,CA,S1Z 0H6,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
David,Côté,david.côté@northernminingcorp.ca,+1 (306) 445-7582,Northern Mining Corp,Regina,SK,CA,S6V 9L5,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
David,Murphy,dmurphy@northernminingcorp.ca,+1 (639) 790-7659,Northern Mining Corp,Prince Albert,SK,CA,S3W 9N3,"Priority_C, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Marie,Smith,msmith@quebecmanufacturing.ca,+1 (306) 646-7956,Quebec Manufacturing,Saskatoon,SK,CA,S9J 9P8,"Priority_C, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
Anne,MacDonald,amacdonald@prairieagricultureco.ca,+1 (639) 562-7426,Prairie Agriculture Co,Saskatoon,SK,CA,S9A 1Y8,"Priority_A, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
William,Lavoie,wlavoie@northernminingcorp.ca,+1 (306) 690-7928,Northern Mining Corp,Regina,SK,CA,S6Y 1P5,"Priority_A, Canada, Mining","Industry: Mining, Province: Saskatchewan",Canada_Business_Directory
Thomas,Wilson,twilson@pacificsoftwareinc.ca,+1 (639) 765-3082,Pacific Software Inc,Regina,SK,CA,S0G 5T6,"Priority_C, Canada, Technology","Industry: Technology, Province: Saskatchewan",Canada_Business_Directory
Thomas,Bouchard,tbouchard@quebecmanufacturing.ca,+1 (639) 740-2126,Quebec Manufacturing,Regina,SK,CA,S1R 8H9,"Priority_A, Canada, Manufacturing","Industry: Manufacturing, Province: Saskatchewan",Canada_Business_Directory
David,Smith,dsmith@prairieagricultureco.ca,+1 (306) 651-8920,Prairie Agriculture Co,Regina,SK,CA,S9T 5T1,"Priority_C, Canada, Agriculture","Industry: Agriculture, Province: Saskatchewan",Canada_Business_Directory
