First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Kimberly,Nguyen,nguyen.kimberly@coldwellbanker.com,(908) 349-6703,Taylor Morrison,San Jose,CA,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 14, Volume: $13,697,146",CREAM_RealEstate
Brenda,Mitchell,brendam@homesmart.com,(725) 575-3232,Vylla Home,Los Angeles,CA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 31, Volume: $4,240,705",CREAM_RealEstate
Scott,Turner,sturner@century21.com,(732) 955-6795,Douglas Elliman,Riverside,CA,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 25, Volume: $10,093,538",CREAM_RealEstate
Tyler,Diaz,tylerd@berkshirehathawayhs.com,(801) 849-7277,Compass,Sacramento,CA,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 15, Volume: $12,264,245",CREAM_RealEstate
Brian,Harris,harris.brian@weichert.com,(818) 856-6299,NVR,Riverside,CA,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 2, Volume: $349,061",CREAM_RealEstate
Ashley,Cruz,ashley.cruz@elliman.com,(575) 639-9522,United Real Estate,San Jose,CA,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 28, Volume: $12,789,335",CREAM_RealEstate
Cynthia,Alvarez,alvarez.cynthia@realtyonegroup.com,(564) 678-4588,Compass,Sacramento,CA,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 40, Volume: $9,046,854",CREAM_RealEstate
Nancy,Moore,nancy.moore@hotmail.com,(717) 571-2692,Ryan Homes,Riverside,CA,"Priority_B, CREAM, RealEstate","Experience: 11 years, Transactions: 38, Volume: $3,163,298",CREAM_RealEstate
Debra,Gray,debra38@compass.com,(540) 556-1049,Century 21,San Diego,CA,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 17, Volume: $5,141,164",CREAM_RealEstate
Heather,Hernandez,hhernandez@elliman.com,(208) 765-6727,Zillow Premier,Los Angeles,CA,"Priority_A, CREAM, RealEstate","Experience: 3 years, Transactions: 3, Volume: $574,072",CREAM_RealEstate
Janet,Long,janetl@remax.net,(585) 602-4571,M/I Homes,San Francisco,CA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 37, Volume: $14,730,216",CREAM_RealEstate
Raymond,Alvarez,raymond.alvarez@realtyonegroup.com,(831) 883-5892,Better Homes & Gardens,Los Angeles,CA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 36, Volume: $11,504,278",CREAM_RealEstate
Nancy,Wood,nancyw@realtyonegroup.com,(754) 720-1438,Sotheby's,San Francisco,CA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 21, Volume: $6,317,823",CREAM_RealEstate
Heather,Reyes,reyes.heather@coldwellbanker.com,(660) 500-5085,Toll Brothers,San Jose,CA,"Priority_B, CREAM, RealEstate","Experience: 12 years, Transactions: 27, Volume: $5,946,362",CREAM_RealEstate
Samantha,Anderson,samantha.anderson@century21.com,(301) 943-4282,Keller Williams,San Diego,CA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 23, Volume: $6,386,094",CREAM_RealEstate
Angela,Myers,myers.angela@outlook.com,(828) 652-4935,ERA,Sacramento,CA,"Priority_B, CREAM, RealEstate","Experience: 5 years, Transactions: 18, Volume: $5,192,962",CREAM_RealEstate
Kimberly,Ward,ward.kimberly@kw.com,(401) 964-9719,Zillow Premier,Sacramento,CA,"Priority_B, CREAM, RealEstate","Experience: 25 years, Transactions: 18, Volume: $9,974,670",CREAM_RealEstate
Helen,Mitchell,helen.mitchell@homesmart.com,(913) 300-5272,KB Home,Riverside,CA,"Priority_B, CREAM, RealEstate","Experience: 3 years, Transactions: 6, Volume: $1,278,586",CREAM_RealEstate
Christine,Ramirez,cramirez@sothebysrealty.com,(339) 317-7558,ERA,San Jose,CA,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 16, Volume: $13,160,440",CREAM_RealEstate
