First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Nicholas,Parker,nparker@coldwellbanker.com,(626) 796-4612,Keller Williams,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 2, Volume: $280,799",CREAM_RealEstate
Jason,White,jason.white@yahoo.com,(567) 326-4722,Coldwell Banker,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 22, Volume: $9,747,458",CREAM_RealEstate
Jacob,Mendoza,jacob91@sothebysrealty.com,(816) 306-2935,Compass,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 49, Volume: $6,553,924",CREAM_RealEstate
Brian,Torres,torres.brian@hotmail.com,(870) 854-3030,Compass,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 49, Volume: $8,032,631",CREAM_RealEstate
Amanda,Lewis,amanda71@coldwellbanker.com,(572) 819-8588,Realty One Group,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $430,706",CREAM_RealEstate
Aaron,Lopez,lopez.aaron@redfin.com,(947) 334-5421,KB Home,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 45, Volume: $7,301,337",CREAM_RealEstate
Linda,Diaz,linda.diaz@coldwellbanker.com,(734) 616-5448,United Real Estate,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 13, Volume: $4,281,049",CREAM_RealEstate
Steven,Nelson,steven.nelson@compass.com,(219) 610-8925,M/I Homes,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 10, Volume: $765,003",CREAM_RealEstate
Nicole,Miller,nmiller@hotmail.com,(313) 488-6909,Sotheby's,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 24, Volume: $8,664,582",CREAM_RealEstate
Ashley,Long,ashleyl@hotmail.com,(918) 650-1403,CalAtlantic Homes,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 19, Volume: $10,312,446",CREAM_RealEstate
David,Rivera,david20@remax.net,(684) 251-6922,Coldwell Banker,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 22, Volume: $11,260,353",CREAM_RealEstate
Patricia,Brooks,pbrooks@kw.com,(847) 438-7416,Berkshire Hathaway,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 49, Volume: $14,847,981",CREAM_RealEstate
Benjamin,Lee,blee@berkshirehathawayhs.com,(225) 608-7906,The Agency,Denver,CO,"Priority_A, CREAM, RealEstate","Experience: 19 years, Transactions: 17, Volume: $5,674,524",CREAM_RealEstate
Gregory,Reed,gregory2@berkshirehathawayhs.com,(316) 613-8195,The Agency,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 13, Volume: $5,650,891",CREAM_RealEstate
Ryan,Turner,ryant@remax.net,(305) 660-5707,Berkshire Hathaway,Colorado Springs,CO,"Priority_C, CREAM, RealEstate","Experience: 22 years, Transactions: 33, Volume: $14,471,959",CREAM_RealEstate
