First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Catherine,Hall,chall@weichert.com,(415) 565-4223,Berkshire Hathaway,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 16, Volume: $2,457,285",CREAM_RealEstate
Catherine,Brooks,brooks.catherine@kw.com,(442) 327-2834,M/I Homes,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 22, Volume: $11,462,249",CREAM_RealEstate
Lisa,Price,price.lisa@realtor.com,(321) 943-8278,HomeSmart,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 46, Volume: $6,170,708",CREAM_RealEstate
Andrew,Collins,acollins@weichert.com,(502) 253-2607,The Agency,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 37, Volume: $3,304,205",CREAM_RealEstate
Jack,King,jking@redfin.com,(773) 711-9947,Tri Pointe Homes,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 29, Volume: $5,152,568",CREAM_RealEstate
Jeffrey,Scott,jeffrey.scott@exprealty.com,(415) 878-1469,Better Homes & Gardens,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 19, Volume: $7,289,799",CREAM_RealEstate
Andrew,Lopez,andrew.lopez@outlook.com,(636) 222-9624,Douglas Elliman,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 17, Volume: $13,997,798",CREAM_RealEstate
Samantha,Torres,samantha.torres@gmail.com,(951) 373-8003,Ryan Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 12, Volume: $701,625",CREAM_RealEstate
Joseph,Anderson,janderson@remax.net,(940) 375-3548,CalAtlantic Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 19 years, Transactions: 42, Volume: $10,471,071",CREAM_RealEstate
Matthew,Ruiz,matthew.ruiz@exprealty.com,(508) 563-3649,Better Homes & Gardens,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 49, Volume: $4,190,368",CREAM_RealEstate
Kathleen,Kim,kim.kathleen@gmail.com,(507) 572-1107,Tri Pointe Homes,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 47, Volume: $2,948,828",CREAM_RealEstate
Stephanie,Hernandez,hernandez.stephanie@realtyonegroup.com,(878) 454-2444,eXp Realty,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 11, Volume: $5,816,774",CREAM_RealEstate
Linda,Nguyen,nguyen.linda@redfin.com,(207) 681-1484,CalAtlantic Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 3, Volume: $1,829,148",CREAM_RealEstate
Janet,Diaz,jdiaz@realtyonegroup.com,(239) 365-7172,Beazer Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 48, Volume: $13,378,686",CREAM_RealEstate
Mark,Reyes,mark60@weichert.com,(610) 778-7142,Tri Pointe Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 8 years, Transactions: 49, Volume: $5,746,468",CREAM_RealEstate
Gary,Martin,gmartin@realtor.com,(626) 812-1916,LGI Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 19, Volume: $4,492,591",CREAM_RealEstate
Helen,Thomas,helen.thomas@gmail.com,(214) 525-4528,Taylor Morrison,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 14, Volume: $6,883,679",CREAM_RealEstate
Thomas,Ramos,ramos.thomas@homesmart.com,(734) 955-8706,Coldwell Banker,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 4, Volume: $457,863",CREAM_RealEstate
Deborah,Kim,deborahk@outlook.com,(970) 752-6240,United Real Estate,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 24, Volume: $9,619,106",CREAM_RealEstate
Heather,Johnson,hjohnson@compass.com,(772) 631-2227,Sotheby's,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 41, Volume: $14,155,256",CREAM_RealEstate
Steven,Gomez,gomez.steven@realtyonegroup.com,(810) 894-2147,HomeSmart,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 45, Volume: $3,859,558",CREAM_RealEstate
Jerry,Martinez,jerry93@century21.com,(267) 385-5848,United Real Estate,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 15 years, Transactions: 14, Volume: $7,847,060",CREAM_RealEstate
Jessica,Cooper,jessica.cooper@weichert.com,(215) 789-9900,HomeSmart,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 25, Volume: $14,433,266",CREAM_RealEstate
Cynthia,Gomez,cynthia56@coldwellbanker.com,(831) 505-3480,D.R. Horton,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 41, Volume: $8,605,443",CREAM_RealEstate
Patricia,Wood,patricia85@elliman.com,(773) 781-9148,NVR,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 10, Volume: $8,698,752",CREAM_RealEstate
Nancy,Gray,nancy33@realtyonegroup.com,(417) 284-2900,Taylor Morrison,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 21, Volume: $8,506,329",CREAM_RealEstate
Samuel,Howard,samuelh@century21.com,(606) 223-1708,LGI Homes,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 27, Volume: $11,878,194",CREAM_RealEstate
Margaret,Evans,margaret54@coldwellbanker.com,(585) 405-8356,Keller Williams,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 30, Volume: $5,566,216",CREAM_RealEstate
Brenda,Lopez,brenda.lopez@hotmail.com,(206) 263-3697,Sotheby's,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 3, Volume: $1,343,819",CREAM_RealEstate
Samuel,Hughes,hughes.samuel@yahoo.com,(531) 331-2838,RE/MAX,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 50, Volume: $2,583,680",CREAM_RealEstate
Stephen,Cook,stephenc@kw.com,(978) 408-7566,Toll Brothers,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 49, Volume: $5,568,068",CREAM_RealEstate
Scott,Chavez,scottc@kw.com,(334) 782-1754,Pulte Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 38, Volume: $4,611,957",CREAM_RealEstate
Brian,Rodriguez,brodriguez@kw.com,(650) 897-9238,Redfin,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 19 years, Transactions: 23, Volume: $6,875,540",CREAM_RealEstate
David,Cooper,dcooper@berkshirehathawayhs.com,(718) 693-7714,M/I Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 40, Volume: $4,299,209",CREAM_RealEstate
Charles,Martin,cmartin@compass.com,(984) 298-9035,RE/MAX,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 6, Volume: $1,321,017",CREAM_RealEstate
Patrick,White,patrick15@yahoo.com,(480) 759-8935,Zillow Premier,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 40, Volume: $7,728,792",CREAM_RealEstate
Steven,Jones,jones.steven@elliman.com,(312) 925-2561,CalAtlantic Homes,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 7 years, Transactions: 29, Volume: $14,675,246",CREAM_RealEstate
Melissa,Adams,melissaa@weichert.com,(220) 380-4096,Douglas Elliman,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 41, Volume: $11,536,253",CREAM_RealEstate
Linda,Reyes,linda24@realtyonegroup.com,(501) 701-1420,Nest Seekers,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 32, Volume: $7,258,481",CREAM_RealEstate
David,Thomas,davidt@coldwellbanker.com,(254) 251-3417,M/I Homes,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 35, Volume: $5,594,023",CREAM_RealEstate
Kathleen,Thomas,kathleen82@elliman.com,(737) 429-1573,Douglas Elliman,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 16, Volume: $6,849,293",CREAM_RealEstate
Susan,Smith,susans@elliman.com,(260) 374-9274,Meritage Homes,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 15, Volume: $944,157",CREAM_RealEstate
Andrew,Jones,andrewj@realtor.com,(831) 662-5065,Realty One Group,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 5, Volume: $37,075",CREAM_RealEstate
Brandon,Davis,brandon.davis@hotmail.com,(940) 971-8144,D.R. Horton,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 35, Volume: $10,501,901",CREAM_RealEstate
Kenneth,Kelly,kennethk@realtyonegroup.com,(615) 826-6568,Beazer Homes,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 48, Volume: $13,051,824",CREAM_RealEstate
Larry,Anderson,larrya@kw.com,(407) 596-9091,eXp Realty,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 32, Volume: $1,911,070",CREAM_RealEstate
Ruth,Hall,hall.ruth@weichert.com,(425) 749-6951,Nest Seekers,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 8 years, Transactions: 10, Volume: $4,956,897",CREAM_RealEstate
Amanda,Ramos,ramos.amanda@realtyonegroup.com,(941) 982-1686,CalAtlantic Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 21, Volume: $7,735,575",CREAM_RealEstate
Raymond,Mendoza,raymond21@realtor.com,(646) 332-4170,KB Home,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 0, Volume: $306,890",CREAM_RealEstate
Richard,Kelly,richardk@coldwellbanker.com,(919) 847-9301,Pulte Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 14, Volume: $4,137,745",CREAM_RealEstate
Emma,Myers,emma51@hotmail.com,(531) 988-2901,Ryan Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 35, Volume: $11,812,833",CREAM_RealEstate
Frank,Hernandez,frankh@realtyonegroup.com,(781) 505-7406,Lennar,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 44, Volume: $13,822,422",CREAM_RealEstate
Raymond,Stewart,raymonds@remax.net,(623) 412-7047,KB Home,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 40, Volume: $10,563,789",CREAM_RealEstate
Alexander,Lopez,lopez.alexander@kw.com,(651) 778-7514,Pulte Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 15, Volume: $6,001,424",CREAM_RealEstate
Kevin,Hall,kevinh@realtyonegroup.com,(801) 671-7064,Coldwell Banker,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $451,665",CREAM_RealEstate
Timothy,Mendoza,timothy22@coldwellbanker.com,(606) 693-4782,Douglas Elliman,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 13, Volume: $1,203,379",CREAM_RealEstate
Catherine,Mendoza,cmendoza@homesmart.com,(803) 554-2104,CalAtlantic Homes,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 43, Volume: $11,228,339",CREAM_RealEstate
Jeffrey,Wood,jeffreyw@remax.net,(331) 319-9050,Century Communities,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 11, Volume: $744,521",CREAM_RealEstate
Christopher,Brooks,brooks.christopher@coldwellbanker.com,(605) 283-2278,RE/MAX,Jacksonville,FL,"Priority_B, CREAM, RealEstate","Experience: 15 years, Transactions: 38, Volume: $13,815,688",CREAM_RealEstate
Mary,Long,mary22@compass.com,(435) 361-2462,Nest Seekers,Orlando,FL,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 29, Volume: $13,894,503",CREAM_RealEstate
Kathleen,Hernandez,hernandez.kathleen@elliman.com,(781) 471-3978,Century 21,Miami,FL,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 39, Volume: $10,265,222",CREAM_RealEstate
Linda,Kelly,lindak@realtyonegroup.com,(563) 583-6262,eXp Realty,Tampa,FL,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 29, Volume: $11,732,325",CREAM_RealEstate
