First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Anthony,Johnson,anthony.johnson@elliman.com,(747) 550-7560,Sotheby's,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 10, Volume: $14,616,941",CREAM_RealEstate
Barbara,Ruiz,barbarar@berkshirehathawayhs.com,(972) 980-3555,Tri Pointe Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 19, Volume: $13,513,722",CREAM_RealEstate
Carolyn,Hall,hall.carolyn@yahoo.com,(724) 662-6043,The Agency,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 35, Volume: $13,399,783",CREAM_RealEstate
Rebecca,Taylor,rebecca.taylor@outlook.com,(252) 551-2212,Lennar,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 47, Volume: $6,595,359",CREAM_RealEstate
Katherine,Robinson,katherine.robinson@outlook.com,(651) 242-8153,Century Communities,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 3 years, Transactions: 6, Volume: $1,742,404",CREAM_RealEstate
Melissa,Smith,msmith@weichert.com,(732) 576-3066,Douglas Elliman,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 14, Volume: $767,487",CREAM_RealEstate
Patrick,King,pking@sothebysrealty.com,(704) 968-3695,Realty One Group,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 26, Volume: $11,983,678",CREAM_RealEstate
Nicholas,Walker,nwalker@weichert.com,(716) 248-5880,CalAtlantic Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 44, Volume: $6,081,196",CREAM_RealEstate
Joshua,Brooks,brooks.joshua@homesmart.com,(831) 406-3516,Tri Pointe Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 44, Volume: $9,385,486",CREAM_RealEstate
William,Kim,william.kim@gmail.com,(336) 745-3252,Better Homes & Gardens,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 18, Volume: $9,342,750",CREAM_RealEstate
Brenda,Thomas,brendat@berkshirehathawayhs.com,(956) 856-1804,Nest Seekers,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 25, Volume: $10,663,440",CREAM_RealEstate
Brandon,Ruiz,brandonr@compass.com,(213) 387-2836,LGI Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 6, Volume: $1,245,795",CREAM_RealEstate
Amy,Johnson,amy4@sothebysrealty.com,(816) 934-2889,Lennar,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 27, Volume: $9,577,273",CREAM_RealEstate
Ruth,Robinson,ruth12@exprealty.com,(254) 332-7227,Tri Pointe Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 41, Volume: $4,162,778",CREAM_RealEstate
Pamela,Ramirez,pramirez@homesmart.com,(828) 943-3953,Better Homes & Gardens,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 3, Volume: $272,151",CREAM_RealEstate
Kimberly,Green,kgreen@remax.net,(305) 221-5406,Compass,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 35, Volume: $9,974,630",CREAM_RealEstate
Kenneth,Ross,kennethr@sothebysrealty.com,(470) 495-5075,NVR,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 10, Volume: $3,940,368",CREAM_RealEstate
Matthew,Clark,matthew66@redfin.com,(808) 359-6885,Toll Brothers,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 0, Volume: $367,692",CREAM_RealEstate
Amanda,Lopez,amanda86@exprealty.com,(773) 892-1542,Toll Brothers,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 36, Volume: $11,503,650",CREAM_RealEstate
Margaret,Stewart,margaret14@exprealty.com,(531) 639-8201,Beazer Homes,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 39, Volume: $14,889,615",CREAM_RealEstate
Susan,Anderson,susana@century21.com,(682) 316-7662,Vylla Home,Atlanta,GA,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 15, Volume: $1,873,764",CREAM_RealEstate
