First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Maria,Watson,mwatson@elliman.com,(623) 532-4099,M/I Homes,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 11, Volume: $5,714,408",CREAM_RealEstate
William,Rodriguez,william65@berkshirehathawayhs.com,(725) 521-5534,M/I Homes,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 45, Volume: $7,039,219",CREAM_RealEstate
Jessica,Gomez,jessicag@weichert.com,(501) 708-7275,LGI Homes,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 10 years, Transactions: 40, Volume: $1,599,164",CREAM_RealEstate
Shirley,Bennett,bennett.shirley@coldwellbanker.com,(714) 665-2312,eXp Realty,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 45, Volume: $14,919,832",CREAM_RealEstate
Amy,Morris,amy.morris@outlook.com,(475) 910-7397,Douglas Elliman,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 28, Volume: $11,948,617",CREAM_RealEstate
Timothy,Williams,williams.timothy@hotmail.com,(903) 774-4136,Zillow Premier,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 11 years, Transactions: 23, Volume: $5,238,771",CREAM_RealEstate
David,Jackson,davidj@realtyonegroup.com,(303) 415-2336,ERA,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 21, Volume: $6,440,746",CREAM_RealEstate
Dorothy,Ramos,dorothyr@berkshirehathawayhs.com,(256) 828-7651,Tri Pointe Homes,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 14, Volume: $6,525,730",CREAM_RealEstate
Timothy,Young,timothy.young@sothebysrealty.com,(975) 603-7979,KB Home,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 46, Volume: $12,484,055",CREAM_RealEstate
Christine,Allen,christine.allen@berkshirehathawayhs.com,(975) 741-2209,Douglas Elliman,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 31, Volume: $2,132,745",CREAM_RealEstate
Catherine,Mitchell,catherine.mitchell@yahoo.com,(915) 630-8199,Realty One Group,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 14, Volume: $6,863,700",CREAM_RealEstate
Samuel,Torres,samuelt@exprealty.com,(859) 899-7717,Nest Seekers,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 48, Volume: $4,038,806",CREAM_RealEstate
Dorothy,Scott,dorothy6@gmail.com,(443) 357-9826,United Real Estate,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 30, Volume: $5,029,380",CREAM_RealEstate
Christopher,Edwards,edwards.christopher@redfin.com,(470) 273-1675,NVR,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 18, Volume: $3,253,309",CREAM_RealEstate
Kenneth,Morris,kenneth.morris@realtor.com,(956) 436-9793,Sotheby's,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 26, Volume: $13,817,984",CREAM_RealEstate
Joseph,Morris,joseph77@century21.com,(970) 881-1623,Beazer Homes,Boise,ID,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 10, Volume: $11,243,224",CREAM_RealEstate
