First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Amanda,Patel,amandap@kw.com,(785) 313-6871,Meritage Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 8 years, Transactions: 16, Volume: $7,077,104",CREAM_RealEstate
John,Alvarez,jalvarez@outlook.com,(813) 418-4467,Century 21,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 16, Volume: $7,301,936",CREAM_RealEstate
Jeffrey,Morgan,morgan.jeffrey@coldwellbanker.com,(361) 776-2190,Ryan Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 21 years, Transactions: 29, Volume: $11,212,785",CREAM_RealEstate
Frank,Myers,frank.myers@exprealty.com,(870) 869-3083,Pulte Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 3 years, Transactions: 6, Volume: $1,832,332",CREAM_RealEstate
Cynthia,Gomez,cgomez@redfin.com,(865) 207-1034,Lennar,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 41, Volume: $11,786,829",CREAM_RealEstate
John,Young,young.john@sothebysrealty.com,(605) 676-2717,Taylor Morrison,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 24, Volume: $7,323,069",CREAM_RealEstate
Jason,Reed,jasonr@sothebysrealty.com,(801) 474-1417,LGI Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 34, Volume: $7,956,169",CREAM_RealEstate
Kenneth,Kelly,kenneth44@exprealty.com,(732) 925-3492,Douglas Elliman,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 31, Volume: $4,188,675",CREAM_RealEstate
Nicholas,Alvarez,nicholas.alvarez@century21.com,(425) 997-9716,Ryan Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 3, Volume: $846,193",CREAM_RealEstate
Brenda,Ramos,ramos.brenda@outlook.com,(571) 806-3902,The Agency,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 31, Volume: $5,007,013",CREAM_RealEstate
Raymond,Jackson,raymond43@berkshirehathawayhs.com,(351) 511-8282,Nest Seekers,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 0 years, Transactions: 0, Volume: $14,107",CREAM_RealEstate
Brian,Flores,brianf@century21.com,(630) 412-9023,Coldwell Banker,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 25 years, Transactions: 27, Volume: $9,887,663",CREAM_RealEstate
John,Harris,jharris@outlook.com,(717) 485-7670,CalAtlantic Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 42, Volume: $11,425,470",CREAM_RealEstate
Barbara,Martinez,barbara84@realtor.com,(385) 580-5066,Meritage Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 0 years, Transactions: 3, Volume: $368,596",CREAM_RealEstate
Samuel,Roberts,sroberts@remax.net,(432) 666-8530,HomeSmart,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 11 years, Transactions: 23, Volume: $8,706,888",CREAM_RealEstate
James,Wood,james.wood@yahoo.com,(928) 746-3142,Toll Brothers,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 3 years, Transactions: 3, Volume: $1,987,747",CREAM_RealEstate
Shirley,Ruiz,ruiz.shirley@yahoo.com,(870) 787-4602,Weichert,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 15, Volume: $532,950",CREAM_RealEstate
Edward,Ward,ward.edward@hotmail.com,(248) 433-1599,KB Home,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 18, Volume: $7,128,884",CREAM_RealEstate
Alexander,Flores,alexanderf@kw.com,(615) 686-4888,Toll Brothers,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 13, Volume: $1,021,117",CREAM_RealEstate
Cynthia,Ross,cross@remax.net,(760) 207-9313,Pulte Homes,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 38, Volume: $9,526,045",CREAM_RealEstate
Frank,Stewart,frank.stewart@exprealty.com,(916) 547-5115,Taylor Morrison,Indianapolis,IN,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 44, Volume: $9,253,558",CREAM_RealEstate
