First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Carolyn,Mendoza,carolynm@elliman.com,(612) 549-4958,Sotheby's,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 40, Volume: $3,144,733",CREAM_RealEstate
Amy,Jones,amy.jones@kw.com,(580) 467-1203,HomeSmart,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 15, Volume: $10,025,329",CREAM_RealEstate
Gary,Thomas,gary42@sothebysrealty.com,(601) 667-1518,United Real Estate,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 45, Volume: $11,376,059",CREAM_RealEstate
Elizabeth,Cruz,elizabeth85@compass.com,(562) 399-4449,KB Home,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 21, Volume: $3,645,020",CREAM_RealEstate
Susan,Ramos,susan83@century21.com,(847) 319-1948,LGI Homes,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 17, Volume: $4,707,942",CREAM_RealEstate
Christine,Jackson,jackson.christine@weichert.com,(862) 993-1766,Keller Williams,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 25, Volume: $3,690,898",CREAM_RealEstate
Pamela,Edwards,pamela55@outlook.com,(662) 764-8144,Douglas Elliman,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 42, Volume: $10,801,904",CREAM_RealEstate
Sandra,Williams,williams.sandra@remax.net,(202) 796-7136,Sotheby's,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 2, Volume: $401,780",CREAM_RealEstate
Dorothy,Rivera,dorothyr@compass.com,(530) 455-6390,Taylor Morrison,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 49, Volume: $7,812,433",CREAM_RealEstate
Kenneth,Torres,kenneth70@realtyonegroup.com,(980) 515-6246,Toll Brothers,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 44, Volume: $2,569,109",CREAM_RealEstate
Samuel,Lopez,samuel.lopez@remax.net,(202) 690-5420,Sotheby's,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 35, Volume: $14,491,282",CREAM_RealEstate
Shirley,Ruiz,shirleyr@compass.com,(912) 672-9916,United Real Estate,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 25, Volume: $1,719,745",CREAM_RealEstate
James,Morales,jamesm@elliman.com,(864) 273-7190,Sotheby's,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 3 years, Transactions: 15, Volume: $1,636,574",CREAM_RealEstate
Andrew,Bennett,andrew.bennett@weichert.com,(534) 350-4904,Vylla Home,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 14, Volume: $5,805,099",CREAM_RealEstate
Anthony,Garcia,garcia.anthony@yahoo.com,(479) 566-7190,Weichert,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 27, Volume: $3,759,783",CREAM_RealEstate
Debra,King,debrak@compass.com,(812) 681-7580,eXp Realty,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 18, Volume: $6,102,405",CREAM_RealEstate
Dorothy,Flores,dorothy35@outlook.com,(205) 679-4524,Taylor Morrison,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 44, Volume: $11,365,121",CREAM_RealEstate
Jessica,Kelly,jessicak@elliman.com,(603) 939-3675,LGI Homes,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 23, Volume: $1,876,745",CREAM_RealEstate
Daniel,Lewis,daniel24@kw.com,(430) 740-1144,LGI Homes,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 13, Volume: $3,581,618",CREAM_RealEstate
Nicole,Bennett,nbennett@weichert.com,(210) 308-3201,KB Home,Boston,MA,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 27, Volume: $8,374,355",CREAM_RealEstate
