First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Amanda,Campbell,amandac@compass.com,(412) 570-9941,Tri Pointe Homes,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 41, Volume: $11,251,068",CREAM_RealEstate
Frank,Nguyen,frank.nguyen@remax.net,(947) 348-5997,Weichert,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 50, Volume: $8,016,500",CREAM_RealEstate
Laura,Johnson,johnson.laura@remax.net,(779) 331-4089,Better Homes & Gardens,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 7, Volume: $683,003",CREAM_RealEstate
Janet,Gray,gray.janet@weichert.com,(386) 314-7575,eXp Realty,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 29, Volume: $7,082,230",CREAM_RealEstate
Kathleen,Gonzalez,kathleen53@coldwellbanker.com,(319) 400-8649,CalAtlantic Homes,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 34, Volume: $12,037,094",CREAM_RealEstate
Edward,Anderson,edward.anderson@elliman.com,(334) 396-9781,Taylor Morrison,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $130,392",CREAM_RealEstate
Elizabeth,Cook,elizabethc@kw.com,(445) 969-6960,Sotheby's,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 3, Volume: $1,773,978",CREAM_RealEstate
Emma,Sanders,emma.sanders@kw.com,(908) 718-1367,Coldwell Banker,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 49, Volume: $13,503,301",CREAM_RealEstate
Brandon,Ortiz,ortiz.brandon@coldwellbanker.com,(517) 444-4228,Vylla Home,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 16 years, Transactions: 28, Volume: $11,385,079",CREAM_RealEstate
Michelle,Parker,parker.michelle@weichert.com,(567) 480-4461,Tri Pointe Homes,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 10, Volume: $1,901,197",CREAM_RealEstate
Paul,Reyes,reyes.paul@yahoo.com,(539) 973-4780,RE/MAX,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 19 years, Transactions: 37, Volume: $7,309,082",CREAM_RealEstate
Laura,Ruiz,ruiz.laura@gmail.com,(502) 801-5792,Zillow Premier,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 0, Volume: $373,599",CREAM_RealEstate
Gregory,Kim,gregoryk@redfin.com,(831) 400-8239,Vylla Home,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 39, Volume: $10,357,402",CREAM_RealEstate
Justin,Brooks,justin61@compass.com,(505) 888-5798,Tri Pointe Homes,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 25 years, Transactions: 16, Volume: $11,690,509",CREAM_RealEstate
Amanda,Ramirez,ramirez.amanda@redfin.com,(409) 525-9661,Century Communities,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 5 years, Transactions: 43, Volume: $3,038,196",CREAM_RealEstate
Joshua,Young,joshuay@homesmart.com,(913) 744-6485,Redfin,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 33, Volume: $6,393,550",CREAM_RealEstate
Rachel,Young,rachel.young@realtyonegroup.com,(210) 206-1057,Douglas Elliman,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 25 years, Transactions: 30, Volume: $1,880,569",CREAM_RealEstate
Paul,Robinson,probinson@yahoo.com,(330) 996-7930,Weichert,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 18, Volume: $4,647,963",CREAM_RealEstate
Gary,Allen,gallen@gmail.com,(310) 886-4841,Toll Brothers,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 30, Volume: $2,537,779",CREAM_RealEstate
Scott,Price,scott20@weichert.com,(520) 826-2883,Taylor Morrison,Detroit,MI,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 24, Volume: $7,405,442",CREAM_RealEstate
