First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Nancy,Gray,ngray@hotmail.com,(614) 502-6868,Tri Pointe Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 11 years, Transactions: 41, Volume: $14,912,502",CREAM_RealEstate
Ryan,Brooks,ryan78@compass.com,(308) 983-6555,The Agency,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 4, Volume: $456,161",CREAM_RealEstate
Jennifer,Kim,jennifer.kim@realtyonegroup.com,(207) 702-3927,Vylla Home,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 12 years, Transactions: 42, Volume: $4,541,828",CREAM_RealEstate
Ronald,Long,ronaldl@realtor.com,(501) 682-2588,Ryan Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 18, Volume: $5,588,488",CREAM_RealEstate
Dennis,Cooper,dennis7@weichert.com,(641) 291-1504,Weichert,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 15, Volume: $8,836,543",CREAM_RealEstate
Dorothy,Green,dorothy.green@sothebysrealty.com,(330) 445-9045,Sotheby's,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 31, Volume: $6,795,982",CREAM_RealEstate
Christine,Stewart,christines@homesmart.com,(301) 747-5216,Berkshire Hathaway,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 47, Volume: $11,078,892",CREAM_RealEstate
Lisa,Wilson,lisa.wilson@century21.com,(206) 559-2585,Century 21,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 46, Volume: $1,892,598",CREAM_RealEstate
Melissa,Ramirez,melissa.ramirez@realtyonegroup.com,(406) 967-6628,LGI Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 24, Volume: $3,323,302",CREAM_RealEstate
Raymond,Martinez,rmartinez@redfin.com,(325) 631-1512,Better Homes & Gardens,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 2, Volume: $351,114",CREAM_RealEstate
Brenda,Hall,brendah@yahoo.com,(713) 224-4480,Ryan Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 15 years, Transactions: 34, Volume: $9,306,290",CREAM_RealEstate
Karen,Taylor,karen79@realtor.com,(325) 990-2934,eXp Realty,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 16 years, Transactions: 33, Volume: $6,032,627",CREAM_RealEstate
Emily,Young,emily.young@century21.com,(802) 504-2226,Sotheby's,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 25, Volume: $4,518,339",CREAM_RealEstate
Pamela,Smith,pamela19@berkshirehathawayhs.com,(570) 854-1417,CalAtlantic Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 49, Volume: $8,973,959",CREAM_RealEstate
Ryan,Jackson,rjackson@exprealty.com,(863) 456-4254,M/I Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 46, Volume: $1,622,870",CREAM_RealEstate
Rebecca,Murphy,rmurphy@compass.com,(385) 272-6256,The Agency,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 5, Volume: $73,081",CREAM_RealEstate
Kevin,Gonzalez,kgonzalez@century21.com,(480) 261-3798,Zillow Premier,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 41, Volume: $9,658,617",CREAM_RealEstate
Katherine,Wright,katherinew@remax.net,(612) 293-8868,Keller Williams,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 24, Volume: $4,849,186",CREAM_RealEstate
Mark,Morris,mark.morris@century21.com,(786) 566-6796,eXp Realty,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 23, Volume: $7,009,698",CREAM_RealEstate
Samantha,Walker,swalker@hotmail.com,(810) 873-6494,eXp Realty,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 32, Volume: $10,359,475",CREAM_RealEstate
Nancy,Bennett,nancyb@weichert.com,(601) 518-2519,M/I Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $9,088",CREAM_RealEstate
Michael,Patel,michael14@outlook.com,(408) 506-7046,Zillow Premier,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 40, Volume: $5,392,824",CREAM_RealEstate
Michael,Baker,michael.baker@compass.com,(269) 828-8587,Nest Seekers,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 41, Volume: $5,800,139",CREAM_RealEstate
Samantha,Garcia,sgarcia@coldwellbanker.com,(502) 894-7048,LGI Homes,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 16, Volume: $7,196,465",CREAM_RealEstate
Larry,Taylor,larry82@coldwellbanker.com,(972) 288-9595,eXp Realty,Minneapolis,MN,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 13, Volume: $1,946,775",CREAM_RealEstate
