First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Scott,Howard,scott64@gmail.com,(315) 835-3394,NVR,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 21 years, Transactions: 37, Volume: $10,437,538",CREAM_RealEstate
Emily,Thomas,emilyt@hotmail.com,(703) 649-3286,RE/MAX,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 5 years, Transactions: 41, Volume: $9,310,391",CREAM_RealEstate
Jonathan,Gutierrez,jonathan76@elliman.com,(615) 678-1793,Lennar,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 8, Volume: $1,877,797",CREAM_RealEstate
Nancy,Price,nancyp@kw.com,(570) 660-1571,Nest Seekers,St. Louis,MO,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 23, Volume: $10,754,846",CREAM_RealEstate
Andrew,Lee,andrewl@coldwellbanker.com,(315) 710-4519,Zillow Premier,St. Louis,MO,"Priority_B, CREAM, RealEstate","Experience: 0 years, Transactions: 5, Volume: $177,256",CREAM_RealEstate
Nicole,Ward,nward@homesmart.com,(623) 725-1568,Beazer Homes,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 12 years, Transactions: 49, Volume: $3,021,052",CREAM_RealEstate
Lisa,Cooper,lisa.cooper@kw.com,(434) 272-6705,Meritage Homes,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 47, Volume: $12,114,157",CREAM_RealEstate
Edward,Brown,edward15@gmail.com,(301) 454-6833,United Real Estate,St. Louis,MO,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 35, Volume: $11,491,125",CREAM_RealEstate
Kathleen,Cruz,kathleen.cruz@coldwellbanker.com,(910) 208-4472,CalAtlantic Homes,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 21 years, Transactions: 25, Volume: $1,606,263",CREAM_RealEstate
George,Kim,george85@homesmart.com,(430) 397-4468,Meritage Homes,Kansas City,MO,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 36, Volume: $4,800,263",CREAM_RealEstate
