First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Juan,Gutiérrez,gutiérrez.juan@bancariacentral.com,+52 (686) 1013-3787,Bancaria Central,Tijuana,BCN,MX,23902,"Priority_B, Mexico, Finance","Industry: Finance, State: Baja California",Mexico_Business_Directory
Pedro,López,lópez.pedro@petroveracruz.com,+52 (646) 6362-4001,PetroVeracruz,Mexicali,BCN,MX,47824,"Priority_C, Mexico, Petroleum","Industry: Petroleum, State: Baja California",Mexico_Business_Directory
Jorge,Sánchez,jorge.sánchez@bancariacentral.com.mx,+52 (646) 8546-3682,Bancaria Central,Ensenada,BCN,MX,59709,"Priority_B, Mexico, Finance","Industry: Finance, State: Baja California",Mexico_Business_Directory
Sofía,Martínez,martínez.sofía@automotrizpuebla.com,+52 (664) 3937-0556,Automotriz Puebla,Ensenada,BCN,MX,95524,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Baja California",Mexico_Business_Directory
Luis,Reyes,luis.reyes@caféchiapas.com.mx,+52 (664) 2927-8731,Café Chiapas,Tijuana,BCN,MX,20504,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Baja California",Mexico_Business_Directory
Antonio,Ortiz,aortiz@automotrizpuebla.mx,+52 (664) 8894-1551,Automotriz Puebla,Ensenada,BCN,MX,79807,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Baja California",Mexico_Business_Directory
María,Sánchez,msánchez@tequilapremium.mx,+52 (646) 1840-3699,Tequila Premium,Mexicali,BCN,MX,85474,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Baja California",Mexico_Business_Directory
Francisco,Rivera,francisco.rivera@calzadoleón.com.mx,+52 (664) 1751-2946,Calzado León,Mexicali,BCN,MX,95293,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Baja California",Mexico_Business_Directory
Daniel,Chávez,chávez.daniel@calzadoleón.com,+52 (664) 3736-6172,Calzado León,Mexicali,BCN,MX,91134,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Baja California",Mexico_Business_Directory
Juan,Gómez,gómez.juan@turismomaya.com,+52 (664) 7403-8773,Turismo Maya,Tijuana,BCN,MX,64338,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Baja California",Mexico_Business_Directory
