First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Luis,Martínez,martínez.luis@tequilapremium.com,+52 (55) 3533-2161,Tequila Premium,Coyoacán,CDMX,MX,23965,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Ciudad de México",Mexico_Business_Directory
Jorge,Gutiérrez,gutiérrez.jorge@calzadoleón.com,+52 (55) 7148-4842,Calzado León,Gustavo A. Madero,CDMX,MX,28151,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Ciudad de México",Mexico_Business_Directory
Alejandra,Ortiz,aortiz@calzadoleón.mx,+52 (55) 9357-1170,Calzado León,Iztapalapa,CDMX,MX,29659,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Ciudad de México",Mexico_Business_Directory
Diego,Morales,diego.morales@tequilapremium.com.mx,+52 (56) 9983-3727,Tequila Premium,Iztapalapa,CDMX,MX,61385,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Ciudad de México",Mexico_Business_Directory
Carlos,Torres,carlos.torres@tecnologíadelnorte.com.mx,+52 (55) 9593-1246,Tecnología del Norte,Coyoacán,CDMX,MX,66639,"Priority_A, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
Alejandra,Ortiz,alejandra.ortiz@petroveracruz.com.mx,+52 (55) 6601-4080,PetroVeracruz,Gustavo A. Madero,CDMX,MX,14244,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Ciudad de México",Mexico_Business_Directory
Juan,Cruz,juan.cruz@automotrizpuebla.com.mx,+52 (56) 9830-9513,Automotriz Puebla,Iztapalapa,CDMX,MX,11755,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Ciudad de México",Mexico_Business_Directory
Guadalupe,Gómez,gómez.guadalupe@tecnologíadelnorte.com,+52 (55) 5165-0489,Tecnología del Norte,Coyoacán,CDMX,MX,69949,"Priority_A, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
Guadalupe,Pérez,guadalupe.pérez@turismomaya.com.mx,+52 (55) 6269-7743,Turismo Maya,Mexico City,CDMX,MX,61236,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Ciudad de México",Mexico_Business_Directory
Carlos,Morales,carlos.morales@tecnologíadelnorte.com.mx,+52 (56) 1864-4245,Tecnología del Norte,Coyoacán,CDMX,MX,55212,"Priority_C, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
Diego,Ortiz,dortiz@petroveracruz.mx,+52 (56) 8193-0035,PetroVeracruz,Coyoacán,CDMX,MX,85657,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Ciudad de México",Mexico_Business_Directory
Diego,Flores,dflores@tequilapremium.mx,+52 (55) 4043-1213,Tequila Premium,Mexico City,CDMX,MX,26024,"Priority_B, Mexico, Beverages","Industry: Beverages, State: Ciudad de México",Mexico_Business_Directory
Daniel,Morales,dmorales@petroveracruz.mx,+52 (55) 9385-1387,PetroVeracruz,Mexico City,CDMX,MX,38918,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Ciudad de México",Mexico_Business_Directory
Roberto,Hernández,roberto.hernández@tequilapremium.com.mx,+52 (55) 7266-9936,Tequila Premium,Gustavo A. Madero,CDMX,MX,65735,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Ciudad de México",Mexico_Business_Directory
Antonio,López,lópez.antonio@turismomaya.com,+52 (56) 6181-9627,Turismo Maya,Coyoacán,CDMX,MX,84324,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Ciudad de México",Mexico_Business_Directory
María,Martínez,martínez.maría@petroveracruz.com,+52 (56) 5104-9855,PetroVeracruz,Gustavo A. Madero,CDMX,MX,11769,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Ciudad de México",Mexico_Business_Directory
José,Morales,morales.josé@turismomaya.com,+52 (56) 1417-8602,Turismo Maya,Mexico City,CDMX,MX,61708,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Ciudad de México",Mexico_Business_Directory
Carlos,Ramírez,carlos.ramírez@automotrizpuebla.com.mx,+52 (56) 6432-0059,Automotriz Puebla,Coyoacán,CDMX,MX,76501,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Ciudad de México",Mexico_Business_Directory
Juan,Cruz,juan.cruz@tequilapremium.com.mx,+52 (55) 2546-4569,Tequila Premium,Gustavo A. Madero,CDMX,MX,34436,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Ciudad de México",Mexico_Business_Directory
Alejandra,Martínez,martínez.alejandra@calzadoleón.com,+52 (56) 1518-4223,Calzado León,Mexico City,CDMX,MX,13366,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Ciudad de México",Mexico_Business_Directory
Jorge,Gutiérrez,gutiérrez.jorge@caféchiapas.com,+52 (55) 7133-2656,Café Chiapas,Mexico City,CDMX,MX,83228,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
José,Cruz,jcruz@bancariacentral.mx,+52 (55) 3956-9848,Bancaria Central,Gustavo A. Madero,CDMX,MX,70390,"Priority_A, Mexico, Finance","Industry: Finance, State: Ciudad de México",Mexico_Business_Directory
Carmen,Ortiz,cortiz@automotrizpuebla.mx,+52 (56) 4616-1699,Automotriz Puebla,Iztapalapa,CDMX,MX,61005,"Priority_B, Mexico, Automotive","Industry: Automotive, State: Ciudad de México",Mexico_Business_Directory
Pedro,Morales,pedro.morales@caféchiapas.com.mx,+52 (55) 8605-7032,Café Chiapas,Mexico City,CDMX,MX,70013,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
Fernando,Cruz,fcruz@bancariacentral.mx,+52 (56) 1853-0060,Bancaria Central,Mexico City,CDMX,MX,41247,"Priority_A, Mexico, Finance","Industry: Finance, State: Ciudad de México",Mexico_Business_Directory
Alejandra,López,alejandra.lópez@bancariacentral.com.mx,+52 (56) 7937-9739,Bancaria Central,Coyoacán,CDMX,MX,59364,"Priority_C, Mexico, Finance","Industry: Finance, State: Ciudad de México",Mexico_Business_Directory
Luis,Rivera,rivera.luis@automotrizpuebla.com,+52 (55) 5380-4898,Automotriz Puebla,Coyoacán,CDMX,MX,42998,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Ciudad de México",Mexico_Business_Directory
Francisco,Sánchez,fsánchez@tecnologíadelnorte.mx,+52 (56) 7332-9516,Tecnología del Norte,Iztapalapa,CDMX,MX,73638,"Priority_A, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
Carmen,Hernández,chernández@caféchiapas.mx,+52 (55) 6183-6938,Café Chiapas,Gustavo A. Madero,CDMX,MX,15792,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
Daniel,Ortiz,daniel.ortiz@petroveracruz.com.mx,+52 (56) 8139-1581,PetroVeracruz,Iztapalapa,CDMX,MX,74051,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Ciudad de México",Mexico_Business_Directory
Alejandra,Cruz,acruz@tecnologíadelnorte.mx,+52 (55) 8291-8161,Tecnología del Norte,Iztapalapa,CDMX,MX,66616,"Priority_C, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
Francisco,Díaz,francisco.díaz@caféchiapas.com.mx,+52 (56) 6035-9379,Café Chiapas,Gustavo A. Madero,CDMX,MX,68833,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
José,Gutiérrez,gutiérrez.josé@caféchiapas.com,+52 (56) 7924-6004,Café Chiapas,Mexico City,CDMX,MX,37988,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
Daniel,Ramírez,daniel.ramírez@turismomaya.com.mx,+52 (56) 8419-3229,Turismo Maya,Iztapalapa,CDMX,MX,10839,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Ciudad de México",Mexico_Business_Directory
Antonio,Ortiz,antonio.ortiz@caféchiapas.com.mx,+52 (55) 5796-2660,Café Chiapas,Mexico City,CDMX,MX,96315,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Ciudad de México",Mexico_Business_Directory
Carmen,Chávez,cchávez@tecnologíadelnorte.mx,+52 (55) 8238-3774,Tecnología del Norte,Iztapalapa,CDMX,MX,35269,"Priority_A, Mexico, Technology","Industry: Technology, State: Ciudad de México",Mexico_Business_Directory
