First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Alejandra,Gómez,agómez@automotrizpuebla.mx,+52 (656) 8003-6626,Automotriz Puebla,Delicias,CHH,MX,47234,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Chihuahua",Mexico_Business_Directory
Guadalupe,Reyes,reyes.guadalupe@tequilapremium.com,+52 (614) 8846-2738,Tequila Premium,Chihuahua City,CHH,MX,20633,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Chihuahua",Mexico_Business_Directory
Antonio,Gutiérrez,agutiérrez@caféchiapas.mx,+52 (614) 8572-3513,Café Chiapas,Ciudad Juárez,CHH,MX,17086,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
Antonio,Hernández,antonio.hernández@caféchiapas.com.mx,+52 (639) 5574-2133,Café Chiapas,Ciudad Juárez,CHH,MX,39054,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
Luis,Flores,flores.luis@caféchiapas.com,+52 (656) 8506-8602,Café Chiapas,Delicias,CHH,MX,55919,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
María,Ramírez,mramírez@bancariacentral.mx,+52 (656) 5975-0679,Bancaria Central,Delicias,CHH,MX,18110,"Priority_B, Mexico, Finance","Industry: Finance, State: Chihuahua",Mexico_Business_Directory
Roberto,Chávez,chávez.roberto@bancariacentral.com,+52 (656) 3843-9920,Bancaria Central,Delicias,CHH,MX,27329,"Priority_C, Mexico, Finance","Industry: Finance, State: Chihuahua",Mexico_Business_Directory
Roberto,Gómez,rgómez@automotrizpuebla.mx,+52 (639) 5507-5069,Automotriz Puebla,Ciudad Juárez,CHH,MX,17369,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Chihuahua",Mexico_Business_Directory
Miguel,Sánchez,miguel.sánchez@turismomaya.com.mx,+52 (639) 7917-9224,Turismo Maya,Delicias,CHH,MX,12700,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Chihuahua",Mexico_Business_Directory
Luis,Cruz,lcruz@automotrizpuebla.mx,+52 (614) 2990-9734,Automotriz Puebla,Chihuahua City,CHH,MX,72864,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Chihuahua",Mexico_Business_Directory
Francisco,Rodríguez,frodríguez@calzadoleón.mx,+52 (614) 6634-6434,Calzado León,Chihuahua City,CHH,MX,20492,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
Guadalupe,García,garcía.guadalupe@calzadoleón.com,+52 (614) 1350-9213,Calzado León,Ciudad Juárez,CHH,MX,29388,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
Carlos,González,carlos.gonzález@calzadoleón.com.mx,+52 (614) 6102-2982,Calzado León,Delicias,CHH,MX,65750,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
Ana,Ortiz,ortiz.ana@caféchiapas.com,+52 (639) 1157-3095,Café Chiapas,Ciudad Juárez,CHH,MX,93022,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
Daniel,Torres,daniel.torres@calzadoleón.com.mx,+52 (614) 5027-4984,Calzado León,Ciudad Juárez,CHH,MX,56464,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
José,Díaz,josé.díaz@tecnologíadelnorte.com.mx,+52 (656) 4767-5878,Tecnología del Norte,Delicias,CHH,MX,58239,"Priority_C, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
Francisco,González,francisco.gonzález@calzadoleón.com.mx,+52 (614) 3597-6655,Calzado León,Chihuahua City,CHH,MX,13351,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
Pedro,Cruz,cruz.pedro@caféchiapas.com,+52 (639) 5264-2258,Café Chiapas,Delicias,CHH,MX,36264,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
Luis,Morales,luis.morales@turismomaya.com.mx,+52 (656) 3814-2565,Turismo Maya,Ciudad Juárez,CHH,MX,27693,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chihuahua",Mexico_Business_Directory
Miguel,García,mgarcía@tecnologíadelnorte.mx,+52 (614) 8185-1694,Tecnología del Norte,Delicias,CHH,MX,34386,"Priority_C, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
José,Flores,josé.flores@bancariacentral.com.mx,+52 (614) 9521-2996,Bancaria Central,Ciudad Juárez,CHH,MX,52711,"Priority_A, Mexico, Finance","Industry: Finance, State: Chihuahua",Mexico_Business_Directory
Miguel,González,miguel.gonzález@tecnologíadelnorte.com.mx,+52 (639) 4615-2220,Tecnología del Norte,Delicias,CHH,MX,55721,"Priority_A, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
Daniel,Torres,dtorres@tecnologíadelnorte.mx,+52 (656) 2843-5875,Tecnología del Norte,Ciudad Juárez,CHH,MX,93494,"Priority_A, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
Fernando,Chávez,fernando.chávez@caféchiapas.com.mx,+52 (639) 5455-8154,Café Chiapas,Chihuahua City,CHH,MX,82334,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Chihuahua",Mexico_Business_Directory
Carmen,Ortiz,cortiz@turismomaya.mx,+52 (656) 8667-7639,Turismo Maya,Chihuahua City,CHH,MX,97564,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chihuahua",Mexico_Business_Directory
Francisco,Díaz,fdíaz@turismomaya.mx,+52 (614) 9439-9437,Turismo Maya,Chihuahua City,CHH,MX,15908,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chihuahua",Mexico_Business_Directory
Pedro,Hernández,hernández.pedro@bancariacentral.com,+52 (656) 7207-5943,Bancaria Central,Delicias,CHH,MX,97490,"Priority_A, Mexico, Finance","Industry: Finance, State: Chihuahua",Mexico_Business_Directory
Alejandra,González,agonzález@petroveracruz.mx,+52 (614) 7857-4904,PetroVeracruz,Chihuahua City,CHH,MX,77081,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Chihuahua",Mexico_Business_Directory
Daniel,Gómez,gómez.daniel@tecnologíadelnorte.com,+52 (656) 6128-3706,Tecnología del Norte,Delicias,CHH,MX,56664,"Priority_C, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
Carmen,Ramírez,carmen.ramírez@calzadoleón.com.mx,+52 (656) 5427-4022,Calzado León,Ciudad Juárez,CHH,MX,13021,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chihuahua",Mexico_Business_Directory
Miguel,Rivera,mrivera@tequilapremium.mx,+52 (639) 5611-5674,Tequila Premium,Ciudad Juárez,CHH,MX,94650,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Chihuahua",Mexico_Business_Directory
Miguel,Gutiérrez,gutiérrez.miguel@tequilapremium.com,+52 (639) 6224-2763,Tequila Premium,Ciudad Juárez,CHH,MX,34089,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Chihuahua",Mexico_Business_Directory
Francisco,Pérez,pérez.francisco@tecnologíadelnorte.com,+52 (639) 8151-0303,Tecnología del Norte,Chihuahua City,CHH,MX,54726,"Priority_A, Mexico, Technology","Industry: Technology, State: Chihuahua",Mexico_Business_Directory
