First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Alejandra,González,alejandra.gonzález@tequilapremium.com.mx,+52 (961) 2219-9446,Tequila Premium,Tuxtla Gutiérrez,CHP,MX,67232,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
Pedro,García,garcía.pedro@tequilapremium.com,+52 (962) 9102-2708,Tequila Premium,Tapachula,CHP,MX,36690,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
Fernando,Sánchez,fsánchez@petroveracruz.mx,+52 (963) 1705-8507,PetroVeracruz,Tuxtla Gutiérrez,CHP,MX,43695,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Chiapas",Mexico_Business_Directory
Daniel,Reyes,reyes.daniel@turismomaya.com,+52 (962) 7119-9512,Turismo Maya,Tuxtla Gutiérrez,CHP,MX,47518,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Luis,Reyes,reyes.luis@tequilapremium.com,+52 (961) 6741-9131,Tequila Premium,Tapachula,CHP,MX,58799,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
Alejandra,Ortiz,alejandra.ortiz@calzadoleón.com.mx,+52 (962) 6106-0300,Calzado León,Tuxtla Gutiérrez,CHP,MX,43616,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
Diego,López,dlópez@tequilapremium.mx,+52 (962) 1493-7207,Tequila Premium,Tapachula,CHP,MX,22990,"Priority_B, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
Roberto,López,lópez.roberto@bancariacentral.com,+52 (963) 1699-1805,Bancaria Central,Tuxtla Gutiérrez,CHP,MX,34067,"Priority_B, Mexico, Finance","Industry: Finance, State: Chiapas",Mexico_Business_Directory
Miguel,Cruz,cruz.miguel@turismomaya.com,+52 (963) 5249-9589,Turismo Maya,San Cristóbal de las Casas,CHP,MX,34379,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Antonio,Gómez,agómez@caféchiapas.mx,+52 (962) 5792-2247,Café Chiapas,Tapachula,CHP,MX,89811,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Chiapas",Mexico_Business_Directory
Rosa,García,rosa.garcía@tequilapremium.com.mx,+52 (963) 5091-5617,Tequila Premium,Tapachula,CHP,MX,48059,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
María,Pérez,maría.pérez@caféchiapas.com.mx,+52 (961) 3943-9263,Café Chiapas,Tuxtla Gutiérrez,CHP,MX,48647,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Chiapas",Mexico_Business_Directory
Fernando,González,gonzález.fernando@tecnologíadelnorte.com,+52 (962) 2490-7682,Tecnología del Norte,Tuxtla Gutiérrez,CHP,MX,60195,"Priority_B, Mexico, Technology","Industry: Technology, State: Chiapas",Mexico_Business_Directory
Guadalupe,Rivera,guadalupe.rivera@bancariacentral.com.mx,+52 (961) 8008-1825,Bancaria Central,Tuxtla Gutiérrez,CHP,MX,69759,"Priority_C, Mexico, Finance","Industry: Finance, State: Chiapas",Mexico_Business_Directory
José,Sánchez,josé.sánchez@tecnologíadelnorte.com.mx,+52 (962) 2765-9828,Tecnología del Norte,San Cristóbal de las Casas,CHP,MX,23394,"Priority_C, Mexico, Technology","Industry: Technology, State: Chiapas",Mexico_Business_Directory
Rosa,Díaz,rosa.díaz@calzadoleón.com.mx,+52 (962) 8902-6619,Calzado León,Tapachula,CHP,MX,25551,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
Rosa,Rodríguez,rosa.rodríguez@tequilapremium.com.mx,+52 (961) 9437-3060,Tequila Premium,Tuxtla Gutiérrez,CHP,MX,87132,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Chiapas",Mexico_Business_Directory
Alejandra,Rivera,alejandra.rivera@turismomaya.com.mx,+52 (963) 6922-4952,Turismo Maya,San Cristóbal de las Casas,CHP,MX,43063,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Antonio,Ortiz,aortiz@turismomaya.mx,+52 (961) 7320-3203,Turismo Maya,San Cristóbal de las Casas,CHP,MX,45448,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Juan,Torres,jtorres@automotrizpuebla.mx,+52 (963) 1107-6097,Automotriz Puebla,Tapachula,CHP,MX,48569,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Chiapas",Mexico_Business_Directory
Carmen,Cruz,carmen.cruz@turismomaya.com.mx,+52 (963) 6173-6680,Turismo Maya,San Cristóbal de las Casas,CHP,MX,62429,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Rosa,Reyes,reyes.rosa@petroveracruz.com,+52 (963) 8796-4187,PetroVeracruz,Tapachula,CHP,MX,75936,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Chiapas",Mexico_Business_Directory
María,Díaz,maría.díaz@bancariacentral.com.mx,+52 (963) 8176-5050,Bancaria Central,Tuxtla Gutiérrez,CHP,MX,11610,"Priority_A, Mexico, Finance","Industry: Finance, State: Chiapas",Mexico_Business_Directory
Juan,Gutiérrez,juan.gutiérrez@automotrizpuebla.com.mx,+52 (963) 8430-4584,Automotriz Puebla,Tuxtla Gutiérrez,CHP,MX,35304,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Chiapas",Mexico_Business_Directory
José,Gutiérrez,jgutiérrez@caféchiapas.mx,+52 (962) 7983-4710,Café Chiapas,San Cristóbal de las Casas,CHP,MX,25303,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Chiapas",Mexico_Business_Directory
Jorge,Torres,torres.jorge@turismomaya.com,+52 (963) 9181-7037,Turismo Maya,Tapachula,CHP,MX,65265,"Priority_C, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Miguel,Hernández,mhernández@turismomaya.mx,+52 (961) 5889-1951,Turismo Maya,Tapachula,CHP,MX,77024,"Priority_C, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Roberto,Ortiz,ortiz.roberto@calzadoleón.com,+52 (961) 1328-4515,Calzado León,Tapachula,CHP,MX,81792,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
Juan,Chávez,jchávez@automotrizpuebla.mx,+52 (961) 4482-1981,Automotriz Puebla,San Cristóbal de las Casas,CHP,MX,16604,"Priority_B, Mexico, Automotive","Industry: Automotive, State: Chiapas",Mexico_Business_Directory
Antonio,Ortiz,antonio.ortiz@petroveracruz.com.mx,+52 (962) 2563-6225,PetroVeracruz,Tapachula,CHP,MX,77071,"Priority_C, Mexico, Petroleum","Industry: Petroleum, State: Chiapas",Mexico_Business_Directory
Pedro,Sánchez,psánchez@tecnologíadelnorte.mx,+52 (961) 2985-1630,Tecnología del Norte,Tuxtla Gutiérrez,CHP,MX,97438,"Priority_A, Mexico, Technology","Industry: Technology, State: Chiapas",Mexico_Business_Directory
María,Hernández,maría.hernández@caféchiapas.com.mx,+52 (963) 2333-7551,Café Chiapas,Tuxtla Gutiérrez,CHP,MX,39270,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Chiapas",Mexico_Business_Directory
Pedro,Morales,morales.pedro@turismomaya.com,+52 (962) 5604-8126,Turismo Maya,Tapachula,CHP,MX,14925,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Chiapas",Mexico_Business_Directory
Jorge,Reyes,reyes.jorge@calzadoleón.com,+52 (963) 1130-0001,Calzado León,Tuxtla Gutiérrez,CHP,MX,78370,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
Alejandra,Gómez,gómez.alejandra@automotrizpuebla.com,+52 (961) 9088-4720,Automotriz Puebla,Tapachula,CHP,MX,69782,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Chiapas",Mexico_Business_Directory
Juan,Reyes,reyes.juan@automotrizpuebla.com,+52 (961) 7663-6293,Automotriz Puebla,San Cristóbal de las Casas,CHP,MX,43862,"Priority_A, Mexico, Automotive","Industry: Automotive, State: Chiapas",Mexico_Business_Directory
Francisco,Díaz,francisco.díaz@calzadoleón.com.mx,+52 (961) 3934-9360,Calzado León,Tapachula,CHP,MX,35996,"Priority_C, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
Roberto,Gutiérrez,gutiérrez.roberto@calzadoleón.com,+52 (962) 7795-4154,Calzado León,San Cristóbal de las Casas,CHP,MX,46419,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Chiapas",Mexico_Business_Directory
