First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Jorge,Sánchez,jorge.sánchez@tecnologíadelnorte.com.mx,+52 (341) 1254-7291,Tecnología del Norte,Puerto Vallarta,JAL,MX,17198,"Priority_B, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Juan,Torres,jtorres@tequilapremium.mx,+52 (341) 9310-1372,Tequila Premium,Zapopan,JAL,MX,36159,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Jalisco",Mexico_Business_Directory
Carmen,Rodríguez,crodríguez@calzadoleón.mx,+52 (33) 5134-5499,Calzado León,Zapopan,JAL,MX,35634,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Jalisco",Mexico_Business_Directory
Carmen,Gutiérrez,gutiérrez.carmen@bancariacentral.com,+52 (33) 2412-2788,Bancaria Central,Zapopan,JAL,MX,78220,"Priority_A, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
Carmen,Ortiz,cortiz@caféchiapas.mx,+52 (33) 6799-4078,Café Chiapas,Guadalajara,JAL,MX,99470,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Jalisco",Mexico_Business_Directory
Alejandra,Reyes,areyes@turismomaya.mx,+52 (33) 7182-9957,Turismo Maya,Puerto Vallarta,JAL,MX,15864,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Jalisco",Mexico_Business_Directory
Fernando,Reyes,freyes@caféchiapas.mx,+52 (342) 5458-0931,Café Chiapas,Puerto Vallarta,JAL,MX,53920,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Jalisco",Mexico_Business_Directory
María,Morales,morales.maría@turismomaya.com,+52 (341) 1240-9040,Turismo Maya,Zapopan,JAL,MX,76984,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Jalisco",Mexico_Business_Directory
Diego,Rivera,drivera@bancariacentral.mx,+52 (342) 9007-4530,Bancaria Central,Puerto Vallarta,JAL,MX,32464,"Priority_B, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
José,Ortiz,josé.ortiz@automotrizpuebla.com.mx,+52 (341) 6868-4546,Automotriz Puebla,Tlaquepaque,JAL,MX,36094,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Jalisco",Mexico_Business_Directory
Diego,Gómez,dgómez@tecnologíadelnorte.mx,+52 (341) 2628-2322,Tecnología del Norte,Zapopan,JAL,MX,12527,"Priority_A, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Alejandra,Gutiérrez,agutiérrez@tecnologíadelnorte.mx,+52 (33) 4418-0007,Tecnología del Norte,Tlaquepaque,JAL,MX,75458,"Priority_B, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Diego,Díaz,diego.díaz@tecnologíadelnorte.com.mx,+52 (342) 3950-5823,Tecnología del Norte,Puerto Vallarta,JAL,MX,66557,"Priority_C, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Jorge,Gutiérrez,jorge.gutiérrez@turismomaya.com.mx,+52 (33) 6003-0742,Turismo Maya,Zapopan,JAL,MX,74107,"Priority_C, Mexico, Tourism","Industry: Tourism, State: Jalisco",Mexico_Business_Directory
Luis,Gutiérrez,gutiérrez.luis@bancariacentral.com,+52 (342) 1523-0180,Bancaria Central,Puerto Vallarta,JAL,MX,36701,"Priority_C, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
Sofía,Rodríguez,sofía.rodríguez@bancariacentral.com.mx,+52 (33) 2571-6479,Bancaria Central,Zapopan,JAL,MX,25371,"Priority_B, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
Jorge,Cruz,jcruz@bancariacentral.mx,+52 (33) 4227-2353,Bancaria Central,Zapopan,JAL,MX,31532,"Priority_A, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
Juan,Pérez,jpérez@tecnologíadelnorte.mx,+52 (341) 6295-1650,Tecnología del Norte,Puerto Vallarta,JAL,MX,12145,"Priority_C, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Daniel,López,lópez.daniel@tequilapremium.com,+52 (341) 4591-7172,Tequila Premium,Guadalajara,JAL,MX,16572,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Jalisco",Mexico_Business_Directory
Luis,Hernández,hernández.luis@caféchiapas.com,+52 (33) 2073-1106,Café Chiapas,Zapopan,JAL,MX,87055,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Jalisco",Mexico_Business_Directory
Pedro,Martínez,pmartínez@turismomaya.mx,+52 (342) 8801-6520,Turismo Maya,Puerto Vallarta,JAL,MX,58932,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Jalisco",Mexico_Business_Directory
Daniel,Hernández,dhernández@petroveracruz.mx,+52 (342) 8829-6000,PetroVeracruz,Guadalajara,JAL,MX,51406,"Priority_C, Mexico, Petroleum","Industry: Petroleum, State: Jalisco",Mexico_Business_Directory
María,Rodríguez,maría.rodríguez@tecnologíadelnorte.com.mx,+52 (341) 8203-1257,Tecnología del Norte,Puerto Vallarta,JAL,MX,50935,"Priority_C, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Antonio,Gutiérrez,agutiérrez@bancariacentral.mx,+52 (341) 8094-7057,Bancaria Central,Zapopan,JAL,MX,90917,"Priority_A, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
Daniel,Reyes,reyes.daniel@automotrizpuebla.com,+52 (341) 1293-6404,Automotriz Puebla,Tlaquepaque,JAL,MX,92930,"Priority_B, Mexico, Automotive","Industry: Automotive, State: Jalisco",Mexico_Business_Directory
Francisco,Morales,morales.francisco@caféchiapas.com,+52 (33) 8707-6938,Café Chiapas,Guadalajara,JAL,MX,13085,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Jalisco",Mexico_Business_Directory
Pedro,Gutiérrez,pgutiérrez@petroveracruz.mx,+52 (33) 7769-3415,PetroVeracruz,Guadalajara,JAL,MX,90600,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Jalisco",Mexico_Business_Directory
Pedro,Díaz,pdíaz@tecnologíadelnorte.mx,+52 (342) 9933-6441,Tecnología del Norte,Zapopan,JAL,MX,19745,"Priority_B, Mexico, Technology","Industry: Technology, State: Jalisco",Mexico_Business_Directory
Carmen,González,cgonzález@bancariacentral.mx,+52 (342) 1098-1981,Bancaria Central,Zapopan,JAL,MX,47309,"Priority_C, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
José,Sánchez,josé.sánchez@bancariacentral.com.mx,+52 (342) 8856-5531,Bancaria Central,Puerto Vallarta,JAL,MX,41268,"Priority_C, Mexico, Finance","Industry: Finance, State: Jalisco",Mexico_Business_Directory
