First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Miguel,Rodríguez,miguel.rodríguez@calzadoleón.com.mx,+52 (826) 2208-1010,Calzado León,Monterrey,NLE,MX,14014,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Nuevo León",Mexico_Business_Directory
Carlos,Ortiz,cortiz@tequilapremium.mx,+52 (826) 8263-6279,Tequila Premium,San Pedro Garza García,NLE,MX,59491,"Priority_A, Mexico, Beverages","Industry: Beverages, State: Nuevo León",Mexico_Business_Directory
Carlos,Gómez,gómez.carlos@automotrizpuebla.com,+52 (828) 3854-5128,Automotriz Puebla,Monterrey,NLE,MX,72182,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Nuevo León",Mexico_Business_Directory
Daniel,González,daniel.gonzález@automotrizpuebla.com.mx,+52 (828) 7362-0734,Automotriz Puebla,San Pedro Garza García,NLE,MX,45708,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Nuevo León",Mexico_Business_Directory
Francisco,Morales,morales.francisco@automotrizpuebla.com,+52 (828) 6425-5496,Automotriz Puebla,San Pedro Garza García,NLE,MX,93011,"Priority_B, Mexico, Automotive","Industry: Automotive, State: Nuevo León",Mexico_Business_Directory
José,González,jgonzález@tecnologíadelnorte.mx,+52 (81) 2658-5020,Tecnología del Norte,Monterrey,NLE,MX,32567,"Priority_A, Mexico, Technology","Industry: Technology, State: Nuevo León",Mexico_Business_Directory
Carmen,Ramírez,cramírez@petroveracruz.mx,+52 (826) 8750-7956,PetroVeracruz,Monterrey,NLE,MX,87831,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Nuevo León",Mexico_Business_Directory
Miguel,Hernández,hernández.miguel@tequilapremium.com,+52 (81) 4751-0496,Tequila Premium,Monterrey,NLE,MX,50303,"Priority_B, Mexico, Beverages","Industry: Beverages, State: Nuevo León",Mexico_Business_Directory
Carlos,Morales,carlos.morales@caféchiapas.com.mx,+52 (81) 8343-7165,Café Chiapas,Monterrey,NLE,MX,69288,"Priority_C, Mexico, Agriculture","Industry: Agriculture, State: Nuevo León",Mexico_Business_Directory
Sofía,Martínez,sofía.martínez@petroveracruz.com.mx,+52 (81) 6053-3165,PetroVeracruz,San Pedro Garza García,NLE,MX,16321,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Nuevo León",Mexico_Business_Directory
José,Morales,jmorales@automotrizpuebla.mx,+52 (828) 1302-2310,Automotriz Puebla,Monterrey,NLE,MX,74837,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Nuevo León",Mexico_Business_Directory
