First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Jorge,Ortiz,jorge.ortiz@turismomaya.com.mx,+52 (222) 1797-4497,Turismo Maya,Puebla City,PUE,MX,97786,"Priority_C, Mexico, Tourism","Industry: Tourism, State: Puebla",Mexico_Business_Directory
Ana,González,gonzález.ana@caféchiapas.com,+52 (238) 9544-1442,Café Chiapas,Tehuacán,PUE,MX,90783,"Priority_B, Mexico, Agriculture","Industry: Agriculture, State: Puebla",Mexico_Business_Directory
Rosa,Reyes,reyes.rosa@tecnologíadelnorte.com,+52 (231) 8418-8726,Tecnología del Norte,Tehuacán,PUE,MX,84750,"Priority_A, Mexico, Technology","Industry: Technology, State: Puebla",Mexico_Business_Directory
Carmen,Martínez,carmen.martínez@turismomaya.com.mx,+52 (238) 2952-0017,Turismo Maya,Atlixco,PUE,MX,89516,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Puebla",Mexico_Business_Directory
Rosa,Reyes,rreyes@tecnologíadelnorte.mx,+52 (222) 5452-8497,Tecnología del Norte,Puebla City,PUE,MX,98187,"Priority_B, Mexico, Technology","Industry: Technology, State: Puebla",Mexico_Business_Directory
Roberto,García,garcía.roberto@petroveracruz.com,+52 (222) 4772-3968,PetroVeracruz,Puebla City,PUE,MX,36897,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Carmen,Morales,carmen.morales@calzadoleón.com.mx,+52 (222) 1199-8065,Calzado León,Puebla City,PUE,MX,35914,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Alejandra,García,agarcía@automotrizpuebla.mx,+52 (222) 3156-7260,Automotriz Puebla,Tehuacán,PUE,MX,33850,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Puebla",Mexico_Business_Directory
Daniel,Torres,dtorres@bancariacentral.mx,+52 (231) 2153-6130,Bancaria Central,Puebla City,PUE,MX,11934,"Priority_C, Mexico, Finance","Industry: Finance, State: Puebla",Mexico_Business_Directory
Carlos,Martínez,cmartínez@automotrizpuebla.mx,+52 (222) 8548-4607,Automotriz Puebla,Atlixco,PUE,MX,14556,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Puebla",Mexico_Business_Directory
Daniel,González,gonzález.daniel@bancariacentral.com,+52 (222) 8187-7196,Bancaria Central,Tehuacán,PUE,MX,48425,"Priority_C, Mexico, Finance","Industry: Finance, State: Puebla",Mexico_Business_Directory
Daniel,Sánchez,dsánchez@turismomaya.mx,+52 (222) 9382-0870,Turismo Maya,Puebla City,PUE,MX,80965,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Puebla",Mexico_Business_Directory
Fernando,Rivera,fernando.rivera@calzadoleón.com.mx,+52 (222) 7801-7048,Calzado León,Tehuacán,PUE,MX,95827,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Luis,Díaz,luis.díaz@tecnologíadelnorte.com.mx,+52 (238) 3174-8983,Tecnología del Norte,Puebla City,PUE,MX,86432,"Priority_B, Mexico, Technology","Industry: Technology, State: Puebla",Mexico_Business_Directory
Rosa,Cruz,rcruz@tequilapremium.mx,+52 (238) 6440-9644,Tequila Premium,Puebla City,PUE,MX,38406,"Priority_B, Mexico, Beverages","Industry: Beverages, State: Puebla",Mexico_Business_Directory
Jorge,Gutiérrez,jgutiérrez@caféchiapas.mx,+52 (231) 8275-1073,Café Chiapas,Tehuacán,PUE,MX,21156,"Priority_A, Mexico, Agriculture","Industry: Agriculture, State: Puebla",Mexico_Business_Directory
Roberto,Morales,roberto.morales@bancariacentral.com.mx,+52 (222) 1659-3223,Bancaria Central,Puebla City,PUE,MX,96069,"Priority_C, Mexico, Finance","Industry: Finance, State: Puebla",Mexico_Business_Directory
Jorge,Ramírez,jramírez@tequilapremium.mx,+52 (222) 3214-8643,Tequila Premium,Puebla City,PUE,MX,92492,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Puebla",Mexico_Business_Directory
Carmen,Morales,carmen.morales@calzadoleón.com.mx,+52 (231) 4169-3606,Calzado León,Puebla City,PUE,MX,32107,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Francisco,López,francisco.lópez@calzadoleón.com.mx,+52 (222) 6962-3097,Calzado León,Tehuacán,PUE,MX,20839,"Priority_B, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Juan,Martínez,martínez.juan@tequilapremium.com,+52 (231) 5958-7225,Tequila Premium,Tehuacán,PUE,MX,82929,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Puebla",Mexico_Business_Directory
Carmen,Reyes,creyes@automotrizpuebla.mx,+52 (238) 9154-7747,Automotriz Puebla,Puebla City,PUE,MX,78926,"Priority_C, Mexico, Automotive","Industry: Automotive, State: Puebla",Mexico_Business_Directory
Daniel,Díaz,díaz.daniel@petroveracruz.com,+52 (238) 1543-2315,PetroVeracruz,Atlixco,PUE,MX,36602,"Priority_C, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Luis,Reyes,lreyes@tequilapremium.mx,+52 (222) 8917-5960,Tequila Premium,Tehuacán,PUE,MX,59245,"Priority_C, Mexico, Beverages","Industry: Beverages, State: Puebla",Mexico_Business_Directory
Sofía,Ortiz,sortiz@turismomaya.mx,+52 (222) 3569-2654,Turismo Maya,Atlixco,PUE,MX,57671,"Priority_B, Mexico, Tourism","Industry: Tourism, State: Puebla",Mexico_Business_Directory
Diego,Díaz,díaz.diego@petroveracruz.com,+52 (238) 3668-6469,PetroVeracruz,Atlixco,PUE,MX,38488,"Priority_C, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Daniel,Ramírez,ramírez.daniel@petroveracruz.com,+52 (238) 7201-9847,PetroVeracruz,Atlixco,PUE,MX,14384,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Carlos,Hernández,carlos.hernández@petroveracruz.com.mx,+52 (222) 9552-4060,PetroVeracruz,Atlixco,PUE,MX,60520,"Priority_B, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Sofía,Sánchez,sofía.sánchez@bancariacentral.com.mx,+52 (238) 3121-6701,Bancaria Central,Atlixco,PUE,MX,84187,"Priority_C, Mexico, Finance","Industry: Finance, State: Puebla",Mexico_Business_Directory
Antonio,Sánchez,sánchez.antonio@calzadoleón.com,+52 (231) 8440-4214,Calzado León,Tehuacán,PUE,MX,57798,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Antonio,Ramírez,antonio.ramírez@calzadoleón.com.mx,+52 (222) 4423-6834,Calzado León,Atlixco,PUE,MX,68739,"Priority_A, Mexico, Manufacturing","Industry: Manufacturing, State: Puebla",Mexico_Business_Directory
Diego,Rodríguez,diego.rodríguez@automotrizpuebla.com.mx,+52 (238) 9853-8699,Automotriz Puebla,Atlixco,PUE,MX,23104,"Priority_B, Mexico, Automotive","Industry: Automotive, State: Puebla",Mexico_Business_Directory
Antonio,López,antonio.lópez@turismomaya.com.mx,+52 (231) 3963-0450,Turismo Maya,Puebla City,PUE,MX,25857,"Priority_A, Mexico, Tourism","Industry: Tourism, State: Puebla",Mexico_Business_Directory
Carmen,Flores,carmen.flores@petroveracruz.com.mx,+52 (238) 4289-6017,PetroVeracruz,Tehuacán,PUE,MX,18563,"Priority_A, Mexico, Petroleum","Industry: Petroleum, State: Puebla",Mexico_Business_Directory
Jorge,Díaz,jorge.díaz@bancariacentral.com.mx,+52 (231) 5050-9030,Bancaria Central,Tehuacán,PUE,MX,34782,"Priority_B, Mexico, Finance","Industry: Finance, State: Puebla",Mexico_Business_Directory
