First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Karen,Murphy,murphy.karen@outlook.com,(774) 534-6511,D.R. Horton,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 16, Volume: $4,303,644",CREAM_RealEstate
Ruth,Rivera,rrivera@hotmail.com,(865) 266-5537,Century 21,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 36, Volume: $4,031,405",CREAM_RealEstate
Justin,Parker,justin.parker@coldwellbanker.com,(330) 751-5114,Compass,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 25 years, Transactions: 26, Volume: $14,567,286",CREAM_RealEstate
Patricia,Green,patriciag@coldwellbanker.com,(657) 668-8710,Lennar,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 4 years, Transactions: 8, Volume: $648,083",CREAM_RealEstate
Samantha,Taylor,samantha.taylor@exprealty.com,(702) 904-1494,The Agency,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $382,592",CREAM_RealEstate
Andrew,Campbell,andrew21@realtor.com,(856) 956-4546,Taylor Morrison,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 44, Volume: $3,287,006",CREAM_RealEstate
Justin,Morales,justin.morales@elliman.com,(975) 286-1630,Redfin,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 38, Volume: $5,015,006",CREAM_RealEstate
Jacob,Anderson,jacob75@realtor.com,(360) 817-5452,Ryan Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 4 years, Transactions: 13, Volume: $1,757,029",CREAM_RealEstate
Steven,Cook,steven2@sothebysrealty.com,(947) 897-9088,Coldwell Banker,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 22 years, Transactions: 16, Volume: $11,829,956",CREAM_RealEstate
Andrew,Ramos,ramos.andrew@redfin.com,(909) 295-6298,Tri Pointe Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 3 years, Transactions: 15, Volume: $885,005",CREAM_RealEstate
Patricia,Ramos,patriciar@hotmail.com,(562) 229-8950,M/I Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 20 years, Transactions: 42, Volume: $4,307,310",CREAM_RealEstate
Ryan,Turner,ryan.turner@realtyonegroup.com,(251) 941-3346,M/I Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 35, Volume: $11,422,593",CREAM_RealEstate
Sharon,Morales,sharonm@realtyonegroup.com,(430) 421-4268,Toll Brothers,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 45, Volume: $7,265,783",CREAM_RealEstate
Dorothy,Nguyen,dnguyen@weichert.com,(209) 342-4588,Toll Brothers,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 20 years, Transactions: 49, Volume: $13,610,478",CREAM_RealEstate
Jerry,Kelly,jkelly@berkshirehathawayhs.com,(321) 381-5780,Better Homes & Gardens,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 33, Volume: $11,506,821",CREAM_RealEstate
Thomas,Roberts,thomas.roberts@gmail.com,(678) 464-2684,Lennar,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 4, Volume: $320,110",CREAM_RealEstate
Kenneth,Hernandez,kennethh@weichert.com,(947) 393-5064,Nest Seekers,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 24 years, Transactions: 48, Volume: $12,330,692",CREAM_RealEstate
Carol,Roberts,carolr@remax.net,(602) 903-2108,Century 21,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 42, Volume: $8,910,975",CREAM_RealEstate
Tyler,Alvarez,tylera@gmail.com,(631) 239-6854,RE/MAX,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 4, Volume: $279,824",CREAM_RealEstate
Brenda,Scott,bscott@sothebysrealty.com,(570) 447-6178,eXp Realty,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 39, Volume: $13,872,416",CREAM_RealEstate
Sarah,Reed,sarahr@gmail.com,(217) 670-7931,Meritage Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 38, Volume: $3,847,988",CREAM_RealEstate
Cynthia,Hernandez,cynthia.hernandez@redfin.com,(224) 640-3933,United Real Estate,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 13, Volume: $8,920,931",CREAM_RealEstate
Ruth,Ruiz,ruthr@elliman.com,(928) 947-8787,CalAtlantic Homes,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 23, Volume: $7,860,700",CREAM_RealEstate
Nicole,Taylor,nicole.taylor@gmail.com,(316) 258-3466,Nest Seekers,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 4, Volume: $421,090",CREAM_RealEstate
Amy,Walker,walker.amy@realtyonegroup.com,(734) 597-2133,D.R. Horton,Albuquerque,NM,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 3, Volume: $163,529",CREAM_RealEstate
