First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Jason,Nelson,jasonn@redfin.com,(574) 756-2455,Taylor Morrison,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 49, Volume: $5,889,040",CREAM_RealEstate
Michael,Castillo,michael.castillo@outlook.com,(220) 446-4979,Weichert,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 19 years, Transactions: 31, Volume: $5,928,186",CREAM_RealEstate
Rachel,Smith,rachel16@gmail.com,(657) 866-1794,Zillow Premier,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 41, Volume: $1,742,143",CREAM_RealEstate
Sharon,Howard,sharon49@exprealty.com,(618) 743-3600,Berkshire Hathaway,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 35, Volume: $12,291,993",CREAM_RealEstate
Jacob,Diaz,jdiaz@remax.net,(785) 739-9289,Zillow Premier,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $473,481",CREAM_RealEstate
Kathleen,Torres,kathleen.torres@gmail.com,(402) 894-9857,NVR,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 28, Volume: $9,277,423",CREAM_RealEstate
Maria,Lopez,maria78@coldwellbanker.com,(360) 230-8819,Keller Williams,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 36, Volume: $13,204,297",CREAM_RealEstate
Jacob,Lopez,jacobl@remax.net,(406) 579-4274,LGI Homes,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 27, Volume: $2,102,175",CREAM_RealEstate
Scott,Morris,scott.morris@gmail.com,(858) 209-7385,Nest Seekers,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 48, Volume: $3,117,074",CREAM_RealEstate
Carol,Mendoza,carol.mendoza@hotmail.com,(229) 733-7842,Vylla Home,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 22, Volume: $4,513,472",CREAM_RealEstate
Jack,Martin,jack19@coldwellbanker.com,(931) 743-5128,Zillow Premier,New York,NY,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 49, Volume: $12,821,380",CREAM_RealEstate
