First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Nicholas,Jones,jones.nicholas@coldwellbanker.com,(754) 459-7769,Tri Pointe Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 20, Volume: $5,258,569",CREAM_RealEstate
Ryan,Turner,rturner@compass.com,(209) 992-2955,Compass,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 20 years, Transactions: 28, Volume: $11,424,704",CREAM_RealEstate
Jennifer,Jones,jennifer.jones@hotmail.com,(214) 378-8309,Ryan Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $338,877",CREAM_RealEstate
Edward,Lewis,edward.lewis@coldwellbanker.com,(314) 359-9063,Taylor Morrison,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 38, Volume: $9,552,937",CREAM_RealEstate
Brenda,Bennett,brenda.bennett@yahoo.com,(828) 456-3636,HomeSmart,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 31, Volume: $2,618,350",CREAM_RealEstate
Patrick,Williams,patrick.williams@outlook.com,(720) 750-1097,Taylor Morrison,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 45, Volume: $13,680,596",CREAM_RealEstate
Benjamin,Collins,benjamin.collins@kw.com,(684) 943-4259,Better Homes & Gardens,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 11, Volume: $10,859,658",CREAM_RealEstate
Larry,Nguyen,larry93@kw.com,(501) 548-4197,Taylor Morrison,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 10, Volume: $12,866,484",CREAM_RealEstate
Jason,Wilson,jwilson@yahoo.com,(667) 222-8956,Berkshire Hathaway,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 39, Volume: $4,081,285",CREAM_RealEstate
Tyler,Allen,allen.tyler@gmail.com,(201) 494-6512,Weichert,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 34, Volume: $5,692,005",CREAM_RealEstate
Anna,Edwards,anna.edwards@hotmail.com,(646) 790-6252,Pulte Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 32, Volume: $8,697,033",CREAM_RealEstate
Margaret,Jones,margaret.jones@gmail.com,(252) 474-5252,ERA,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 15 years, Transactions: 38, Volume: $13,117,874",CREAM_RealEstate
Betty,Myers,myers.betty@redfin.com,(872) 542-8866,CalAtlantic Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 8 years, Transactions: 43, Volume: $14,777,485",CREAM_RealEstate
Kevin,Torres,kevin.torres@weichert.com,(409) 762-7575,HomeSmart,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 3 years, Transactions: 6, Volume: $1,074,456",CREAM_RealEstate
Nancy,Brown,nancyb@redfin.com,(404) 251-4491,Ryan Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 32, Volume: $1,647,241",CREAM_RealEstate
Brenda,Murphy,bmurphy@sothebysrealty.com,(917) 289-2379,Nest Seekers,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 47, Volume: $5,770,573",CREAM_RealEstate
Aaron,Watson,aaronw@exprealty.com,(484) 205-6660,HomeSmart,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $12,807",CREAM_RealEstate
Melissa,Kelly,melissa62@realtyonegroup.com,(216) 581-8490,CalAtlantic Homes,Oklahoma City,OK,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 20, Volume: $4,975,866",CREAM_RealEstate
