First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Stephanie,Evans,sevans@homesmart.com,(217) 627-5457,Realty One Group,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 16 years, Transactions: 32, Volume: $12,226,422",CREAM_RealEstate
John,Wilson,wilson.john@realtor.com,(920) 626-5416,Century Communities,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 17, Volume: $3,053,418",CREAM_RealEstate
Maria,Evans,maria.evans@realtyonegroup.com,(810) 565-3514,M/I Homes,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 49, Volume: $10,888,036",CREAM_RealEstate
Patrick,Castillo,castillo.patrick@redfin.com,(248) 551-1143,Toll Brothers,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 11, Volume: $4,265,396",CREAM_RealEstate
Elizabeth,Castillo,ecastillo@sothebysrealty.com,(937) 549-9702,D.R. Horton,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 7 years, Transactions: 35, Volume: $10,735,825",CREAM_RealEstate
Ashley,Wilson,ashleyw@yahoo.com,(863) 501-2728,Zillow Premier,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 38, Volume: $3,790,303",CREAM_RealEstate
Ryan,Brooks,ryan.brooks@coldwellbanker.com,(440) 705-9194,Sotheby's,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 45, Volume: $4,190,527",CREAM_RealEstate
Larry,Miller,larry4@sothebysrealty.com,(915) 402-1244,Realty One Group,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 24, Volume: $4,601,078",CREAM_RealEstate
Diane,White,dianew@redfin.com,(413) 470-7439,Tri Pointe Homes,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 5 years, Transactions: 49, Volume: $5,937,081",CREAM_RealEstate
Timothy,Morgan,tmorgan@coldwellbanker.com,(910) 257-9938,Vylla Home,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 17, Volume: $11,711,165",CREAM_RealEstate
Donna,Howard,donna59@weichert.com,(606) 855-5601,LGI Homes,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 28, Volume: $14,055,849",CREAM_RealEstate
Kathleen,Collins,collins.kathleen@outlook.com,(781) 471-7244,The Agency,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 8 years, Transactions: 39, Volume: $10,527,391",CREAM_RealEstate
Shirley,Rogers,rogers.shirley@kw.com,(602) 501-1929,Coldwell Banker,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 5, Volume: $747,036",CREAM_RealEstate
Patrick,Lee,plee@homesmart.com,(225) 551-2225,Weichert,Portland,OR,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 11, Volume: $10,784,009",CREAM_RealEstate
