First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Karen,Reed,karenr@berkshirehathawayhs.com,(225) 476-9418,D.R. Horton,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 42, Volume: $6,602,661",CREAM_RealEstate
Catherine,Morales,cmorales@outlook.com,(262) 987-2217,Pulte Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 26, Volume: $11,662,668",CREAM_RealEstate
Daniel,Price,daniel75@compass.com,(816) 522-8568,Realty One Group,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 30, Volume: $10,501,546",CREAM_RealEstate
Shirley,Clark,shirley.clark@hotmail.com,(908) 476-7453,ERA,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $15,678",CREAM_RealEstate
Scott,Lee,slee@century21.com,(442) 486-8849,LGI Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 18, Volume: $9,143,840",CREAM_RealEstate
Shirley,Rodriguez,shirleyr@homesmart.com,(815) 727-1370,The Agency,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 21, Volume: $1,726,177",CREAM_RealEstate
Helen,Perez,helenp@berkshirehathawayhs.com,(731) 925-2719,LGI Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 26, Volume: $6,981,155",CREAM_RealEstate
Angela,Rivera,angela.rivera@realtor.com,(614) 724-5240,Douglas Elliman,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 37, Volume: $14,553,834",CREAM_RealEstate
Carolyn,Sanchez,carolyns@outlook.com,(302) 915-4234,D.R. Horton,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $126,490",CREAM_RealEstate
Benjamin,Campbell,benjamin48@remax.net,(979) 352-9667,Coldwell Banker,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 45, Volume: $7,382,775",CREAM_RealEstate
Karen,Bennett,kbennett@compass.com,(954) 797-9200,Better Homes & Gardens,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 29, Volume: $2,661,315",CREAM_RealEstate
Melissa,James,mjames@coldwellbanker.com,(732) 777-9460,The Agency,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 12, Volume: $9,089,116",CREAM_RealEstate
Jonathan,Cook,jonathan21@coldwellbanker.com,(912) 369-3284,Zillow Premier,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 28, Volume: $5,341,804",CREAM_RealEstate
Paul,Ruiz,paul.ruiz@realtyonegroup.com,(572) 877-2556,Ryan Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 48, Volume: $10,696,566",CREAM_RealEstate
David,Watson,david.watson@realtyonegroup.com,(775) 527-3707,D.R. Horton,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 48, Volume: $12,216,261",CREAM_RealEstate
Dennis,Morales,dennis43@sothebysrealty.com,(409) 720-7761,LGI Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 31, Volume: $7,846,818",CREAM_RealEstate
Amy,Lee,amy.lee@kw.com,(913) 450-2340,Zillow Premier,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 43, Volume: $3,500,461",CREAM_RealEstate
Charles,Torres,charles.torres@sothebysrealty.com,(975) 890-8995,ERA,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 20 years, Transactions: 46, Volume: $10,172,314",CREAM_RealEstate
Jeffrey,Allen,allen.jeffrey@coldwellbanker.com,(478) 755-2892,Toll Brothers,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 37, Volume: $14,373,598",CREAM_RealEstate
Benjamin,Moore,benjamin98@outlook.com,(802) 492-3381,Compass,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 44, Volume: $6,492,401",CREAM_RealEstate
Andrew,Hernandez,hernandez.andrew@hotmail.com,(512) 446-9865,Better Homes & Gardens,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 18 years, Transactions: 44, Volume: $13,025,833",CREAM_RealEstate
Emily,Allen,emily22@weichert.com,(572) 319-7789,LGI Homes,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 34, Volume: $8,114,357",CREAM_RealEstate
William,Torres,williamt@kw.com,(805) 606-9377,Vylla Home,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 28, Volume: $8,079,028",CREAM_RealEstate
Pamela,Sanders,pamela50@kw.com,(813) 892-8553,D.R. Horton,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 32, Volume: $14,842,670",CREAM_RealEstate
Stephen,Martinez,stephenm@century21.com,(445) 212-2425,Compass,Philadelphia,PA,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 29, Volume: $1,926,841",CREAM_RealEstate
