First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Jason,Turner,turner.jason@realtyonegroup.com,(747) 239-3796,Sotheby's,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 13, Volume: $699,731",CREAM_RealEstate
Michelle,Ramirez,michelle.ramirez@compass.com,(985) 771-6904,eXp Realty,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 5, Volume: $20,167",CREAM_RealEstate
Patrick,Torres,patrick.torres@redfin.com,(682) 312-2679,Vylla Home,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 25, Volume: $6,553,146",CREAM_RealEstate
Sarah,Davis,sdavis@outlook.com,(857) 822-6019,Coldwell Banker,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 3 years, Transactions: 11, Volume: $749,981",CREAM_RealEstate
Susan,Cox,susan81@coldwellbanker.com,(501) 964-3699,United Real Estate,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 45, Volume: $8,449,558",CREAM_RealEstate
Charles,Smith,csmith@hotmail.com,(612) 272-5218,Beazer Homes,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 3 years, Transactions: 3, Volume: $1,691,812",CREAM_RealEstate
Katherine,Roberts,katheriner@exprealty.com,(781) 378-8419,Lennar,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 48, Volume: $12,194,780",CREAM_RealEstate
Karen,Davis,karend@sothebysrealty.com,(931) 393-6107,Century 21,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 25, Volume: $6,085,712",CREAM_RealEstate
Frank,Wright,frankw@compass.com,(978) 926-1253,Vylla Home,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 12 years, Transactions: 16, Volume: $7,621,900",CREAM_RealEstate
Barbara,Garcia,barbara69@berkshirehathawayhs.com,(212) 841-3054,Century 21,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 21, Volume: $10,948,831",CREAM_RealEstate
Timothy,Cruz,tcruz@coldwellbanker.com,(912) 204-5690,Taylor Morrison,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 0 years, Transactions: 5, Volume: $244,140",CREAM_RealEstate
Amy,Hughes,amyh@exprealty.com,(818) 502-7960,Nest Seekers,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 50, Volume: $10,243,845",CREAM_RealEstate
Mary,Evans,mary40@century21.com,(253) 786-7246,Compass,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 11, Volume: $9,517,082",CREAM_RealEstate
Daniel,Kelly,kelly.daniel@remax.net,(409) 208-5269,Beazer Homes,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 48, Volume: $3,773,499",CREAM_RealEstate
Steven,Lee,steven.lee@realtyonegroup.com,(712) 914-7318,Ryan Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 0 years, Transactions: 2, Volume: $25,402",CREAM_RealEstate
Ronald,Ortiz,rortiz@coldwellbanker.com,(580) 346-1234,ERA,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 49, Volume: $11,584,143",CREAM_RealEstate
Deborah,Jackson,jackson.deborah@coldwellbanker.com,(725) 968-2707,Taylor Morrison,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 20, Volume: $6,216,673",CREAM_RealEstate
Brian,Taylor,brian98@berkshirehathawayhs.com,(858) 359-4359,Ryan Homes,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 13 years, Transactions: 42, Volume: $2,471,601",CREAM_RealEstate
Christine,Williams,christine39@weichert.com,(754) 597-5015,Redfin,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 9 years, Transactions: 32, Volume: $5,278,365",CREAM_RealEstate
Michael,Thompson,michael61@compass.com,(609) 913-4752,NVR,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 40, Volume: $2,009,913",CREAM_RealEstate
Thomas,Harris,harris.thomas@hotmail.com,(831) 730-8912,Toll Brothers,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 7 years, Transactions: 31, Volume: $8,055,211",CREAM_RealEstate
Benjamin,Parker,parker.benjamin@kw.com,(212) 969-2264,Keller Williams,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 17, Volume: $6,398,217",CREAM_RealEstate
Lisa,Young,young.lisa@century21.com,(660) 366-6886,Coldwell Banker,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 38, Volume: $13,146,767",CREAM_RealEstate
Jessica,Diaz,jessica26@realtyonegroup.com,(551) 822-1624,Better Homes & Gardens,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 15, Volume: $10,447,884",CREAM_RealEstate
Charles,Harris,charlesh@compass.com,(609) 838-4653,Toll Brothers,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 23 years, Transactions: 20, Volume: $10,944,607",CREAM_RealEstate
Mark,Carter,carter.mark@compass.com,(701) 249-5744,United Real Estate,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 29, Volume: $14,356,021",CREAM_RealEstate
Raymond,Howard,raymond.howard@exprealty.com,(678) 230-7961,Beazer Homes,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 7 years, Transactions: 25, Volume: $12,575,492",CREAM_RealEstate
Linda,Castillo,castillo.linda@realtor.com,(985) 203-6962,The Agency,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 13, Volume: $12,911,886",CREAM_RealEstate
Anthony,Perez,anthonyp@realtor.com,(812) 218-7834,Meritage Homes,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 45, Volume: $13,907,805",CREAM_RealEstate
George,James,james.george@elliman.com,(469) 327-7587,Coldwell Banker,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 43, Volume: $14,960,713",CREAM_RealEstate
Jonathan,Hernandez,hernandez.jonathan@kw.com,(863) 236-5174,ERA,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 11, Volume: $5,695,210",CREAM_RealEstate
John,Robinson,john.robinson@kw.com,(940) 228-9666,Zillow Premier,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 22, Volume: $11,466,121",CREAM_RealEstate
Jack,Mendoza,jmendoza@berkshirehathawayhs.com,(859) 955-6997,HomeSmart,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 45, Volume: $6,156,336",CREAM_RealEstate
Rachel,Richardson,rrichardson@hotmail.com,(251) 511-9738,eXp Realty,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 5 years, Transactions: 29, Volume: $11,838,219",CREAM_RealEstate
Ronald,Peterson,ronald80@remax.net,(360) 821-1053,Beazer Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 24, Volume: $13,300,458",CREAM_RealEstate
Patrick,Hill,patrick41@realtyonegroup.com,(361) 994-8300,Century 21,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 31, Volume: $9,709,326",CREAM_RealEstate
Anthony,Hughes,anthonyh@kw.com,(504) 507-4762,Realty One Group,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 9 years, Transactions: 11, Volume: $11,926,632",CREAM_RealEstate
Emma,Moore,emma78@gmail.com,(715) 729-8434,Pulte Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 24 years, Transactions: 50, Volume: $14,721,963",CREAM_RealEstate
Larry,Martin,larry.martin@kw.com,(906) 393-2838,Zillow Premier,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 16, Volume: $8,680,354",CREAM_RealEstate
Timothy,Hall,timothyh@gmail.com,(862) 560-2800,Weichert,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 48, Volume: $2,132,936",CREAM_RealEstate
Tyler,Rogers,tyler27@realtor.com,(747) 503-8253,Ryan Homes,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 37, Volume: $12,735,480",CREAM_RealEstate
Nancy,Myers,nancy.myers@redfin.com,(772) 392-6015,Douglas Elliman,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 4 years, Transactions: 12, Volume: $1,687,818",CREAM_RealEstate
Joshua,Torres,joshua.torres@realtor.com,(262) 229-6894,eXp Realty,Austin,TX,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 26, Volume: $2,010,349",CREAM_RealEstate
Donald,Flores,donald13@redfin.com,(281) 508-8717,RE/MAX,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 47, Volume: $6,347,088",CREAM_RealEstate
Daniel,Cruz,daniel87@gmail.com,(307) 392-9015,M/I Homes,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 11, Volume: $10,634,011",CREAM_RealEstate
Jeffrey,Lee,jlee@century21.com,(351) 484-2642,D.R. Horton,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 19 years, Transactions: 34, Volume: $11,019,349",CREAM_RealEstate
Larry,Alvarez,larrya@elliman.com,(785) 812-2494,Beazer Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 21 years, Transactions: 12, Volume: $14,910,827",CREAM_RealEstate
Angela,Sanchez,angelas@compass.com,(234) 286-1696,Better Homes & Gardens,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 17 years, Transactions: 25, Volume: $1,864,392",CREAM_RealEstate
Nicole,Martinez,nicolem@century21.com,(814) 933-2534,CalAtlantic Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 3 years, Transactions: 6, Volume: $977,604",CREAM_RealEstate
Dennis,Anderson,anderson.dennis@outlook.com,(331) 660-7659,Redfin,Dallas-Fort Worth,TX,"Priority_A, CREAM, RealEstate","Experience: 16 years, Transactions: 32, Volume: $11,397,152",CREAM_RealEstate
Charles,Jackson,cjackson@elliman.com,(445) 720-2690,HomeSmart,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 21 years, Transactions: 43, Volume: $2,886,701",CREAM_RealEstate
Linda,Long,long.linda@gmail.com,(469) 212-2129,Tri Pointe Homes,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 11 years, Transactions: 22, Volume: $3,623,408",CREAM_RealEstate
Kimberly,Kim,kkim@yahoo.com,(408) 778-6755,NVR,Houston,TX,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 35, Volume: $14,491,402",CREAM_RealEstate
Edward,Allen,edward57@elliman.com,(325) 780-8284,Toll Brothers,San Antonio,TX,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 42, Volume: $6,396,210",CREAM_RealEstate
