First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Christopher,Wright,wright.christopher@gmail.com,(856) 226-6159,NVR,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 28, Volume: $11,250,300",CREAM_RealEstate
Robert,Castillo,robert27@homesmart.com,(908) 466-5858,Tri Pointe Homes,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 45, Volume: $4,054,591",CREAM_RealEstate
Rebecca,Johnson,rebecca9@yahoo.com,(518) 397-7156,Douglas Elliman,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 14, Volume: $1,917,578",CREAM_RealEstate
Gregory,Reed,gregory.reed@homesmart.com,(231) 774-9820,Ryan Homes,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 13 years, Transactions: 37, Volume: $3,456,155",CREAM_RealEstate
Samuel,Chavez,samuel.chavez@elliman.com,(274) 214-9483,Nest Seekers,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 20 years, Transactions: 28, Volume: $6,188,492",CREAM_RealEstate
Jonathan,Roberts,roberts.jonathan@redfin.com,(351) 652-9679,Vylla Home,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 17 years, Transactions: 30, Volume: $1,568,076",CREAM_RealEstate
Samantha,Martin,samantha25@compass.com,(601) 439-4962,Keller Williams,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 15 years, Transactions: 23, Volume: $10,367,725",CREAM_RealEstate
John,Ward,john84@redfin.com,(220) 703-4942,The Agency,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 3 years, Transactions: 5, Volume: $1,356,048",CREAM_RealEstate
Joshua,Lewis,joshua69@realtor.com,(708) 258-9553,Redfin,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 14 years, Transactions: 16, Volume: $7,277,943",CREAM_RealEstate
Jessica,Stewart,jessicas@coldwellbanker.com,(845) 231-1994,Toll Brothers,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 35, Volume: $9,070,074",CREAM_RealEstate
Brian,Lopez,brianl@homesmart.com,(507) 804-9896,Toll Brothers,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 2 years, Transactions: 14, Volume: $1,155,549",CREAM_RealEstate
Karen,Ramos,karen14@redfin.com,(928) 809-6391,The Agency,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 6 years, Transactions: 20, Volume: $8,325,678",CREAM_RealEstate
Karen,Carter,karen.carter@exprealty.com,(281) 725-8923,Pulte Homes,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 16 years, Transactions: 16, Volume: $13,069,847",CREAM_RealEstate
Susan,Wilson,wilson.susan@remax.net,(864) 818-7650,Ryan Homes,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 30, Volume: $4,671,307",CREAM_RealEstate
Mary,Brooks,mary78@outlook.com,(313) 441-7338,Toll Brothers,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 4 years, Transactions: 7, Volume: $893,730",CREAM_RealEstate
Sharon,Brooks,sbrooks@remax.net,(623) 349-2099,The Agency,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 18 years, Transactions: 30, Volume: $2,332,882",CREAM_RealEstate
Andrew,Cox,andrewc@hotmail.com,(503) 338-2785,Meritage Homes,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 1 years, Transactions: 4, Volume: $457,043",CREAM_RealEstate
Anna,Wright,anna11@realtyonegroup.com,(909) 295-4121,Berkshire Hathaway,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 22 years, Transactions: 35, Volume: $14,477,090",CREAM_RealEstate
Betty,Reyes,breyes@hotmail.com,(737) 413-7657,Taylor Morrison,Salt Lake City,UT,"Priority_B, CREAM, RealEstate","Experience: 10 years, Transactions: 33, Volume: $14,639,511",CREAM_RealEstate
