First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Eric,Price,eric43@weichert.com,(802) 793-7580,RE/MAX,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $58,602",CREAM_RealEstate
Patrick,Phillips,patrickp@remax.net,(440) 443-3267,Nest Seekers,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 48, Volume: $12,316,310",CREAM_RealEstate
Aaron,Garcia,agarcia@berkshirehathawayhs.com,(575) 750-1061,NVR,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 39, Volume: $8,553,579",CREAM_RealEstate
Daniel,Young,daniel.young@redfin.com,(303) 397-6777,M/I Homes,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 42, Volume: $8,950,474",CREAM_RealEstate
Michael,Harris,harris.michael@homesmart.com,(206) 265-3298,Weichert,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 34, Volume: $8,566,023",CREAM_RealEstate
Paul,Wright,wright.paul@berkshirehathawayhs.com,(513) 342-8436,Keller Williams,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 22, Volume: $2,012,927",CREAM_RealEstate
Heather,Ward,hward@outlook.com,(220) 550-6457,RE/MAX,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 32, Volume: $14,547,453",CREAM_RealEstate
Lisa,Turner,lturner@kw.com,(314) 285-4067,Realty One Group,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 25 years, Transactions: 11, Volume: $3,171,688",CREAM_RealEstate
Sarah,Long,sarah.long@elliman.com,(615) 363-6439,Pulte Homes,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 14 years, Transactions: 15, Volume: $9,911,454",CREAM_RealEstate
Ashley,Reyes,areyes@elliman.com,(443) 995-9285,Century 21,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 22 years, Transactions: 20, Volume: $4,480,151",CREAM_RealEstate
Angela,Peterson,angela.peterson@remax.net,(708) 485-1666,Keller Williams,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 15 years, Transactions: 38, Volume: $5,465,353",CREAM_RealEstate
Ashley,Thomas,ashley94@elliman.com,(401) 777-7146,Pulte Homes,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 33, Volume: $7,820,383",CREAM_RealEstate
Samantha,Lee,lee.samantha@homesmart.com,(605) 520-8562,Better Homes & Gardens,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 1 years, Transactions: 0, Volume: $56,799",CREAM_RealEstate
Kathleen,Hughes,hughes.kathleen@century21.com,(475) 588-2878,M/I Homes,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 4 years, Transactions: 5, Volume: $919,898",CREAM_RealEstate
Nicholas,Mendoza,nicholasm@sothebysrealty.com,(973) 872-3499,Pulte Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 38, Volume: $2,744,886",CREAM_RealEstate
Emma,Scott,emmas@hotmail.com,(970) 297-5938,HomeSmart,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 6 years, Transactions: 18, Volume: $11,340,706",CREAM_RealEstate
Michael,Alvarez,michael.alvarez@realtyonegroup.com,(413) 257-6155,Pulte Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 14, Volume: $5,464,001",CREAM_RealEstate
Scott,Diaz,diaz.scott@berkshirehathawayhs.com,(864) 639-2426,Nest Seekers,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 15 years, Transactions: 21, Volume: $7,746,126",CREAM_RealEstate
Lisa,Clark,lclark@coldwellbanker.com,(301) 511-4101,eXp Realty,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 22 years, Transactions: 42, Volume: $11,040,734",CREAM_RealEstate
Samuel,Carter,samuel.carter@berkshirehathawayhs.com,(732) 651-4402,Zillow Premier,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 42, Volume: $2,678,592",CREAM_RealEstate
Stephen,Parker,stephen86@compass.com,(762) 221-2545,Sotheby's,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 3, Volume: $70,216",CREAM_RealEstate
Mary,Collins,maryc@realtyonegroup.com,(959) 339-7865,CalAtlantic Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 3 years, Transactions: 14, Volume: $1,868,565",CREAM_RealEstate
Ryan,Miller,ryanm@redfin.com,(712) 290-7050,Keller Williams,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 0 years, Transactions: 1, Volume: $353",CREAM_RealEstate
Gregory,Richardson,grichardson@remax.net,(830) 990-8890,Redfin,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 49, Volume: $9,633,208",CREAM_RealEstate
Jerry,Hill,hill.jerry@homesmart.com,(762) 325-4877,Century Communities,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 28, Volume: $10,874,837",CREAM_RealEstate
Michelle,Flores,michellef@redfin.com,(314) 582-6582,Compass,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 19, Volume: $11,610,812",CREAM_RealEstate
David,Lee,dlee@remax.net,(629) 415-5891,Taylor Morrison,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 16, Volume: $2,351,522",CREAM_RealEstate
Ronald,Nelson,ronaldn@realtyonegroup.com,(225) 845-3512,Vylla Home,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 23, Volume: $9,846,696",CREAM_RealEstate
Mary,Miller,marym@kw.com,(410) 863-3970,Lennar,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 49, Volume: $4,682,818",CREAM_RealEstate
Patrick,Ramos,patrickr@hotmail.com,(714) 916-3129,Nest Seekers,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 45, Volume: $2,303,609",CREAM_RealEstate
Jennifer,Reyes,jreyes@kw.com,(650) 400-8135,LGI Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 22 years, Transactions: 34, Volume: $10,005,267",CREAM_RealEstate
Raymond,Clark,clark.raymond@coldwellbanker.com,(502) 626-4563,M/I Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 24, Volume: $5,191,821",CREAM_RealEstate
Barbara,Lee,barbaral@coldwellbanker.com,(307) 647-2525,United Real Estate,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 17 years, Transactions: 44, Volume: $6,820,613",CREAM_RealEstate
Amanda,Kim,amanda90@berkshirehathawayhs.com,(432) 527-2209,Taylor Morrison,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 11 years, Transactions: 34, Volume: $3,741,440",CREAM_RealEstate
Diane,Brooks,diane.brooks@remax.net,(351) 692-1902,Douglas Elliman,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 38, Volume: $6,831,751",CREAM_RealEstate
William,Ruiz,williamr@berkshirehathawayhs.com,(629) 460-6783,Better Homes & Gardens,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 16, Volume: $8,744,863",CREAM_RealEstate
Jeffrey,Ward,jeffrey48@sothebysrealty.com,(956) 835-2736,LGI Homes,Virginia Beach,VA,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 17, Volume: $4,807,579",CREAM_RealEstate
Raymond,Smith,raymond.smith@elliman.com,(408) 664-8733,Lennar,Richmond,VA,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 14, Volume: $8,947,473",CREAM_RealEstate
