First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Carol,Turner,carolt@gmail.com,(214) 485-7324,CalAtlantic Homes,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 48, Volume: $12,637,497",CREAM_RealEstate
Eric,James,james.eric@homesmart.com,(762) 561-3958,Realty One Group,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 11 years, Transactions: 25, Volume: $7,861,897",CREAM_RealEstate
Brenda,Cruz,brendac@realtyonegroup.com,(432) 587-3967,Ryan Homes,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 22 years, Transactions: 39, Volume: $6,980,656",CREAM_RealEstate
Laura,Harris,laura.harris@compass.com,(843) 676-1612,Realty One Group,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 11, Volume: $1,957,550",CREAM_RealEstate
Betty,Hall,betty.hall@century21.com,(786) 571-8255,Zillow Premier,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 48, Volume: $5,094,672",CREAM_RealEstate
Rachel,Kim,rkim@exprealty.com,(636) 870-1527,Better Homes & Gardens,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 31, Volume: $11,870,504",CREAM_RealEstate
David,Bennett,dbennett@homesmart.com,(520) 676-8695,Ryan Homes,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 17, Volume: $12,475,663",CREAM_RealEstate
Justin,Rodriguez,rodriguez.justin@weichert.com,(215) 362-7052,Zillow Premier,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 10 years, Transactions: 12, Volume: $10,689,034",CREAM_RealEstate
Daniel,Johnson,djohnson@kw.com,(925) 283-4807,CalAtlantic Homes,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 25 years, Transactions: 34, Volume: $3,925,441",CREAM_RealEstate
Sharon,Anderson,sharona@homesmart.com,(559) 529-7090,Compass,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 6 years, Transactions: 36, Volume: $10,030,827",CREAM_RealEstate
Helen,Brown,brown.helen@century21.com,(904) 228-8875,Redfin,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 24 years, Transactions: 43, Volume: $11,402,111",CREAM_RealEstate
Sharon,Howard,howard.sharon@weichert.com,(872) 223-5938,Better Homes & Gardens,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 23 years, Transactions: 29, Volume: $4,682,841",CREAM_RealEstate
Katherine,Sanchez,sanchez.katherine@gmail.com,(910) 780-2127,Lennar,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 14 years, Transactions: 16, Volume: $6,592,722",CREAM_RealEstate
Jonathan,Mendoza,mendoza.jonathan@sothebysrealty.com,(361) 342-4265,Vylla Home,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 8 years, Transactions: 46, Volume: $10,613,246",CREAM_RealEstate
Jennifer,Morales,morales.jennifer@homesmart.com,(971) 612-7519,Lennar,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 3, Volume: $415,644",CREAM_RealEstate
Brandon,Walker,bwalker@redfin.com,(650) 218-8937,Toll Brothers,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 21 years, Transactions: 48, Volume: $9,054,060",CREAM_RealEstate
Timothy,Sanchez,tsanchez@berkshirehathawayhs.com,(601) 872-8976,NVR,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 1 years, Transactions: 4, Volume: $460,678",CREAM_RealEstate
Patricia,Rogers,patricia.rogers@hotmail.com,(850) 454-2302,Realty One Group,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 15 years, Transactions: 33, Volume: $6,129,412",CREAM_RealEstate
Amy,Williams,amyw@remax.net,(303) 501-3852,NVR,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 2 years, Transactions: 5, Volume: $982,099",CREAM_RealEstate
Patricia,Chavez,patriciac@yahoo.com,(707) 603-9468,ERA,Seattle,WA,"Priority_A, CREAM, RealEstate","Experience: 12 years, Transactions: 47, Volume: $2,440,437",CREAM_RealEstate
