First Name,Last Name,Email,Phone,Company,City,State,Tags,Notes,Source
Carol,Nelson,carol76@realtyonegroup.com,(513) 390-4111,Ryan Homes,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 15 years, Transactions: 40, Volume: $8,526,591",CREAM_RealEstate
Katherine,Morales,katherinem@redfin.com,(623) 699-2537,eXp Realty,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 36, Volume: $11,925,245",CREAM_RealEstate
Karen,Miller,karenm@kw.com,(210) 286-1589,CalAtlantic Homes,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 12 years, Transactions: 45, Volume: $7,669,911",CREAM_RealEstate
David,Ward,david.ward@yahoo.com,(434) 439-3851,Beazer Homes,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 34, Volume: $4,673,399",CREAM_RealEstate
Helen,Nguyen,helen2@remax.net,(563) 981-6757,Century 21,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 21 years, Transactions: 50, Volume: $14,279,224",CREAM_RealEstate
Diane,Cooper,cooper.diane@sothebysrealty.com,(928) 408-6582,United Real Estate,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 13 years, Transactions: 22, Volume: $13,320,672",CREAM_RealEstate
Helen,Martin,helen.martin@outlook.com,(971) 702-4316,Sotheby's,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 2 years, Transactions: 14, Volume: $1,796,698",CREAM_RealEstate
Jeffrey,Ross,ross.jeffrey@elliman.com,(572) 557-3964,Weichert,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 19 years, Transactions: 33, Volume: $12,165,471",CREAM_RealEstate
Donald,Mitchell,donald25@realtor.com,(414) 937-4705,Compass,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 18 years, Transactions: 33, Volume: $3,756,184",CREAM_RealEstate
Helen,Sanchez,helen16@gmail.com,(234) 419-1945,Vylla Home,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 36, Volume: $4,354,309",CREAM_RealEstate
Jessica,Gray,jessica72@exprealty.com,(763) 205-8264,ERA,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 11 years, Transactions: 28, Volume: $1,745,295",CREAM_RealEstate
Richard,Morris,richardm@compass.com,(913) 665-3566,eXp Realty,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 25 years, Transactions: 21, Volume: $11,902,528",CREAM_RealEstate
Kevin,Lopez,kevin.lopez@berkshirehathawayhs.com,(517) 531-1433,The Agency,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 24 years, Transactions: 20, Volume: $11,744,646",CREAM_RealEstate
Anna,Howard,anna.howard@berkshirehathawayhs.com,(952) 967-2898,Coldwell Banker,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 9 years, Transactions: 35, Volume: $8,437,368",CREAM_RealEstate
Brandon,Reed,brandon.reed@outlook.com,(206) 638-2900,Taylor Morrison,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 7 years, Transactions: 18, Volume: $14,930,995",CREAM_RealEstate
Karen,Kelly,karenk@remax.net,(918) 861-6930,CalAtlantic Homes,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 23 years, Transactions: 45, Volume: $2,628,757",CREAM_RealEstate
Emma,Harris,harris.emma@berkshirehathawayhs.com,(478) 968-2245,United Real Estate,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 5 years, Transactions: 39, Volume: $2,692,411",CREAM_RealEstate
Linda,Evans,levans@compass.com,(978) 975-7384,Meritage Homes,Milwaukee,WI,"Priority_C, CREAM, RealEstate","Experience: 16 years, Transactions: 27, Volume: $9,640,577",CREAM_RealEstate
