First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Thomas,Garcia,thomas.garcia@example.com,+1 (328) 770-6452,Garcia Education,Little Rock,Pulaski County,AR,US,91917,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
James,Garcia,james.garcia@example.com,+1 (521) 780-5986,Garcia Construction,Little Rock,Pulaski County,AR,US,38461,"County_Lead, Construction","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Susan,Miller,susan.miller@example.com,+1 (628) 726-3268,Miller Finance,Little Rock,Pulaski County,AR,US,13014,"County_Lead, Finance","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Sarah,Garcia,sarah.garcia@example.com,+1 (283) 972-3725,Garcia Professional Services,Little Rock,Pulaski County,AR,US,93461,"County_Lead, Professional Services","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (576) 786-1158,Rodriguez Education,Little Rock,Pulaski County,AR,US,53710,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Jennifer,Smith,jennifer.smith@example.com,+1 (489) 954-4246,Smith Education,Little Rock,Pulaski County,AR,US,92975,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Susan,Johnson,susan.johnson@example.com,+1 (601) 327-9336,Johnson Hospitality,Little Rock,Pulaski County,AR,US,55615,"County_Lead, Hospitality","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
James,Davis,james.davis@example.com,+1 (792) 603-4482,Davis Real Estate,Little Rock,Pulaski County,AR,US,94855,"County_Lead, Real Estate","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
John,Jones,john.jones@example.com,+1 (641) 889-5126,Jones Professional Services,Little Rock,Pulaski County,AR,US,76979,"County_Lead, Professional Services","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
Mary,Williams,mary.williams@example.com,+1 (959) 842-5671,Williams Finance,Little Rock,Pulaski County,AR,US,35880,"County_Lead, Finance","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper
