First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Patricia,Garcia,patricia.garcia@example.com,+1 (540) 488-2803,Garcia Healthcare,Long Beach,Los Angeles County,CA,US,48370,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
John,Brown,john.brown@example.com,+1 (553) 339-1410,Brown Healthcare,Long Beach,Los Angeles County,CA,US,15735,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Joseph,Garcia,joseph.garcia@example.com,+1 (877) 245-2403,Garcia Construction,Los Angeles,Los Angeles County,CA,US,56381,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Mary,Smith,mary.smith@example.com,+1 (760) 345-8915,Smith Education,Los Angeles,Los Angeles County,CA,US,72106,"County_Lead, Education","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
David,Jones,david.jones@example.com,+1 (763) 136-5383,Jones Finance,Long Beach,Los Angeles County,CA,US,50734,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Elizabeth,Rodriguez,elizabeth.rodriguez@example.com,+1 (639) 936-7375,Rodriguez Construction,Santa Clarita,Los Angeles County,CA,US,73701,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (912) 411-9636,Miller Retail,Glendale,Los Angeles County,CA,US,85874,"County_Lead, Retail","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Charles,Miller,charles.miller@example.com,+1 (435) 732-2052,Miller Finance,Santa Clarita,Los Angeles County,CA,US,99058,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Linda,Johnson,linda.johnson@example.com,+1 (706) 975-4843,Johnson Real Estate,Long Beach,Los Angeles County,CA,US,23057,"County_Lead, Real Estate","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Thomas,Smith,thomas.smith@example.com,+1 (897) 566-3798,Smith Manufacturing,Long Beach,Los Angeles County,CA,US,37417,"County_Lead, Manufacturing","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (652) 325-3505,Williams Construction,San Diego,San Diego County,CA,US,26939,"County_Lead, Construction","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Richard,Jones,richard.jones@example.com,+1 (898) 564-7218,Jones Technology,San Diego,San Diego County,CA,US,59048,"County_Lead, Technology","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Susan,Martinez,susan.martinez@example.com,+1 (448) 796-3930,Martinez Manufacturing,Chula Vista,San Diego County,CA,US,17387,"County_Lead, Manufacturing","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Sarah,Brown,sarah.brown@example.com,+1 (669) 473-1812,Brown Retail,Oceanside,San Diego County,CA,US,17880,"County_Lead, Retail","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Richard,Johnson,richard.johnson@example.com,+1 (946) 637-7101,Johnson Education,San Diego,San Diego County,CA,US,96872,"County_Lead, Education","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (298) 310-1105,Martinez Manufacturing,Oceanside,San Diego County,CA,US,35999,"County_Lead, Manufacturing","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Patricia,Martinez,patricia.martinez@example.com,+1 (766) 676-1750,Martinez Technology,Oceanside,San Diego County,CA,US,94832,"County_Lead, Technology","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Thomas,Smith,thomas.smith@example.com,+1 (586) 308-5885,Smith Finance,Oceanside,San Diego County,CA,US,50207,"County_Lead, Finance","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Barbara,Garcia,barbara.garcia@example.com,+1 (659) 190-8239,Garcia Healthcare,Oceanside,San Diego County,CA,US,66193,"County_Lead, Healthcare","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Robert,Smith,robert.smith@example.com,+1 (335) 755-7429,Smith Professional Services,Escondido,San Diego County,CA,US,66651,"County_Lead, Professional Services","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Jessica,Davis,jessica.davis@example.com,+1 (726) 385-7672,Davis Healthcare,Irvine,Orange County,CA,US,86277,"County_Lead, Healthcare","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
William,Jones,william.jones@example.com,+1 (506) 159-2814,Jones Construction,Santa Ana,Orange County,CA,US,13884,"County_Lead, Construction","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (581) 876-6140,Rodriguez Technology,Huntington Beach,Orange County,CA,US,97206,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (662) 435-8220,Garcia Retail,Irvine,Orange County,CA,US,84568,"County_Lead, Retail","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
David,Rodriguez,david.rodriguez@example.com,+1 (925) 106-7881,Rodriguez Technology,Santa Ana,Orange County,CA,US,11381,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Susan,Williams,susan.williams@example.com,+1 (892) 130-4330,Williams Real Estate,Irvine,Orange County,CA,US,31582,"County_Lead, Real Estate","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Patricia,Garcia,patricia.garcia@example.com,+1 (838) 172-3178,Garcia Healthcare,Huntington Beach,Orange County,CA,US,32501,"County_Lead, Healthcare","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Patricia,Jones,patricia.jones@example.com,+1 (370) 495-6727,Jones Manufacturing,Anaheim,Orange County,CA,US,88474,"County_Lead, Manufacturing","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Charles,Miller,charles.miller@example.com,+1 (612) 511-7627,Miller Hospitality,Santa Ana,Orange County,CA,US,59667,"County_Lead, Hospitality","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Mary,Smith,mary.smith@example.com,+1 (334) 442-9173,Smith Technology,Irvine,Orange County,CA,US,81444,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (999) 525-6033,Brown Construction,San Bernardino,Riverside County,CA,US,67516,"County_Lead, Construction","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Susan,Martinez,susan.martinez@example.com,+1 (671) 947-9058,Martinez Real Estate,Moreno Valley,Riverside County,CA,US,53081,"County_Lead, Real Estate","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (712) 794-4066,Garcia Real Estate,Moreno Valley,Riverside County,CA,US,83074,"County_Lead, Real Estate","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Karen,Davis,karen.davis@example.com,+1 (816) 781-8923,Davis Healthcare,Riverside,Riverside County,CA,US,78627,"County_Lead, Healthcare","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Richard,Miller,richard.miller@example.com,+1 (586) 776-5382,Miller Education,San Bernardino,Riverside County,CA,US,20003,"County_Lead, Education","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Michael,Rodriguez,michael.rodriguez@example.com,+1 (856) 756-1670,Rodriguez Healthcare,Riverside,Riverside County,CA,US,87132,"County_Lead, Healthcare","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (578) 448-4978,Rodriguez Construction,Riverside,Riverside County,CA,US,79610,"County_Lead, Construction","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
David,Davis,david.davis@example.com,+1 (240) 212-3502,Davis Education,San Bernardino,Riverside County,CA,US,76884,"County_Lead, Education","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Susan,Rodriguez,susan.rodriguez@example.com,+1 (369) 682-9802,Rodriguez Professional Services,Moreno Valley,Riverside County,CA,US,48218,"County_Lead, Professional Services","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Michael,Johnson,michael.johnson@example.com,+1 (460) 476-7309,Johnson Manufacturing,Riverside,Riverside County,CA,US,98337,"County_Lead, Manufacturing","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
William,Williams,william.williams@example.com,+1 (891) 284-7946,Williams Technology,Fontana,San Bernardino County,CA,US,16879,"County_Lead, Technology","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Karen,Johnson,karen.johnson@example.com,+1 (237) 995-6753,Johnson Education,San Bernardino,San Bernardino County,CA,US,99360,"County_Lead, Education","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
James,Rodriguez,james.rodriguez@example.com,+1 (531) 137-2548,Rodriguez Finance,Ontario,San Bernardino County,CA,US,91463,"County_Lead, Finance","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Richard,Williams,richard.williams@example.com,+1 (703) 555-5234,Williams Real Estate,Fontana,San Bernardino County,CA,US,79489,"County_Lead, Real Estate","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (391) 625-7058,Martinez Professional Services,San Bernardino,San Bernardino County,CA,US,40377,"County_Lead, Professional Services","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Barbara,Davis,barbara.davis@example.com,+1 (648) 696-2132,Davis Construction,San Bernardino,San Bernardino County,CA,US,74684,"County_Lead, Construction","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Robert,Garcia,robert.garcia@example.com,+1 (949) 834-1013,Garcia Technology,San Bernardino,San Bernardino County,CA,US,73116,"County_Lead, Technology","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Jennifer,Rodriguez,jennifer.rodriguez@example.com,+1 (294) 597-6359,Rodriguez Retail,Ontario,San Bernardino County,CA,US,39578,"County_Lead, Retail","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Michael,Smith,michael.smith@example.com,+1 (759) 969-1932,Smith Professional Services,San Bernardino,San Bernardino County,CA,US,12874,"County_Lead, Professional Services","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (637) 724-8291,Williams Retail,San Bernardino,San Bernardino County,CA,US,35981,"County_Lead, Retail","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
James,Jones,james.jones@example.com,+1 (521) 809-5452,Jones Healthcare,San Jose,Santa Clara County,CA,US,22995,"County_Lead, Healthcare","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (947) 590-2090,Brown Healthcare,San Jose,Santa Clara County,CA,US,79888,"County_Lead, Healthcare","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Thomas,Brown,thomas.brown@example.com,+1 (455) 767-2457,Brown Education,Mountain View,Santa Clara County,CA,US,56139,"County_Lead, Education","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (236) 186-8279,Garcia Finance,San Jose,Santa Clara County,CA,US,26826,"County_Lead, Finance","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Sarah,Rodriguez,sarah.rodriguez@example.com,+1 (869) 352-8772,Rodriguez Real Estate,Sunnyvale,Santa Clara County,CA,US,28380,"County_Lead, Real Estate","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (393) 944-9726,Smith Manufacturing,Santa Clara,Santa Clara County,CA,US,12128,"County_Lead, Manufacturing","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Linda,Davis,linda.davis@example.com,+1 (867) 529-2993,Davis Retail,Sunnyvale,Santa Clara County,CA,US,24744,"County_Lead, Retail","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Barbara,Williams,barbara.williams@example.com,+1 (630) 252-3144,Williams Hospitality,Santa Clara,Santa Clara County,CA,US,10335,"County_Lead, Hospitality","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Joseph,Jones,joseph.jones@example.com,+1 (293) 360-7198,Jones Education,San Jose,Santa Clara County,CA,US,16658,"County_Lead, Education","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Linda,Williams,linda.williams@example.com,+1 (712) 107-7085,Williams Technology,Sunnyvale,Santa Clara County,CA,US,57410,"County_Lead, Technology","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Jennifer,Johnson,jennifer.johnson@example.com,+1 (469) 381-4988,Johnson Hospitality,Berkeley,Alameda County,CA,US,93494,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (366) 854-9478,Smith Technology,Hayward,Alameda County,CA,US,75904,"County_Lead, Technology","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Linda,Garcia,linda.garcia@example.com,+1 (244) 470-9405,Garcia Real Estate,Oakland,Alameda County,CA,US,89433,"County_Lead, Real Estate","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
David,Williams,david.williams@example.com,+1 (505) 288-2435,Williams Hospitality,Hayward,Alameda County,CA,US,34807,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (289) 270-1924,Williams Healthcare,Fremont,Alameda County,CA,US,78396,"County_Lead, Healthcare","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Patricia,Williams,patricia.williams@example.com,+1 (392) 397-2881,Williams Healthcare,Fremont,Alameda County,CA,US,47634,"County_Lead, Healthcare","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Barbara,Johnson,barbara.johnson@example.com,+1 (832) 124-1095,Johnson Hospitality,Oakland,Alameda County,CA,US,65819,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (573) 233-9291,Davis Retail,Berkeley,Alameda County,CA,US,28753,"County_Lead, Retail","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
John,Miller,john.miller@example.com,+1 (838) 391-3830,Miller Finance,Oakland,Alameda County,CA,US,94874,"County_Lead, Finance","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Elizabeth,Garcia,elizabeth.garcia@example.com,+1 (222) 989-6124,Garcia Professional Services,Fremont,Alameda County,CA,US,76240,"County_Lead, Professional Services","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
William,Davis,william.davis@example.com,+1 (311) 380-3971,Davis Real Estate,Sacramento,Sacramento County,CA,US,55966,"County_Lead, Real Estate","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Jessica,Garcia,jessica.garcia@example.com,+1 (515) 827-2626,Garcia Healthcare,Sacramento,Sacramento County,CA,US,62509,"County_Lead, Healthcare","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Richard,Garcia,richard.garcia@example.com,+1 (994) 989-9888,Garcia Retail,Elk Grove,Sacramento County,CA,US,39054,"County_Lead, Retail","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (753) 375-6181,Miller Retail,Sacramento,Sacramento County,CA,US,86352,"County_Lead, Retail","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (646) 825-2022,Brown Construction,Elk Grove,Sacramento County,CA,US,55613,"County_Lead, Construction","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (241) 987-5623,Martinez Manufacturing,Elk Grove,Sacramento County,CA,US,13943,"County_Lead, Manufacturing","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (772) 631-2165,Davis Construction,Elk Grove,Sacramento County,CA,US,95001,"County_Lead, Construction","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
