First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Susan,Rodriguez,susan.rodriguez@example.com,+1 (239) 132-1000,Rodriguez Finance,Stamford,Fairfield County,CT,US,75900,"County_Lead, Finance","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Thomas,Johnson,thomas.johnson@example.com,+1 (661) 375-3060,Johnson Hospitality,Bridgeport,Fairfield County,CT,US,67843,"County_Lead, Hospitality","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
David,Brown,david.brown@example.com,+1 (411) 603-8487,Brown Manufacturing,Stamford,Fairfield County,CT,US,62833,"County_Lead, Manufacturing","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Mary,Brown,mary.brown@example.com,+1 (403) 822-4319,Brown Retail,Stamford,Fairfield County,CT,US,54637,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Jennifer,Rodriguez,jennifer.rodriguez@example.com,+1 (464) 920-1484,Rodriguez Retail,Bridgeport,Fairfield County,CT,US,98072,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (853) 231-2925,Smith Real Estate,Bridgeport,Fairfield County,CT,US,31896,"County_Lead, Real Estate","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Karen,Garcia,karen.garcia@example.com,+1 (307) 811-4766,Garcia Retail,Stamford,Fairfield County,CT,US,11412,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
David,Brown,david.brown@example.com,+1 (739) 193-5353,Brown Real Estate,Stamford,Fairfield County,CT,US,24213,"County_Lead, Real Estate","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Jennifer,Smith,jennifer.smith@example.com,+1 (586) 491-8397,Smith Retail,Stamford,Fairfield County,CT,US,66827,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
Sarah,Brown,sarah.brown@example.com,+1 (619) 185-4932,Brown Manufacturing,Stamford,Fairfield County,CT,US,79849,"County_Lead, Manufacturing","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper
