First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Barbara,Martinez,barbara.martinez@example.com,+1 (437) 797-4156,Martinez Real Estate,Miami Beach,Miami-Dade County,FL,US,72594,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Robert,Garcia,robert.garcia@example.com,+1 (780) 967-3659,Garcia Retail,Miami Beach,Miami-Dade County,FL,US,35630,"County_Lead, Retail","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Barbara,Garcia,barbara.garcia@example.com,+1 (273) 829-2922,Garcia Hospitality,Miami,Miami-Dade County,FL,US,99841,"County_Lead, Hospitality","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Robert,Davis,robert.davis@example.com,+1 (403) 342-3715,Davis Real Estate,Coral Gables,Miami-Dade County,FL,US,39754,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Karen,Garcia,karen.garcia@example.com,+1 (986) 144-9113,Garcia Real Estate,Coral Gables,Miami-Dade County,FL,US,40053,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
James,Garcia,james.garcia@example.com,+1 (440) 579-5371,Garcia Technology,Hialeah,Miami-Dade County,FL,US,88108,"County_Lead, Technology","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Charles,Johnson,charles.johnson@example.com,+1 (360) 641-2496,Johnson Construction,Miami,Miami-Dade County,FL,US,17435,"County_Lead, Construction","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (255) 437-1766,Rodriguez Professional Services,Miami Beach,Miami-Dade County,FL,US,19081,"County_Lead, Professional Services","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Susan,Williams,susan.williams@example.com,+1 (982) 646-4357,Williams Real Estate,Hialeah,Miami-Dade County,FL,US,39079,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
David,Jones,david.jones@example.com,+1 (291) 558-9808,Jones Finance,Coral Gables,Miami-Dade County,FL,US,56777,"County_Lead, Finance","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper
Karen,Brown,karen.brown@example.com,+1 (389) 768-9893,Brown Construction,Fort Lauderdale,Broward County,FL,US,39661,"County_Lead, Construction","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
James,Brown,james.brown@example.com,+1 (843) 967-2031,Brown Finance,Fort Lauderdale,Broward County,FL,US,87641,"County_Lead, Finance","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
James,Rodriguez,james.rodriguez@example.com,+1 (667) 253-7067,Rodriguez Professional Services,Fort Lauderdale,Broward County,FL,US,80557,"County_Lead, Professional Services","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
John,Rodriguez,john.rodriguez@example.com,+1 (865) 712-4205,Rodriguez Professional Services,Hollywood,Broward County,FL,US,33155,"County_Lead, Professional Services","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Sarah,Johnson,sarah.johnson@example.com,+1 (459) 523-6032,Johnson Technology,Fort Lauderdale,Broward County,FL,US,60304,"County_Lead, Technology","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Robert,Garcia,robert.garcia@example.com,+1 (275) 144-6040,Garcia Manufacturing,Hollywood,Broward County,FL,US,44056,"County_Lead, Manufacturing","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Susan,Miller,susan.miller@example.com,+1 (353) 911-9647,Miller Finance,Fort Lauderdale,Broward County,FL,US,46578,"County_Lead, Finance","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Richard,Garcia,richard.garcia@example.com,+1 (797) 183-8357,Garcia Healthcare,Fort Lauderdale,Broward County,FL,US,43761,"County_Lead, Healthcare","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Joseph,Garcia,joseph.garcia@example.com,+1 (759) 112-5348,Garcia Real Estate,Hollywood,Broward County,FL,US,62734,"County_Lead, Real Estate","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (556) 275-5360,Rodriguez Construction,Pembroke Pines,Broward County,FL,US,71507,"County_Lead, Construction","Pop: 1,953,000, Seat: Fort Lauderdale",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (244) 509-8418,Smith Retail,Palm Beach,Palm Beach County,FL,US,90054,"County_Lead, Retail","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Jessica,Miller,jessica.miller@example.com,+1 (394) 846-4489,Miller Education,Boca Raton,Palm Beach County,FL,US,33773,"County_Lead, Education","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Karen,Miller,karen.miller@example.com,+1 (977) 403-9823,Miller Real Estate,Palm Beach,Palm Beach County,FL,US,36052,"County_Lead, Real Estate","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Patricia,Jones,patricia.jones@example.com,+1 (529) 210-7172,Jones Finance,West Palm Beach,Palm Beach County,FL,US,22863,"County_Lead, Finance","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Jennifer,Brown,jennifer.brown@example.com,+1 (388) 534-4186,Brown Retail,Palm Beach,Palm Beach County,FL,US,46185,"County_Lead, Retail","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (941) 660-9178,Miller Finance,West Palm Beach,Palm Beach County,FL,US,75051,"County_Lead, Finance","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
John,Miller,john.miller@example.com,+1 (750) 332-7450,Miller Manufacturing,Boca Raton,Palm Beach County,FL,US,86270,"County_Lead, Manufacturing","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
John,Brown,john.brown@example.com,+1 (223) 776-2395,Brown Professional Services,Boca Raton,Palm Beach County,FL,US,75779,"County_Lead, Professional Services","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Patricia,Miller,patricia.miller@example.com,+1 (745) 420-9762,Miller Healthcare,Boca Raton,Palm Beach County,FL,US,55531,"County_Lead, Healthcare","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Charles,Rodriguez,charles.rodriguez@example.com,+1 (645) 672-2618,Rodriguez Real Estate,Boca Raton,Palm Beach County,FL,US,59345,"County_Lead, Real Estate","Pop: 1,499,000, Seat: West Palm Beach",County_Aware_Scraper
Karen,Martinez,karen.martinez@example.com,+1 (953) 857-2697,Martinez Manufacturing,Tampa,Hillsborough County,FL,US,73052,"County_Lead, Manufacturing","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Thomas,Jones,thomas.jones@example.com,+1 (359) 531-4086,Jones Real Estate,Tampa,Hillsborough County,FL,US,71269,"County_Lead, Real Estate","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Richard,Rodriguez,richard.rodriguez@example.com,+1 (507) 584-4875,Rodriguez Construction,Tampa,Hillsborough County,FL,US,42458,"County_Lead, Construction","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Linda,Brown,linda.brown@example.com,+1 (424) 518-2016,Brown Healthcare,Tampa,Hillsborough County,FL,US,83343,"County_Lead, Healthcare","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Richard,Rodriguez,richard.rodriguez@example.com,+1 (355) 586-8789,Rodriguez Education,Plant City,Hillsborough County,FL,US,94120,"County_Lead, Education","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Linda,Williams,linda.williams@example.com,+1 (827) 786-6929,Williams Manufacturing,Tampa,Hillsborough County,FL,US,69397,"County_Lead, Manufacturing","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
John,Rodriguez,john.rodriguez@example.com,+1 (523) 649-8758,Rodriguez Finance,Brandon,Hillsborough County,FL,US,78590,"County_Lead, Finance","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
David,Davis,david.davis@example.com,+1 (735) 784-7468,Davis Finance,Plant City,Hillsborough County,FL,US,47401,"County_Lead, Finance","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Mary,Martinez,mary.martinez@example.com,+1 (265) 734-1241,Martinez Education,Plant City,Hillsborough County,FL,US,87027,"County_Lead, Education","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Patricia,Martinez,patricia.martinez@example.com,+1 (326) 220-8045,Martinez Hospitality,Plant City,Hillsborough County,FL,US,67602,"County_Lead, Hospitality","Pop: 1,478,000, Seat: Tampa",County_Aware_Scraper
Jennifer,Smith,jennifer.smith@example.com,+1 (849) 698-5412,Smith Professional Services,Kissimmee,Orange County,FL,US,93960,"County_Lead, Professional Services","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Patricia,Rodriguez,patricia.rodriguez@example.com,+1 (218) 267-8241,Rodriguez Finance,Kissimmee,Orange County,FL,US,68167,"County_Lead, Finance","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Sarah,Davis,sarah.davis@example.com,+1 (379) 594-1155,Davis Finance,Winter Park,Orange County,FL,US,35579,"County_Lead, Finance","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Robert,Jones,robert.jones@example.com,+1 (592) 763-1144,Jones Real Estate,Orlando,Orange County,FL,US,90554,"County_Lead, Real Estate","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Barbara,Smith,barbara.smith@example.com,+1 (311) 456-2211,Smith Education,Kissimmee,Orange County,FL,US,87582,"County_Lead, Education","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Michael,Miller,michael.miller@example.com,+1 (272) 429-8193,Miller Retail,Kissimmee,Orange County,FL,US,26207,"County_Lead, Retail","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
John,Martinez,john.martinez@example.com,+1 (894) 353-9486,Martinez Professional Services,Kissimmee,Orange County,FL,US,41154,"County_Lead, Professional Services","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Elizabeth,Williams,elizabeth.williams@example.com,+1 (575) 932-8501,Williams Technology,Winter Park,Orange County,FL,US,47856,"County_Lead, Technology","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Charles,Jones,charles.jones@example.com,+1 (497) 329-6622,Jones Education,Orlando,Orange County,FL,US,90209,"County_Lead, Education","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
Elizabeth,Rodriguez,elizabeth.rodriguez@example.com,+1 (270) 250-9984,Rodriguez Hospitality,Winter Park,Orange County,FL,US,97076,"County_Lead, Hospitality","Pop: 1,431,000, Seat: Orlando",County_Aware_Scraper
