First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
William,Brown,william.brown@example.com,+1 (718) 717-2199,Brown Real Estate,Des Moines,Polk County,IA,US,22571,"County_Lead, Real Estate","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Michael,Jones,michael.jones@example.com,+1 (684) 918-5177,Jones Construction,Des Moines,Polk County,IA,US,46310,"County_Lead, Construction","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Richard,Smith,richard.smith@example.com,+1 (362) 426-6889,Smith Construction,Des Moines,Polk County,IA,US,53131,"County_Lead, Construction","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Jennifer,Williams,jennifer.williams@example.com,+1 (641) 746-9972,Williams Hospitality,Des Moines,Polk County,IA,US,21001,"County_Lead, Hospitality","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Richard,Johnson,richard.johnson@example.com,+1 (830) 210-8949,Johnson Hospitality,Des Moines,Polk County,IA,US,51623,"County_Lead, Hospitality","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Linda,Rodriguez,linda.rodriguez@example.com,+1 (236) 533-3200,Rodriguez Construction,Des Moines,Polk County,IA,US,50499,"County_Lead, Construction","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Joseph,Garcia,joseph.garcia@example.com,+1 (432) 264-3746,Garcia Professional Services,Des Moines,Polk County,IA,US,93761,"County_Lead, Professional Services","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Robert,Johnson,robert.johnson@example.com,+1 (755) 322-5891,Johnson Finance,Des Moines,Polk County,IA,US,92856,"County_Lead, Finance","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (490) 589-9760,Smith Education,Des Moines,Polk County,IA,US,85155,"County_Lead, Education","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
John,Williams,john.williams@example.com,+1 (513) 725-8778,Williams Manufacturing,Des Moines,Polk County,IA,US,30713,"County_Lead, Manufacturing","Pop: 492,000, Seat: Des Moines",County_Aware_Scraper
