First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Barbara,Garcia,barbara.garcia@example.com,+1 (624) 409-7901,Garcia Construction,Olathe,Johnson County,KS,US,54759,"County_Lead, Construction","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Joseph,Brown,joseph.brown@example.com,+1 (228) 919-9243,Brown Finance,Olathe,Johnson County,KS,US,96248,"County_Lead, Finance","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
William,Rodriguez,william.rodriguez@example.com,+1 (700) 366-9087,Rodriguez Real Estate,Olathe,Johnson County,KS,US,52867,"County_Lead, Real Estate","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Richard,Miller,richard.miller@example.com,+1 (205) 542-7233,Miller Construction,Olathe,Johnson County,KS,US,84061,"County_Lead, Construction","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Charles,Rodriguez,charles.rodriguez@example.com,+1 (728) 567-2296,Rodriguez Manufacturing,Olathe,Johnson County,KS,US,34083,"County_Lead, Manufacturing","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Barbara,Davis,barbara.davis@example.com,+1 (565) 352-2581,Davis Technology,Olathe,Johnson County,KS,US,25317,"County_Lead, Technology","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Barbara,Williams,barbara.williams@example.com,+1 (810) 395-6089,Williams Professional Services,Olathe,Johnson County,KS,US,47803,"County_Lead, Professional Services","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Robert,Jones,robert.jones@example.com,+1 (623) 975-2366,Jones Finance,Olathe,Johnson County,KS,US,58748,"County_Lead, Finance","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Thomas,Smith,thomas.smith@example.com,+1 (829) 910-1183,Smith Professional Services,Olathe,Johnson County,KS,US,36457,"County_Lead, Professional Services","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
Barbara,Miller,barbara.miller@example.com,+1 (471) 577-3320,Miller Hospitality,Olathe,Johnson County,KS,US,50082,"County_Lead, Hospitality","Pop: 613,000, Seat: Olathe",County_Aware_Scraper
