First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Karen,Johnson,karen.johnson@example.com,+1 (598) 513-5065,Johnson Hospitality,New Orleans,Orleans Parish,LA,US,60237,"County_Lead, Hospitality","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Jennifer,Davis,jennifer.davis@example.com,+1 (722) 260-3227,Davis Hospitality,New Orleans,Orleans Parish,LA,US,23878,"County_Lead, Hospitality","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Richard,Rodriguez,richard.rodriguez@example.com,+1 (506) 839-8175,Rodriguez Manufacturing,New Orleans,Orleans Parish,LA,US,78393,"County_Lead, Manufacturing","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Linda,Jones,linda.jones@example.com,+1 (553) 222-3491,Jones Finance,New Orleans,Orleans Parish,LA,US,81242,"County_Lead, Finance","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
John,Miller,john.miller@example.com,+1 (663) 920-6274,Miller Professional Services,New Orleans,Orleans Parish,LA,US,87942,"County_Lead, Professional Services","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Sarah,Jones,sarah.jones@example.com,+1 (838) 698-3434,Jones Education,New Orleans,Orleans Parish,LA,US,80162,"County_Lead, Education","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Jessica,Martinez,jessica.martinez@example.com,+1 (334) 551-9558,Martinez Construction,New Orleans,Orleans Parish,LA,US,76446,"County_Lead, Construction","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
John,Williams,john.williams@example.com,+1 (599) 940-9264,Williams Technology,New Orleans,Orleans Parish,LA,US,68059,"County_Lead, Technology","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
John,Martinez,john.martinez@example.com,+1 (479) 446-2275,Martinez Education,New Orleans,Orleans Parish,LA,US,29177,"County_Lead, Education","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
Jennifer,Jones,jennifer.jones@example.com,+1 (316) 491-3638,Jones Manufacturing,New Orleans,Orleans Parish,LA,US,15303,"County_Lead, Manufacturing","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper
