First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Richard,Williams,richard.williams@example.com,+1 (593) 991-8353,Williams Healthcare,Lowell,Middlesex County,MA,US,55900,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Michael,Miller,michael.miller@example.com,+1 (676) 431-7630,Miller Education,Lowell,Middlesex County,MA,US,97933,"County_Lead, Education","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Barbara,Garcia,barbara.garcia@example.com,+1 (226) 165-4559,Garcia Hospitality,Cambridge,Middlesex County,MA,US,91917,"County_Lead, Hospitality","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Richard,Brown,richard.brown@example.com,+1 (567) 856-8997,Brown Real Estate,Cambridge,Middlesex County,MA,US,88052,"County_Lead, Real Estate","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
David,Williams,david.williams@example.com,+1 (771) 461-6289,Williams Construction,Cambridge,Middlesex County,MA,US,20654,"County_Lead, Construction","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
William,Miller,william.miller@example.com,+1 (859) 887-3547,Miller Retail,Cambridge,Middlesex County,MA,US,83114,"County_Lead, Retail","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Charles,Williams,charles.williams@example.com,+1 (796) 644-1716,Williams Healthcare,Cambridge,Middlesex County,MA,US,78859,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Robert,Smith,robert.smith@example.com,+1 (313) 423-7711,Smith Healthcare,Lowell,Middlesex County,MA,US,79397,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Patricia,Johnson,patricia.johnson@example.com,+1 (747) 587-4834,Johnson Finance,Lowell,Middlesex County,MA,US,68733,"County_Lead, Finance","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
Karen,Brown,karen.brown@example.com,+1 (656) 465-6609,Brown Technology,Cambridge,Middlesex County,MA,US,49408,"County_Lead, Technology","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper
