First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
David,Martinez,david.martinez@example.com,+1 (490) 526-3652,Martinez Hospitality,Detroit,Wayne County,MI,US,34482,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Jennifer,Miller,jennifer.miller@example.com,+1 (791) 102-6472,Miller Technology,Detroit,Wayne County,MI,US,79486,"County_Lead, Technology","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Karen,Williams,karen.williams@example.com,+1 (353) 661-7046,Williams Hospitality,Detroit,Wayne County,MI,US,54276,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Elizabeth,Brown,elizabeth.brown@example.com,+1 (819) 984-9835,Brown Construction,Detroit,Wayne County,MI,US,57512,"County_Lead, Construction","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Robert,Martinez,robert.martinez@example.com,+1 (757) 246-8974,Martinez Hospitality,Detroit,Wayne County,MI,US,44325,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
James,Martinez,james.martinez@example.com,+1 (531) 725-6226,Martinez Healthcare,Detroit,Wayne County,MI,US,79317,"County_Lead, Healthcare","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Michael,Smith,michael.smith@example.com,+1 (743) 344-4422,Smith Healthcare,Detroit,Wayne County,MI,US,29447,"County_Lead, Healthcare","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Michael,Johnson,michael.johnson@example.com,+1 (988) 993-3651,Johnson Professional Services,Detroit,Wayne County,MI,US,99422,"County_Lead, Professional Services","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Jessica,Garcia,jessica.garcia@example.com,+1 (327) 658-4821,Garcia Professional Services,Detroit,Wayne County,MI,US,68598,"County_Lead, Professional Services","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (517) 766-9115,Martinez Construction,Detroit,Wayne County,MI,US,92106,"County_Lead, Construction","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper
