First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
John,Jones,john.jones@example.com,+1 (902) 355-5170,Jones Real Estate,Jackson,Hinds County,MS,US,71241,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
Patricia,Miller,patricia.miller@example.com,+1 (487) 271-8782,Miller Real Estate,Jackson,Hinds County,MS,US,42072,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
Charles,Brown,charles.brown@example.com,+1 (858) 342-4463,Brown Hospitality,Jackson,Hinds County,MS,US,47095,"County_Lead, Hospitality","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
David,Williams,david.williams@example.com,+1 (495) 341-2576,Williams Hospitality,Jackson,Hinds County,MS,US,82332,"County_Lead, Hospitality","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (238) 738-6792,Garcia Professional Services,Jackson,Hinds County,MS,US,94004,"County_Lead, Professional Services","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
Susan,Davis,susan.davis@example.com,+1 (931) 871-5189,Davis Education,Jackson,Hinds County,MS,US,77334,"County_Lead, Education","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
David,Garcia,david.garcia@example.com,+1 (916) 785-4402,Garcia Healthcare,Jackson,Hinds County,MS,US,97037,"County_Lead, Healthcare","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
James,Brown,james.brown@example.com,+1 (508) 977-7219,Brown Real Estate,Jackson,Hinds County,MS,US,56886,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
Richard,Williams,richard.williams@example.com,+1 (565) 194-6296,Williams Technology,Jackson,Hinds County,MS,US,85656,"County_Lead, Technology","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
Jennifer,Miller,jennifer.miller@example.com,+1 (843) 220-2979,Miller Finance,Jackson,Hinds County,MS,US,50123,"County_Lead, Finance","Pop: 227,000, Seat: Jackson",County_Aware_Scraper
