First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Richard,Martinez,richard.martinez@example.com,+1 (270) 145-3121,Martinez Professional Services,North Las Vegas,Clark County,NV,US,92082,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (369) 516-6590,Williams Retail,Henderson,Clark County,NV,US,82185,"County_Lead, Retail","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Thomas,Martinez,thomas.martinez@example.com,+1 (246) 140-5523,Martinez Professional Services,Las Vegas,Clark County,NV,US,86403,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
James,Williams,james.williams@example.com,+1 (836) 861-3074,Williams Construction,Las Vegas,Clark County,NV,US,46885,"County_Lead, Construction","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Barbara,Martinez,barbara.martinez@example.com,+1 (760) 283-6101,Martinez Education,North Las Vegas,Clark County,NV,US,66845,"County_Lead, Education","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Barbara,Rodriguez,barbara.rodriguez@example.com,+1 (353) 415-1466,Rodriguez Finance,Henderson,Clark County,NV,US,39356,"County_Lead, Finance","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Patricia,Garcia,patricia.garcia@example.com,+1 (918) 381-1616,Garcia Manufacturing,Las Vegas,Clark County,NV,US,56014,"County_Lead, Manufacturing","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (585) 896-6221,Rodriguez Hospitality,Henderson,Clark County,NV,US,26302,"County_Lead, Hospitality","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Sarah,Miller,sarah.miller@example.com,+1 (230) 527-9851,Miller Finance,Henderson,Clark County,NV,US,28090,"County_Lead, Finance","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
Sarah,Garcia,sarah.garcia@example.com,+1 (686) 665-2742,Garcia Professional Services,Las Vegas,Clark County,NV,US,98581,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper
