First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Patricia,Martinez,patricia.martinez@example.com,+1 (302) 352-4733,Martinez Real Estate,Brooklyn,Kings County,NY,US,56892,"County_Lead, Real Estate","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Elizabeth,Smith,elizabeth.smith@example.com,+1 (574) 379-1043,Smith Construction,Brooklyn,Kings County,NY,US,98363,"County_Lead, Construction","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
David,Jones,david.jones@example.com,+1 (484) 241-3212,Jones Hospitality,Brooklyn,Kings County,NY,US,55562,"County_Lead, Hospitality","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Joseph,Rodriguez,joseph.rodriguez@example.com,+1 (715) 159-9997,Rodriguez Technology,Brooklyn,Kings County,NY,US,35987,"County_Lead, Technology","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Jennifer,Brown,jennifer.brown@example.com,+1 (636) 254-9934,Brown Real Estate,Brooklyn,Kings County,NY,US,23926,"County_Lead, Real Estate","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (366) 640-7601,Garcia Construction,Brooklyn,Kings County,NY,US,11046,"County_Lead, Construction","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Thomas,Johnson,thomas.johnson@example.com,+1 (998) 422-1963,Johnson Real Estate,Brooklyn,Kings County,NY,US,98011,"County_Lead, Real Estate","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Karen,Johnson,karen.johnson@example.com,+1 (338) 407-3193,Johnson Construction,Brooklyn,Kings County,NY,US,52110,"County_Lead, Construction","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Michael,Johnson,michael.johnson@example.com,+1 (222) 438-8790,Johnson Finance,Brooklyn,Kings County,NY,US,44417,"County_Lead, Finance","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (293) 522-3511,Rodriguez Hospitality,Brooklyn,Kings County,NY,US,98741,"County_Lead, Hospitality","Pop: 2,592,000, Seat: Brooklyn",County_Aware_Scraper
Linda,Smith,linda.smith@example.com,+1 (250) 670-4306,Smith Construction,Queens,Queens County,NY,US,56523,"County_Lead, Construction","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Susan,Johnson,susan.johnson@example.com,+1 (413) 850-3867,Johnson Technology,Jamaica,Queens County,NY,US,99570,"County_Lead, Technology","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (937) 800-7096,Williams Retail,Queens,Queens County,NY,US,86956,"County_Lead, Retail","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Charles,Rodriguez,charles.rodriguez@example.com,+1 (781) 281-4245,Rodriguez Manufacturing,Queens,Queens County,NY,US,19478,"County_Lead, Manufacturing","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Susan,Johnson,susan.johnson@example.com,+1 (901) 619-1786,Johnson Retail,Flushing,Queens County,NY,US,35322,"County_Lead, Retail","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Jennifer,Brown,jennifer.brown@example.com,+1 (530) 551-5016,Brown Real Estate,Flushing,Queens County,NY,US,67662,"County_Lead, Real Estate","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Jennifer,Rodriguez,jennifer.rodriguez@example.com,+1 (337) 419-4096,Rodriguez Healthcare,Jamaica,Queens County,NY,US,73694,"County_Lead, Healthcare","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Michael,Jones,michael.jones@example.com,+1 (738) 211-3317,Jones Retail,Queens,Queens County,NY,US,39336,"County_Lead, Retail","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
John,Garcia,john.garcia@example.com,+1 (577) 984-3357,Garcia Real Estate,Flushing,Queens County,NY,US,22469,"County_Lead, Real Estate","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
Elizabeth,Garcia,elizabeth.garcia@example.com,+1 (790) 847-8393,Garcia Real Estate,Queens,Queens County,NY,US,44150,"County_Lead, Real Estate","Pop: 2,328,000, Seat: Queens",County_Aware_Scraper
William,Williams,william.williams@example.com,+1 (751) 968-9078,Williams Real Estate,Manhattan,New York County,NY,US,13008,"County_Lead, Real Estate","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Barbara,Williams,barbara.williams@example.com,+1 (898) 244-9307,Williams Construction,Manhattan,New York County,NY,US,96002,"County_Lead, Construction","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Karen,Johnson,karen.johnson@example.com,+1 (299) 354-9602,Johnson Healthcare,Manhattan,New York County,NY,US,16753,"County_Lead, Healthcare","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Robert,Garcia,robert.garcia@example.com,+1 (383) 135-4444,Garcia Real Estate,Manhattan,New York County,NY,US,80114,"County_Lead, Real Estate","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Elizabeth,Williams,elizabeth.williams@example.com,+1 (851) 941-9835,Williams Healthcare,Manhattan,New York County,NY,US,23486,"County_Lead, Healthcare","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
John,Rodriguez,john.rodriguez@example.com,+1 (640) 188-8972,Rodriguez Healthcare,Manhattan,New York County,NY,US,14397,"County_Lead, Healthcare","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Richard,Martinez,richard.martinez@example.com,+1 (508) 111-6582,Martinez Hospitality,Manhattan,New York County,NY,US,76985,"County_Lead, Hospitality","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
James,Garcia,james.garcia@example.com,+1 (453) 830-3176,Garcia Retail,Manhattan,New York County,NY,US,53343,"County_Lead, Retail","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Elizabeth,Brown,elizabeth.brown@example.com,+1 (406) 457-9787,Brown Professional Services,Manhattan,New York County,NY,US,39362,"County_Lead, Professional Services","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Michael,Davis,michael.davis@example.com,+1 (850) 221-1641,Davis Education,Manhattan,New York County,NY,US,37573,"County_Lead, Education","Pop: 1,661,000, Seat: Manhattan",County_Aware_Scraper
Elizabeth,Smith,elizabeth.smith@example.com,+1 (259) 130-3562,Smith Professional Services,West Babylon,Suffolk County,NY,US,70860,"County_Lead, Professional Services","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Elizabeth,Williams,elizabeth.williams@example.com,+1 (696) 302-1956,Williams Finance,West Babylon,Suffolk County,NY,US,70447,"County_Lead, Finance","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Richard,Jones,richard.jones@example.com,+1 (775) 860-8719,Jones Finance,Huntington,Suffolk County,NY,US,91821,"County_Lead, Finance","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Thomas,Williams,thomas.williams@example.com,+1 (740) 387-8066,Williams Finance,West Babylon,Suffolk County,NY,US,94207,"County_Lead, Finance","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Richard,Smith,richard.smith@example.com,+1 (958) 635-3087,Smith Real Estate,Huntington,Suffolk County,NY,US,26926,"County_Lead, Real Estate","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Richard,Smith,richard.smith@example.com,+1 (470) 515-8068,Smith Retail,Brentwood,Suffolk County,NY,US,38246,"County_Lead, Retail","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Susan,Davis,susan.davis@example.com,+1 (576) 342-6623,Davis Hospitality,Huntington,Suffolk County,NY,US,34933,"County_Lead, Hospitality","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Linda,Miller,linda.miller@example.com,+1 (408) 480-8688,Miller Real Estate,Brentwood,Suffolk County,NY,US,55183,"County_Lead, Real Estate","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (613) 926-7257,Smith Hospitality,Huntington,Suffolk County,NY,US,96267,"County_Lead, Hospitality","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (319) 166-7446,Smith Professional Services,Huntington,Suffolk County,NY,US,25080,"County_Lead, Professional Services","Pop: 1,526,000, Seat: Riverhead",County_Aware_Scraper
Jessica,Davis,jessica.davis@example.com,+1 (914) 795-9241,Davis Technology,Bronx,Bronx County,NY,US,36011,"County_Lead, Technology","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Joseph,Miller,joseph.miller@example.com,+1 (337) 960-1846,Miller Construction,Bronx,Bronx County,NY,US,91583,"County_Lead, Construction","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Joseph,Johnson,joseph.johnson@example.com,+1 (351) 488-2453,Johnson Real Estate,Bronx,Bronx County,NY,US,26796,"County_Lead, Real Estate","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Mary,Johnson,mary.johnson@example.com,+1 (463) 981-5085,Johnson Real Estate,Bronx,Bronx County,NY,US,88397,"County_Lead, Real Estate","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
William,Smith,william.smith@example.com,+1 (999) 241-7827,Smith Education,Bronx,Bronx County,NY,US,18841,"County_Lead, Education","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (781) 943-4990,Smith Technology,Bronx,Bronx County,NY,US,65875,"County_Lead, Technology","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (638) 307-3846,Miller Professional Services,Bronx,Bronx County,NY,US,46849,"County_Lead, Professional Services","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
William,Rodriguez,william.rodriguez@example.com,+1 (508) 238-5787,Rodriguez Retail,Bronx,Bronx County,NY,US,39653,"County_Lead, Retail","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Patricia,Jones,patricia.jones@example.com,+1 (979) 515-7197,Jones Finance,Bronx,Bronx County,NY,US,13360,"County_Lead, Finance","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
Jessica,Johnson,jessica.johnson@example.com,+1 (432) 123-3601,Johnson Finance,Bronx,Bronx County,NY,US,49390,"County_Lead, Finance","Pop: 1,428,000, Seat: Bronx",County_Aware_Scraper
