First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Barbara,Johnson,barbara.johnson@example.com,+1 (719) 698-2458,Johnson Hospitality,Greenville,Greenville County,SC,US,35659,"County_Lead, Hospitality","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Barbara,Smith,barbara.smith@example.com,+1 (921) 338-8117,Smith Construction,Greenville,Greenville County,SC,US,53470,"County_Lead, Construction","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Michael,Smith,michael.smith@example.com,+1 (207) 167-9901,Smith Hospitality,Greenville,Greenville County,SC,US,48729,"County_Lead, Hospitality","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Richard,Garcia,richard.garcia@example.com,+1 (462) 991-7619,Garcia Hospitality,Greenville,Greenville County,SC,US,54626,"County_Lead, Hospitality","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Richard,Johnson,richard.johnson@example.com,+1 (755) 548-4766,Johnson Healthcare,Greenville,Greenville County,SC,US,62638,"County_Lead, Healthcare","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Jessica,Miller,jessica.miller@example.com,+1 (707) 745-3859,Miller Retail,Greenville,Greenville County,SC,US,61956,"County_Lead, Retail","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Jennifer,Miller,jennifer.miller@example.com,+1 (423) 365-3045,Miller Construction,Greenville,Greenville County,SC,US,93417,"County_Lead, Construction","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Elizabeth,Williams,elizabeth.williams@example.com,+1 (660) 210-2456,Williams Technology,Greenville,Greenville County,SC,US,29919,"County_Lead, Technology","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Charles,Garcia,charles.garcia@example.com,+1 (575) 439-3761,Garcia Construction,Greenville,Greenville County,SC,US,23039,"County_Lead, Construction","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
Mary,Rodriguez,mary.rodriguez@example.com,+1 (572) 913-9984,Rodriguez Technology,Greenville,Greenville County,SC,US,47627,"County_Lead, Technology","Pop: 540,000, Seat: Greenville",County_Aware_Scraper
