First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
William,Davis,william.davis@example.com,+1 (620) 981-9492,Davis Retail,Pasadena,Harris County,TX,US,48908,"County_Lead, Retail","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Jessica,Johnson,jessica.johnson@example.com,+1 (395) 263-1190,Johnson Finance,Baytown,Harris County,TX,US,23943,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (418) 434-1205,Davis Healthcare,Houston,Harris County,TX,US,34143,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Sarah,Brown,sarah.brown@example.com,+1 (309) 255-5565,Brown Technology,Houston,Harris County,TX,US,71633,"County_Lead, Technology","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Jones,robert.jones@example.com,+1 (978) 155-5610,Jones Manufacturing,Baytown,Harris County,TX,US,90787,"County_Lead, Manufacturing","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
James,Brown,james.brown@example.com,+1 (775) 827-2736,Brown Healthcare,Humble,Harris County,TX,US,10817,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
John,Johnson,john.johnson@example.com,+1 (929) 703-8526,Johnson Finance,Pasadena,Harris County,TX,US,14238,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Davis,robert.davis@example.com,+1 (770) 595-4929,Davis Finance,Humble,Harris County,TX,US,48701,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Johnson,robert.johnson@example.com,+1 (685) 225-4196,Johnson Real Estate,Humble,Harris County,TX,US,63410,"County_Lead, Real Estate","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (404) 824-8566,Smith Hospitality,Baytown,Harris County,TX,US,23893,"County_Lead, Hospitality","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (316) 233-6882,Rodriguez Technology,Garland,Dallas County,TX,US,34693,"County_Lead, Technology","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Thomas,Johnson,thomas.johnson@example.com,+1 (812) 172-6815,Johnson Retail,Irving,Dallas County,TX,US,19316,"County_Lead, Retail","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Charles,Smith,charles.smith@example.com,+1 (246) 125-7943,Smith Retail,Dallas,Dallas County,TX,US,94526,"County_Lead, Retail","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Mary,Jones,mary.jones@example.com,+1 (451) 516-4721,Jones Finance,Garland,Dallas County,TX,US,79698,"County_Lead, Finance","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Susan,Jones,susan.jones@example.com,+1 (816) 895-2529,Jones Healthcare,Dallas,Dallas County,TX,US,63799,"County_Lead, Healthcare","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Linda,Rodriguez,linda.rodriguez@example.com,+1 (858) 899-3719,Rodriguez Education,Garland,Dallas County,TX,US,69402,"County_Lead, Education","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Thomas,Martinez,thomas.martinez@example.com,+1 (521) 261-6920,Martinez Technology,Dallas,Dallas County,TX,US,59317,"County_Lead, Technology","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (947) 205-2149,Smith Construction,Dallas,Dallas County,TX,US,15754,"County_Lead, Construction","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Linda,Martinez,linda.martinez@example.com,+1 (944) 391-7221,Martinez Education,Garland,Dallas County,TX,US,75036,"County_Lead, Education","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Karen,Miller,karen.miller@example.com,+1 (967) 388-5174,Miller Professional Services,Garland,Dallas County,TX,US,49358,"County_Lead, Professional Services","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (888) 688-7020,Smith Real Estate,Keller,Tarrant County,TX,US,94803,"County_Lead, Real Estate","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (582) 351-8078,Rodriguez Technology,Grapevine,Tarrant County,TX,US,62351,"County_Lead, Technology","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Elizabeth,Johnson,elizabeth.johnson@example.com,+1 (519) 613-9759,Johnson Professional Services,Grapevine,Tarrant County,TX,US,63564,"County_Lead, Professional Services","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Rodriguez,thomas.rodriguez@example.com,+1 (430) 747-6698,Rodriguez Retail,Grapevine,Tarrant County,TX,US,75497,"County_Lead, Retail","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Martinez,thomas.martinez@example.com,+1 (311) 658-3098,Martinez Healthcare,Grapevine,Tarrant County,TX,US,14883,"County_Lead, Healthcare","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Michael,Davis,michael.davis@example.com,+1 (554) 447-8111,Davis Real Estate,Grapevine,Tarrant County,TX,US,17425,"County_Lead, Real Estate","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Rodriguez,thomas.rodriguez@example.com,+1 (210) 273-5390,Rodriguez Hospitality,Arlington,Tarrant County,TX,US,37940,"County_Lead, Hospitality","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Patricia,Williams,patricia.williams@example.com,+1 (208) 894-5432,Williams Manufacturing,Keller,Tarrant County,TX,US,18727,"County_Lead, Manufacturing","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Patricia,Davis,patricia.davis@example.com,+1 (688) 924-2451,Davis Professional Services,Keller,Tarrant County,TX,US,53162,"County_Lead, Professional Services","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
John,Garcia,john.garcia@example.com,+1 (774) 687-5037,Garcia Education,Fort Worth,Tarrant County,TX,US,83429,"County_Lead, Education","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Karen,Smith,karen.smith@example.com,+1 (489) 275-3349,Smith Hospitality,New Braunfels,Bexar County,TX,US,72018,"County_Lead, Hospitality","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Michael,Garcia,michael.garcia@example.com,+1 (246) 109-2105,Garcia Healthcare,San Antonio,Bexar County,TX,US,68246,"County_Lead, Healthcare","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Patricia,Johnson,patricia.johnson@example.com,+1 (304) 249-4667,Johnson Education,Universal City,Bexar County,TX,US,55502,"County_Lead, Education","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
David,Brown,david.brown@example.com,+1 (619) 243-7918,Brown Healthcare,New Braunfels,Bexar County,TX,US,69228,"County_Lead, Healthcare","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Jennifer,Williams,jennifer.williams@example.com,+1 (507) 231-8031,Williams Education,San Antonio,Bexar County,TX,US,51059,"County_Lead, Education","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Linda,Garcia,linda.garcia@example.com,+1 (511) 309-1684,Garcia Construction,New Braunfels,Bexar County,TX,US,74046,"County_Lead, Construction","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
