First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Barbara,Martinez,barbara.martinez@example.com,+1 (438) 743-7899,Martinez Technology,Fairfax,Fairfax County,VA,US,75254,"County_Lead, Technology","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Linda,Jones,linda.jones@example.com,+1 (327) 680-7151,Jones Professional Services,Fairfax,Fairfax County,VA,US,88088,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
John,Martinez,john.martinez@example.com,+1 (250) 893-9661,Martinez Manufacturing,Fairfax,Fairfax County,VA,US,87390,"County_Lead, Manufacturing","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Patricia,Martinez,patricia.martinez@example.com,+1 (700) 157-6045,Martinez Professional Services,Fairfax,Fairfax County,VA,US,45332,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
David,Martinez,david.martinez@example.com,+1 (220) 288-4677,Martinez Construction,Fairfax,Fairfax County,VA,US,70903,"County_Lead, Construction","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Jennifer,Miller,jennifer.miller@example.com,+1 (820) 461-7678,Miller Healthcare,Fairfax,Fairfax County,VA,US,35403,"County_Lead, Healthcare","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Michael,Garcia,michael.garcia@example.com,+1 (575) 918-9961,Garcia Finance,Fairfax,Fairfax County,VA,US,75355,"County_Lead, Finance","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Richard,Rodriguez,richard.rodriguez@example.com,+1 (925) 208-7752,Rodriguez Healthcare,Fairfax,Fairfax County,VA,US,91356,"County_Lead, Healthcare","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Barbara,Martinez,barbara.martinez@example.com,+1 (276) 806-8912,Martinez Professional Services,Fairfax,Fairfax County,VA,US,65275,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
Elizabeth,Martinez,elizabeth.martinez@example.com,+1 (419) 426-5842,Martinez Retail,Fairfax,Fairfax County,VA,US,69158,"County_Lead, Retail","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper
