First Name,Last Name,Email,Phone,Company,City,County,State,Country,Postal Code,Tags,Notes,Source
Barbara,Williams,barbara.williams@example.com,+1 (888) 647-6449,Williams Construction,Milwaukee,Milwaukee County,WI,US,84650,"County_Lead, Construction","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Linda,Johnson,linda.johnson@example.com,+1 (755) 884-4778,Johnson Finance,Milwaukee,Milwaukee County,WI,US,75528,"County_Lead, Finance","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Richard,Smith,richard.smith@example.com,+1 (822) 387-6301,Smith Education,Milwaukee,Milwaukee County,WI,US,91487,"County_Lead, Education","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
John,Jones,john.jones@example.com,+1 (675) 937-4847,Jones Professional Services,Milwaukee,Milwaukee County,WI,US,74648,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Joseph,Brown,joseph.brown@example.com,+1 (900) 972-8940,Brown Professional Services,Milwaukee,Milwaukee County,WI,US,97732,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (263) 606-8823,Smith Technology,Milwaukee,Milwaukee County,WI,US,36054,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Susan,Garcia,susan.garcia@example.com,+1 (911) 475-6715,Garcia Manufacturing,Milwaukee,Milwaukee County,WI,US,92449,"County_Lead, Manufacturing","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (929) 555-6153,Rodriguez Technology,Milwaukee,Milwaukee County,WI,US,20281,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Patricia,Jones,patricia.jones@example.com,+1 (311) 176-2257,Jones Technology,Milwaukee,Milwaukee County,WI,US,17667,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
Karen,Jones,karen.jones@example.com,+1 (312) 596-3877,Jones Professional Services,Milwaukee,Milwaukee County,WI,US,94368,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper
