First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source
Patricia,Garcia,patricia.garcia@example.com,+1 (540) 488-2803,Garcia Healthcare,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
John,Brown,john.brown@example.com,+1 (553) 339-1410,Brown Healthcare,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Joseph,Garcia,joseph.garcia@example.com,+1 (877) 245-2403,Garcia Construction,Los Angeles,Los Angeles County,CA,US,C,Yes,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Mary,Smith,mary.smith@example.com,+1 (760) 345-8915,Smith Education,Los Angeles,Los Angeles County,CA,US,C,Yes,"County_Lead, Education","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
David,Jones,david.jones@example.com,+1 (763) 136-5383,Jones Finance,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Elizabeth,Rodriguez,elizabeth.rodriguez@example.com,+1 (639) 936-7375,Rodriguez Construction,Santa Clarita,Los Angeles County,CA,US,C,Yes,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (912) 411-9636,Miller Retail,Glendale,Los Angeles County,CA,US,C,Yes,"County_Lead, Retail","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Charles,Miller,charles.miller@example.com,+1 (435) 732-2052,Miller Finance,Santa Clarita,Los Angeles County,CA,US,C,Yes,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Linda,Johnson,linda.johnson@example.com,+1 (706) 975-4843,Johnson Real Estate,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Thomas,Smith,thomas.smith@example.com,+1 (897) 566-3798,Smith Manufacturing,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (652) 325-3505,Williams Construction,San Diego,San Diego County,CA,US,C,Yes,"County_Lead, Construction","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Richard,Jones,richard.jones@example.com,+1 (898) 564-7218,Jones Technology,San Diego,San Diego County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Susan,Martinez,susan.martinez@example.com,+1 (448) 796-3930,Martinez Manufacturing,Chula Vista,San Diego County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Sarah,Brown,sarah.brown@example.com,+1 (669) 473-1812,Brown Retail,Oceanside,San Diego County,CA,US,C,Yes,"County_Lead, Retail","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
