First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Patricia,Garcia,patricia.garcia@example.com,+1 (540) 488-2803,Garcia Healthcare,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,94227,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Brown,john.brown@example.com,+1 (553) 339-1410,Brown Healthcare,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,98164,SOS-CA-47035,2025-12-13,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Garcia,joseph.garcia@example.com,+1 (877) 245-2403,Garcia Construction,Los Angeles,Los Angeles County,CA,US,C,Yes,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,96881,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Smith,mary.smith@example.com,+1 (760) 345-8915,Smith Education,Los Angeles,Los Angeles County,CA,US,C,Yes,"County_Lead, Education","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,93496,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Jones,david.jones@example.com,+1 (763) 136-5383,Jones Finance,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,92751,N/A,N/A,N/A,REG-CA-LOSAN-6813,Retail,Active,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Rodriguez,elizabeth.rodriguez@example.com,+1 (639) 936-7375,Rodriguez Construction,Santa Clarita,Los Angeles County,CA,US,C,Yes,"County_Lead, Construction","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,90353,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Miller,thomas.miller@example.com,+1 (912) 411-9636,Miller Retail,Glendale,Los Angeles County,CA,US,C,Yes,"County_Lead, Retail","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,95689,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Miller,charles.miller@example.com,+1 (435) 732-2052,Miller Finance,Santa Clarita,Los Angeles County,CA,US,C,Yes,"County_Lead, Finance","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,99706,N/A,N/A,N/A,REG-CA-LOSAN-6963,General Business,Expired,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Johnson,linda.johnson@example.com,+1 (706) 975-4843,Johnson Real Estate,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,91148,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Smith,thomas.smith@example.com,+1 (897) 566-3798,Smith Manufacturing,Long Beach,Los Angeles County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 10,014,009, Seat: Los Angeles",County_Aware_Scraper,99354,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Williams,robert.williams@example.com,+1 (652) 325-3505,Williams Construction,San Diego,San Diego County,CA,US,C,Yes,"County_Lead, Construction","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper,98659,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Jones,richard.jones@example.com,+1 (898) 564-7218,Jones Technology,San Diego,San Diego County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper,98535,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
