First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Barbara,Smith,barbara.smith@example.com,+1 (567) 745-8281,Smith Technology,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Technology","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Rodriguez,susan.rodriguez@example.com,+1 (838) 273-7423,Rodriguez Finance,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Finance","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Rodriguez,michael.rodriguez@example.com,+1 (215) 837-3299,Rodriguez Professional Services,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Professional Services","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Garcia,susan.garcia@example.com,+1 (813) 725-5655,Garcia Technology,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Technology","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Rodriguez,karen.rodriguez@example.com,+1 (881) 256-9194,Rodriguez Finance,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Finance","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Miller,john.miller@example.com,+1 (724) 693-9142,Miller Manufacturing,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Manufacturing","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Jones,linda.jones@example.com,+1 (611) 145-6854,Jones Finance,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Finance","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Brown,john.brown@example.com,+1 (455) 186-8620,Brown Manufacturing,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Manufacturing","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Rodriguez,william.rodriguez@example.com,+1 (933) 507-9128,Rodriguez Hospitality,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Hospitality","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Martinez,robert.martinez@example.com,+1 (350) 931-6104,Martinez Manufacturing,Birmingham,Jefferson County,AL,US,C,Yes,"County_Lead, Manufacturing","Pop: 669,000, Seat: Birmingham",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
