First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Thomas,Garcia,thomas.garcia@example.com,+1 (328) 770-6452,Garcia Education,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Garcia,james.garcia@example.com,+1 (521) 780-5986,Garcia Construction,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Construction","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Miller,susan.miller@example.com,+1 (628) 726-3268,Miller Finance,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Finance","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Garcia,sarah.garcia@example.com,+1 (283) 972-3725,Garcia Professional Services,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Professional Services","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Rodriguez,robert.rodriguez@example.com,+1 (576) 786-1158,Rodriguez Education,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Smith,jennifer.smith@example.com,+1 (489) 954-4246,Smith Education,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Education","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Johnson,susan.johnson@example.com,+1 (601) 327-9336,Johnson Hospitality,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Hospitality","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Davis,james.davis@example.com,+1 (792) 603-4482,Davis Real Estate,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Real Estate","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Jones,john.jones@example.com,+1 (641) 889-5126,Jones Professional Services,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Professional Services","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Williams,mary.williams@example.com,+1 (959) 842-5671,Williams Finance,Little Rock,Pulaski County,AR,US,C,Yes,"County_Lead, Finance","Pop: 399,000, Seat: Little Rock",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
