First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Charles,Davis,charles.davis@example.com,+1 (815) 471-9940,Davis Retail,Denver,Denver County,CO,US,C,Yes,"County_Lead, Retail","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Smith,michael.smith@example.com,+1 (787) 429-9424,Smith Hospitality,Denver,Denver County,CO,US,C,Yes,"County_Lead, Hospitality","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Martinez,mary.martinez@example.com,+1 (291) 807-1140,Martinez Hospitality,Denver,Denver County,CO,US,C,Yes,"County_Lead, Hospitality","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Martinez,mary.martinez@example.com,+1 (690) 381-3202,Martinez Professional Services,Denver,Denver County,CO,US,C,Yes,"County_Lead, Professional Services","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Rodriguez,richard.rodriguez@example.com,+1 (800) 140-2447,Rodriguez Professional Services,Denver,Denver County,CO,US,C,Yes,"County_Lead, Professional Services","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Davis,elizabeth.davis@example.com,+1 (296) 399-9399,Davis Retail,Denver,Denver County,CO,US,C,Yes,"County_Lead, Retail","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Brown,elizabeth.brown@example.com,+1 (899) 547-7639,Brown Retail,Denver,Denver County,CO,US,C,Yes,"County_Lead, Retail","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Miller,thomas.miller@example.com,+1 (861) 913-4092,Miller Retail,Denver,Denver County,CO,US,C,Yes,"County_Lead, Retail","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Garcia,michael.garcia@example.com,+1 (201) 451-1228,Garcia Finance,Denver,Denver County,CO,US,C,Yes,"County_Lead, Finance","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Brown,elizabeth.brown@example.com,+1 (961) 411-5561,Brown Retail,Denver,Denver County,CO,US,C,Yes,"County_Lead, Retail","Pop: 760,000, Seat: Denver",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicholas,Parker,nparker@coldwellbanker.com,(626) 796-4612,Keller Williams,Colorado Springs,N/A,CO,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 2, Volume: $280,799",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jason,White,jason.white@yahoo.com,(567) 326-4722,Coldwell Banker,Colorado Springs,N/A,CO,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 22, Volume: $9,747,458",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jacob,Mendoza,jacob91@sothebysrealty.com,(816) 306-2935,Compass,Denver,N/A,CO,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 49, Volume: $6,553,924",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brian,Torres,torres.brian@hotmail.com,(870) 854-3030,Compass,Denver,N/A,CO,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 49, Volume: $8,032,631",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amanda,Lewis,amanda71@coldwellbanker.com,(572) 819-8588,Realty One Group,Denver,N/A,CO,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 1, Volume: $430,706",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Aaron,Lopez,lopez.aaron@redfin.com,(947) 334-5421,KB Home,Denver,N/A,CO,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 45, Volume: $7,301,337",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
