First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Susan,Rodriguez,susan.rodriguez@example.com,+1 (239) 132-1000,Rodriguez Finance,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Finance","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Johnson,thomas.johnson@example.com,+1 (661) 375-3060,Johnson Hospitality,Bridgeport,Fairfield County,CT,US,C,Yes,"County_Lead, Hospitality","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Brown,david.brown@example.com,+1 (411) 603-8487,Brown Manufacturing,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Manufacturing","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Brown,mary.brown@example.com,+1 (403) 822-4319,Brown Retail,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Rodriguez,jennifer.rodriguez@example.com,+1 (464) 920-1484,Rodriguez Retail,Bridgeport,Fairfield County,CT,US,C,Yes,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Smith,jessica.smith@example.com,+1 (853) 231-2925,Smith Real Estate,Bridgeport,Fairfield County,CT,US,C,Yes,"County_Lead, Real Estate","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Garcia,karen.garcia@example.com,+1 (307) 811-4766,Garcia Retail,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Brown,david.brown@example.com,+1 (739) 193-5353,Brown Real Estate,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Real Estate","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Smith,jennifer.smith@example.com,+1 (586) 491-8397,Smith Retail,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Retail","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Brown,sarah.brown@example.com,+1 (619) 185-4932,Brown Manufacturing,Stamford,Fairfield County,CT,US,C,Yes,"County_Lead, Manufacturing","Pop: 959,000, Seat: Bridgeport",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
