First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Barbara,Martinez,barbara.martinez@example.com,+1 (437) 797-4156,Martinez Real Estate,Miami Beach,Miami-Dade County,FL,US,C,Yes,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,37881,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Garcia,robert.garcia@example.com,+1 (780) 967-3659,Garcia Retail,Miami Beach,Miami-Dade County,FL,US,C,Yes,"County_Lead, Retail","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,32320,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Garcia,barbara.garcia@example.com,+1 (273) 829-2922,Garcia Hospitality,Miami,Miami-Dade County,FL,US,C,Yes,"County_Lead, Hospitality","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,35458,SOS-FL-63694,2015-03-27,Active,REG-FL-MIAMI-6905,Retail,Active,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Davis,robert.davis@example.com,+1 (403) 342-3715,Davis Real Estate,Coral Gables,Miami-Dade County,FL,US,C,Yes,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,41207,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Garcia,karen.garcia@example.com,+1 (986) 144-9113,Garcia Real Estate,Coral Gables,Miami-Dade County,FL,US,C,Yes,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,38202,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Garcia,james.garcia@example.com,+1 (440) 579-5371,Garcia Technology,Hialeah,Miami-Dade County,FL,US,C,Yes,"County_Lead, Technology","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,38421,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Johnson,charles.johnson@example.com,+1 (360) 641-2496,Johnson Construction,Miami,Miami-Dade County,FL,US,C,Yes,"County_Lead, Construction","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,39832,SOS-FL-51600,2018-09-09,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Rodriguez,robert.rodriguez@example.com,+1 (255) 437-1766,Rodriguez Professional Services,Miami Beach,Miami-Dade County,FL,US,C,Yes,"County_Lead, Professional Services","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,39000,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Williams,susan.williams@example.com,+1 (982) 646-4357,Williams Real Estate,Hialeah,Miami-Dade County,FL,US,C,Yes,"County_Lead, Real Estate","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,40813,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Jones,david.jones@example.com,+1 (291) 558-9808,Jones Finance,Coral Gables,Miami-Dade County,FL,US,C,Yes,"County_Lead, Finance","Pop: 2,688,000, Seat: Miami",County_Aware_Scraper,38254,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
