First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Thomas,Davis,thomas.davis@example.com,+1 (900) 463-8819,Davis Healthcare,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,31935,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Williams,james.williams@example.com,+1 (201) 549-1328,Williams Construction,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Construction","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,35824,SOS-GA-34130,2010-07-06,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Martinez,mary.martinez@example.com,+1 (599) 573-5052,Martinez Professional Services,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,33680,SOS-GA-34130,2010-07-06,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Williams,richard.williams@example.com,+1 (444) 901-5421,Williams Education,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Education","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,34803,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Smith,susan.smith@example.com,+1 (459) 296-6079,Smith Manufacturing,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,32778,SOS-GA-52472,2015-12-20,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Brown,joseph.brown@example.com,+1 (921) 423-9444,Brown Finance,Sandy Springs,Fulton County,GA,US,C,Yes,"County_Lead, Finance","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,37576,SOS-GA-94387,2021-04-27,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Rodriguez,sarah.rodriguez@example.com,+1 (306) 952-2837,Rodriguez Construction,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Construction","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,31496,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Garcia,michael.garcia@example.com,+1 (406) 574-2219,Garcia Real Estate,Atlanta,Fulton County,GA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,37599,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Garcia,joseph.garcia@example.com,+1 (456) 708-1383,Garcia Education,Atlanta,Fulton County,GA,US,C,Yes,"County_Lead, Education","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,32815,SOS-GA-66663,2014-12-09,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Martinez,william.martinez@example.com,+1 (553) 664-6165,Martinez Technology,Roswell,Fulton County,GA,US,C,Yes,"County_Lead, Technology","Pop: 1,071,000, Seat: Atlanta",County_Aware_Scraper,38399,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anthony,Johnson,anthony.johnson@elliman.com,(747) 550-7560,Sotheby's,Atlanta,N/A,GA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 10, Volume: $14,616,941",CREAM_RealEstate,35316,SOS-GA-15306,2022-11-17,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Ruiz,barbarar@berkshirehathawayhs.com,(972) 980-3555,Tri Pointe Homes,Atlanta,N/A,GA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 19, Volume: $13,513,722",CREAM_RealEstate,33253,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
