First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Maria,Watson,mwatson@elliman.com,(623) 532-4099,M/I Homes,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 11, Volume: $5,714,408",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Rodriguez,william65@berkshirehathawayhs.com,(725) 521-5534,M/I Homes,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 45, Volume: $7,039,219",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Gomez,jessicag@weichert.com,(501) 708-7275,LGI Homes,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 40, Volume: $1,599,164",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Shirley,Bennett,bennett.shirley@coldwellbanker.com,(714) 665-2312,eXp Realty,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 45, Volume: $14,919,832",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amy,Morris,amy.morris@outlook.com,(475) 910-7397,Douglas Elliman,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 28, Volume: $11,948,617",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Timothy,Williams,williams.timothy@hotmail.com,(903) 774-4136,Zillow Premier,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 23, Volume: $5,238,771",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Jackson,davidj@realtyonegroup.com,(303) 415-2336,ERA,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 21, Volume: $6,440,746",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Dorothy,Ramos,dorothyr@berkshirehathawayhs.com,(256) 828-7651,Tri Pointe Homes,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 13 years, Transactions: 14, Volume: $6,525,730",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Timothy,Young,timothy.young@sothebysrealty.com,(975) 603-7979,KB Home,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 46, Volume: $12,484,055",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Christine,Allen,christine.allen@berkshirehathawayhs.com,(975) 741-2209,Douglas Elliman,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 31, Volume: $2,132,745",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Catherine,Mitchell,catherine.mitchell@yahoo.com,(915) 630-8199,Realty One Group,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 5 years, Transactions: 14, Volume: $6,863,700",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samuel,Torres,samuelt@exprealty.com,(859) 899-7717,Nest Seekers,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 48, Volume: $4,038,806",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Dorothy,Scott,dorothy6@gmail.com,(443) 357-9826,United Real Estate,Boise,N/A,ID,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 30, Volume: $5,029,380",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
