First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Richard,Johnson,richard.johnson@example.com,+1 (248) 179-6062,Johnson Retail,Cicero,Cook County,IL,US,C,Yes,"County_Lead, Retail","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,61213,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Smith,jennifer.smith@example.com,+1 (865) 690-2201,Smith Hospitality,Cicero,Cook County,IL,US,C,Yes,"County_Lead, Hospitality","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,60951,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Johnson,susan.johnson@example.com,+1 (260) 221-3016,Johnson Education,Arlington Heights,Cook County,IL,US,C,Yes,"County_Lead, Education","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,60740,SOS-IL-46585,2018-02-25,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Jones,karen.jones@example.com,+1 (504) 859-4484,Jones Technology,Chicago,Cook County,IL,US,C,Yes,"County_Lead, Technology","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,66086,SOS-IL-90440,2016-08-12,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Brown,richard.brown@example.com,+1 (506) 467-1146,Brown Education,Arlington Heights,Cook County,IL,US,C,Yes,"County_Lead, Education","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,69067,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Smith,thomas.smith@example.com,+1 (643) 700-7585,Smith Healthcare,Arlington Heights,Cook County,IL,US,C,Yes,"County_Lead, Healthcare","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,66572,SOS-IL-72350,2022-02-08,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Miller,joseph.miller@example.com,+1 (633) 836-3241,Miller Professional Services,Chicago,Cook County,IL,US,C,Yes,"County_Lead, Professional Services","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,62137,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Davis,patricia.davis@example.com,+1 (800) 478-4304,Davis Construction,Arlington Heights,Cook County,IL,US,C,Yes,"County_Lead, Construction","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,66139,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Jones,richard.jones@example.com,+1 (727) 905-1100,Jones Retail,Chicago,Cook County,IL,US,C,Yes,"County_Lead, Retail","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,62207,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Davis,james.davis@example.com,+1 (342) 143-1868,Davis Real Estate,Cicero,Cook County,IL,US,C,Yes,"County_Lead, Real Estate","Pop: 5,173,000, Seat: Chicago",County_Aware_Scraper,65728,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Melissa,Bennett,mbennett@century21.com,(423) 945-3434,Weichert,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 30, Volume: $6,301,751",CREAM_RealEstate,62218,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
George,Anderson,ganderson@realtor.com,(732) 228-3124,Pulte Homes,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 46, Volume: $12,979,783",CREAM_RealEstate,66729,SOS-IL-65769,2012-07-25,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ryan,Hughes,ryanh@kw.com,(571) 270-4799,Compass,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 30, Volume: $5,641,341",CREAM_RealEstate,60228,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Stephen,Kim,kim.stephen@gmail.com,(810) 263-6114,Lennar,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 19, Volume: $11,688,227",CREAM_RealEstate,61753,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Johnson,susan.johnson@exprealty.com,(832) 878-8297,eXp Realty,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 13, Volume: $3,224,668",CREAM_RealEstate,66636,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Donald,Rogers,donaldr@realtor.com,(734) 268-6894,HomeSmart,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 41, Volume: $14,836,344",CREAM_RealEstate,63976,SOS-IL-46834,2018-10-24,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jerry,Gonzalez,jerry.gonzalez@weichert.com,(734) 241-9082,Pulte Homes,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 9, Volume: $972,431",CREAM_RealEstate,69517,SOS-IL-76242,2024-06-18,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kenneth,Martinez,kmartinez@realtor.com,(331) 399-1117,Century 21,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 5 years, Transactions: 18, Volume: $12,210,638",CREAM_RealEstate,62059,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Gregory,Diaz,gregory27@outlook.com,(863) 293-9331,Nest Seekers,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 37, Volume: $3,420,651",CREAM_RealEstate,63256,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amy,Bailey,bailey.amy@exprealty.com,(779) 657-4598,Tri Pointe Homes,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 10, Volume: $3,017,951",CREAM_RealEstate,61951,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mark,Long,long.mark@compass.com,(442) 708-7196,Taylor Morrison,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 27, Volume: $8,638,849",CREAM_RealEstate,66017,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samuel,Green,samuelg@compass.com,(857) 308-6500,The Agency,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 13 years, Transactions: 22, Volume: $13,261,832",CREAM_RealEstate,63084,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Stephanie,Anderson,stephanie14@coldwellbanker.com,(315) 838-2692,ERA,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 5 years, Transactions: 13, Volume: $10,810,477",CREAM_RealEstate,67903,SOS-IL-91943,2017-07-03,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Shirley,Gutierrez,shirley24@outlook.com,(916) 780-7955,CalAtlantic Homes,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 20 years, Transactions: 33, Volume: $9,414,058",CREAM_RealEstate,69346,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Eric,Patel,ericp@compass.com,(870) 440-9141,Compass,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 4, Volume: $318,563",CREAM_RealEstate,67147,SOS-IL-77864,2016-10-19,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amanda,Ramos,amanda.ramos@homesmart.com,(480) 361-4869,eXp Realty,Chicago,N/A,IL,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 40, Volume: $3,824,085",CREAM_RealEstate,68162,SOS-IL-68520,2021-02-18,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
